Sender,DmContent,AppearTime,SendTime,FontColor,DmType
91e93c6d,METEOR,2949.389,1610905589,16777215,1
91e93c6d,这首歌去年榜第一,2981.839,1610905721,16777215,1
91e93c6d,METEOR,2949.389,1610905589,16777215,1
91e93c6d,这首歌去年榜第一,2981.839,1610905721,16777215,1
e77995a5,感觉4姐现在都好看啊还是脸有点肉好看,6332.907,1610903210,16777215,1
e77995a5,感觉今晚辉人好迷人,6387.144,1610903292,16777215,1
e77995a5,这位美女子就是门面担当祉呼呀,3658.054,1610902402,16777215,1
e77995a5,这事忙内arin呀忙内也很好看的，超甜的忙内,3704.562,1610902513,16777215,1
7b473374,李升基！,199.893,1610901083,16777215,1
cf497d32,是的,3747.936,1610899170,16777215,1
cf497d32,就是同一个作曲家,3755.265,1610899177,16777215,1
ee950cc1,blueimg,91.875,1610899180,16777215,1
301381c3,同意前面的,6330.665,1610897496,16777215,1
5537c542,为我们大赏歌曲蓝小明疯狂打cal,98.495,1610896119,16777215,1
301381c3,华莎妈爱你！,1920.74,1610896905,16777215,1
301381c3,wuli黑金走花路吧！,1949.166,1610896934,16777215,1
3f90cee8,想起了iu那段,2350.175,1610895242,16777215,1
513276a4,虎子好会说话啊,2571.784,1610894246,16777215,1
db6620e3,这难道不是kingdom里编那个destiny的作曲家编的么？曲风好像,3738.723,1610873913,16777215,1
db6620e3,黑金呐，一直走花路吧,5915.166,1610874126,16777215,1
452ab786,黑金的身材我太可了,5930.186,1610874275,16777215,1
db6620e3,四姐雄起,6151.182,1610874353,16777215,1
464132e7,可惜ZICO入伍了,2874.43,1610874418,16777215,1
542b16dc,我也是被raper捕捉了心脏！还有开场的那个小姐好看！门面担当吧,3639.436,1610874574,16777215,1
542b16dc,就是那个扎发髻的那个,3643.292,1610874607,16777215,1
542b16dc,就是这位美女子！好看被惊艳到了,3660.334,1610874643,16777215,1
cc8d83af,刘基贤牛逼,5418.803,1610874681,16777215,1
542b16dc,门面真的好看嗷,3696.633,1610874704,16777215,1
542b16dc,好大气好优雅啊真的是路人也被捕捉的颜值,3696.709,1610874739,16777215,1
542b16dc,姐红唇真的好美啊好美！,3583.83,1610874838,16777215,1
464132e7,妈木,6158.512,1610875188,16777215,1
77a419fd,这个团只要是我不认识的，人均颜值还挺高的,3560.494,1610875560,16776960,1
77a419fd,之前某个典礼不是还做过跟乐队然后hiphpo风格的表演么,3656.855,1610875652,16776960,1
77a419fd,金容仙妈爱你,6149.863,1610876108,16776960,1
e51184cf,英雄加油,4484.547,1610876193,16777215,1
e51184cf,爱你哟,4489.54,1610876198,16777215,1
e51184cf,现在只相信你，英雄,4513.023,1610876221,16777215,1
77a419fd,妈木是我觉得人均实力第一的韩团,6322.777,1610876281,16776960,1
e51184cf,英雄帅啊,4594.007,1610876302,16777215,1
77a419fd,容仙你的手在干啥,6376.524,1610876345,16776960,1
185345c2,仙丹！,6550.549,1610876410,16777215,1
92fd3497,粗卡,5609.865,1610877534,16777215,1
92fd3497,恭喜小噜,5617.896,1610877542,16777215,1
92fd3497,一次回归打一年,5644.895,1610877570,16777215,1
cd81b37b,我去厉害了,132.214,1610878472,16777215,1
1ee05b3d,215位小朋友嗨,32.62,1610880612,10546688,1
46399921,这视频声音好小,411.53,1610881879,16777215,1
471f14f2,小孩挺厉害啊,154.364,1610884827,16777215,1
46399921,伞柄过于现代,3540.601,1610884888,16777215,1
46399921,还是自动弹开的长柄伞,3551.732,1610884916,16777215,1
165948d,禹智皓！,3825.435,1610885260,16777215,1
165948d,anysong啊,3829.049,1610885277,16777215,1
471f14f2,怎么没看到田姬振,1541.597,1610885299,16777215,1
165948d,粗卡哈密达！禹智皓,3911.347,1610885385,16777215,1
165948d,就你会说话！,3972.899,1610885458,16777215,1
5f881ea5,画质太差了,1585.807,1610887031,16777215,1
6e67be9b,这首歌20年melon年榜第一,2979.692,1610887562,16777215,1
995b9c3a,阿林可以上镜了？,3404.055,1610888482,16777215,1
99dd0ac9,这小姐跟金高银有些像耶,586.271,1610888913,16777215,1
59cde67f,哦莫,2735.46,1610890438,16777215,1
279a0750,我家Aron啊！好想你,2504.872,1610890897,16777215,5
c5476287,金锁？,693.477,1610873190,16777215,1
452ab786,素丹1,307.552,1610873217,16777215,1
db6620e3,莎子大发,1891.392,1610873222,16777215,1
db6620e3,一边瞧不起中国，一边啥都要碰瓷我们古风的大寒冥国,3551.492,1610873724,16777215,1
452ab786,大黄真的好帅5,2630.624,1610873739,16777215,1
db6620e3,前面的不必这么圣母，人家可没尊重过我们的传统文化,3567.203,1610873771,16777215,1
db6620e3,这个服装风格和歌好不搭,3623.276,1610873839,16777215,1
77a419fd,这首值得,3211.143,1610872186,16776960,1
77a419fd,留真怎么突然成了英语担当了,3332.534,1610872266,16776960,1
77a419fd,哦莫赛一口,3379.143,1610872316,16776960,1
77a419fd,啊哈,3412.547,1610872349,16776960,1
77a419fd,这摄头distortion太严重了,3425.271,1610872362,16776960,1
77a419fd,表白阿涩,3432.911,1610872369,16776960,1
77a419fd,不同意,3491.046,1610872406,16776960,1
77a419fd,不容易，打错了刚才,3498.032,1610872413,16776960,1
77a419fd,我也，本来就不认识，带着口罩更不认识了,689.478,1610871366,16776960,1
b22d7621,来了！,995.086,1610871380,16777215,1
b22d7621,得人走起,1001.722,1610871387,16777215,1
77a419fd,中国人？,738.494,1610871395,16776960,1
b22d7621,这道具细节好多,1018.851,1610871404,16777215,1
8e7d79b,中国乐器重编曲好听！,3661.723,1610871522,16777215,1
77a419fd,天使祖传高糊舞台,1452.044,1610871557,16776960,1
8da1f5bb,别啥都扯中国行不行尊重人家传统文化,3561.249,1610871679,16777215,1
77a419fd,双申玩家在此,2058.721,1610871696,16776960,1
77a419fd,这首是我早上闹铃,2084.583,1610871722,16776960,1
77a419fd,这首歌词每一句都唱我心坎儿里了,2110.447,1610871748,16776960,1
77a419fd,再次表白itzy,2248.392,1610871886,16776960,1
77a419fd,auv，朴素丹,297.559,1610871110,16776960,1
77a419fd,今天我能看到速溶仙丹么,317.25,1610871130,16776960,1
da515db1,啊这个是尼龙伞诶感觉不是很中国风,3558.13,1610868843,16777215,5
67b879fb,还以为九头上插个根黑羽毛呢,3395.62,1610869223,16777215,1
c5714c66,大拇指,3092.251,1610867149,16777215,1
c5714c66,哦吼居然,3357.718,1610867313,16777215,1
c5714c66,这raper好帅,3635.02,1610867484,16777215,1
2eb68296,表白四姐,141.125,1610867559,16777215,1
2eb68296,Hip,153.826,1610867600,16777215,1
c5714c66,好牛,170.27,1610866099,16777215,1
d655fbb1,ohmygirl,3533.505,1610866281,16777215,1
da985f2d,中国风来了,3548.579,1610865324,16777215,1
dbfd913b,升基啊！,198.182,1610865699,16777215,1
dbfd913b,李升基！,273.284,1610865759,16777215,1
649bf2a7,iu！,109.143,1610865952,16777215,1
273714ce,妈木的歌词是真的很,6311.298,1610865137,16777215,1
734c56f1,速溶！,6549.94,1610865247,16777215,1
da985f2d,妹们的脸都看不清,1455.518,1610864328,16777215,1
bbd78657,BLACKPINKINYOURAREA,1868.705,1610862711,14811775,1
81b86b2a,当然是英雄咯,4161.044,1610863024,16777215,1
3932c98a,傻帽永远不放人,3434.463,1610863223,16777215,1
8bab6d6c,好糊,1449.285,1610863251,16777215,1
2745b2b0,帅耶,1428.269,1610863318,16777215,1
17c36475,这是他的歌啊，以前经常听到,2932.619,1610862591,16777215,1
c8b75ea4,这个妹掉坑里了吗,702.891,1610862603,16777215,1
3ceb6319,给得打cal！了不起！,760.323,1610862630,16777215,1
d3b8ffb3,台下的欢呼声是假的吧,660.138,1610860999,16777215,1
d3b8ffb3,全部戴口罩看个屁啊,675.846,1610861015,16777215,1
d3b8ffb3,全都一个样有啥好看的，眼妆基本上都是一样的,707.937,1610861047,16777215,1
2fe17e19,恭喜粉墨,1871.99,1610861633,16777215,1
83295503,哈。91LINE。,6547.253,1610861671,16777215,1
9c711837,林英雄啊，妈爱你,4713.584,1610860408,16777215,1
c7e34b62,啊弹子,229.424,1610860487,16777215,1
c7e34b62,其真可爱,231.335,1610860499,16777215,1
ae839ba6,好红哈,4918.114,1610860545,16777215,1
e3ab160f,钢琴版蓝小明,73.801,1610860603,16777215,1
499de659,dynamite！,234.158,1610859310,16777215,1
d3e57971,大爱一起Henry系列里面众多不同乐器的音乐神童个顶个厉害,255.234,1610859828,16777215,1
d5112823,表白李MC！,309.851,1610858566,16777215,1
e11ce7ac,李MC,320.159,1610858840,16777215,1
aa63980e,changmo,2732.729,1610858854,16777215,1
a2d291bf,小艺术家棒哒,242.594,1610859262,16777215,1
d96c80f5,粉墨大发！,1868.053,1610857649,16777215,1
4b843eb1,厉害啊,115.425,1610857835,16777215,1
4b843eb1,啊表白妈木！表白四姐！,142.699,1610857882,16777215,1
d0a3e556,我还以为joy头上戴了个什么头饰。,3388.956,1610858096,16777215,1
ed500c56,太帅了吧！,5138.946,1610858161,16777215,1
2fe17e19,竟然没有弹幕,122.427,1610858167,16777215,1
d5112823,升基！,202.003,1610858442,16777215,1
3d53e85b,文星伊姐你说你的，我自己举会铁,6749.621,1610857462,16777215,1
