47081,1744,1575,80,5273,1611077949
46646,1729,1557,80,5238,1611077006
46140,1714,1534,78,5182,1611076078
45496,1687,1512,76,5115,1611075047
44782,1656,1491,74,5024,1611074070
43924,1631,1463,74,4934,1611073134
43057,1606,1423,70,4851,1611072192
41931,1570,1382,70,4740,1611071264
40475,1526,1343,68,4615,1611070317
38762,1476,1304,66,4466,1611069392
37087,1427,1261,62,4291,1611068460
35119,1376,1217,60,4123,1611067531
32955,1323,1167,59,3945,1611066592
23941,1059,943,51,3150,1611062564
21816,989,881,50,2972,1611061571
19946,942,835,45,2806,1611060638
17625,892,768,44,2628,1611059659
15351,836,723,43,2431,1611058703
13479,754,660,38,2207,1611057799
11658,672,592,36,1975,1611056889
9668,573,516,33,1683,1611055951
7366,445,432,29,1336,1611055036
4831,316,333,20,954,1611054135
2267,171,197,12,518,1611053219
