Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6ffbe358,你真的太会了，都是我这样想吃的,263.077,1610979414,16777215,1
7ddb6842,才吃完瓜回来，震惊,548.265,1610979444,16777215,1
6ffbe358,妈呀，绝美好吗,309.051,1610979460,16777215,1
7bb334ba,来了,10.388,1610979480,16777215,1
9a2e8c76,你叫他煮硬点不就行了,518.76,1610979552,16777215,1
21b0121f,她都觉得贵了,454.315,1610979562,16777215,1
4c1f0132,好实在啊想吃,300.061,1610979568,16777215,1
66d75e4f,啊突然发现头发有一撮灰色的！好看！,455.299,1610979617,16777215,1
fa57c589,来了,11.386,1610979643,16777215,1
8fb92333,密子的外套是什么呀,74.878,1610979685,16777215,1
41c00af3,高产,6.785,1610979851,16777215,1
74385ca2,都是速冻的蒸饺,194.452,1610979861,16777215,1
8ae1b3f6,说了那么多，就为铺垫最后一句,126.768,1610980024,16777215,1
8c686a34,喜欢密子君xi,17.897,1610980035,16777215,1
907f0fad,喜欢吃咸蛋黄虾肉的云吞,475.252,1610980057,16777215,1
1588dfa7,密子君真的很会搭配,203.063,1610980104,16777215,1
c0854649,祖传大碗,104.087,1610980145,16777215,1
4eac357a,哇，这馅也太足了吧,299.281,1610980157,16777215,1
1516796e,来了,9.83,1610980202,16777215,1
7c3300ce,哇偶，口水流了下来,62.239,1610980212,16777215,1
9ce97dbc,来了,5.696,1610980240,16777215,1
cedc9ea9,没有蘸汁,165.878,1610978557,16777215,1
b22fb358,饿了,63.619,1610978572,16777215,1
28cacefd,实在老板,193.859,1610978635,16777215,1
8a6b2ac5,感觉成都蒸饺都这个馅,218.411,1610978646,16777215,1
5b5bea1b,沙县小吃？,523.753,1610978708,16777215,1
2ed9d616,因为头上是麦,233.279,1610978748,16777215,1
7ac871aa,我以为打了石膏,13.494,1610978772,16777215,1
16741e94,全买了,341.599,1610978854,16777215,1
852c29c2,好家伙，点什么清汤,479.77,1610978903,16777215,1
b5e691b3,玉双路吧？,8.059,1610978917,16777215,1
ecbd3b14,烫水脚,396.519,1610978918,16777215,1
7ed82cf8,云淡风轻地说着可怕的话语,251.813,1610978952,16777215,1
993a9b1b,食量惊人,443.647,1610978953,16777215,1
37d922ec,h本地人也不熟悉,266.88,1610978955,16777215,1
5559e636,我的天,304.352,1610978971,16777215,1
37d922ec,郭子,281.43,1610978978,16777215,1
5559e636,我也想拥有,314.157,1610978980,16777215,1
8e79a8c7,不期而遇,264.884,1610979026,16777215,1
