Sender,DmContent,AppearTime,SendTime,FontColor,DmType
39fdf7c6,xun发条压se啊嘞,947.333,1610892774,16777215,1
6d64b418,这把不是赢了,1508.737,1610892793,16777215,1
e25c543b,这牛头这把也太菜了,1337.135,1610892813,16777215,1
85b4c429,xun是真的挺牛的,2058.319,1610892819,16777215,1
26a4e6f0,这波解说还能说是胡言乱语是我没想到的,1350.254,1610892823,15138834,1
3c652772,舒服啦,10.638,1610892828,16777215,1
3cbd752a,rokie,909.854,1610892830,16777215,1
4a23835f,教练也换了啊,311.683,1610892869,16777215,1
6d0f1de2,没有人？,357.582,1610892874,16777215,1
1d609d1f,下面那儿再次变大,2295.133,1610892875,16777215,1
1d77f46f,纳尔压刀不是很正常？这也能吹？,1532.881,1610892876,16777215,1
a6f111b,这也回放？,1967.099,1610892879,16646914,5
5bc6081b,不愧是我男人,2105.165,1610892888,16777215,1
459dad,说相声呢,71.745,1610892904,16777215,1
e12fb4ae,低情商退的比较好，高情商接的比较巧,914.563,1610892908,15138834,5
80078c3d,狂封智力？,841.694,1610892931,16777215,1
a264db86,过年啦,1.003,1610892966,16777215,1
dc48a84d,这把输掉了？,1410.005,1610893026,16777215,1
61b1f1,没人？,594.615,1610893055,16777215,1
936f7134,神圣分离者这么强？,2148.651,1610893069,16777215,1
913be059,edg,2309.482,1610893079,16777215,1
b3ba156b,农夫山泉,78.553,1610893081,16777215,1
76c90f98,这个上也可以,460.819,1610893083,16777215,1
ae0926aa,这解说的声音一直让我想到驴哥,1263.653,1610893091,16777215,1
68677914,这波反打可以的,2440.289,1610893103,16777215,1
5bc6081b,全员压刀,2332.853,1610893124,16777215,1
254558b9,芜湖,141.975,1610893128,16777215,1
67645b4c,右下角乌蝇哥上线,1223.356,1610893161,16777215,1
9d5ce8cf,theshy笑了笑,1347.089,1610893173,16777215,1
b7d5acb9,咋说呢，xun真挺强,1265.541,1610893188,16777215,1
688880f,牛又被球推到了,2263.507,1610893208,16707842,1
31b0b453,这样解说你上你也行,1813.376,1610893214,16777215,1
db2a90bc,前方高能,2095.884,1610893215,16777215,1
