Sender,DmContent,AppearTime,SendTime,FontColor,DmType
4df7811a,这不是在说我吗,55.017,1611059265,16777215,1
501ceeff,非社长,81.38,1611059573,16777215,1
f3bd7ba2,因为鼻子很难长得好看,50.66,1611058235,16777215,1
d01ed9d4,别镜子了镜子脑补的言论早就被证实假的,41.66,1611057405,16777215,1
bdf605f1,你怎么不直接说我的名字？,58.466,1611055320,16777215,1
ae645dbf,在？摄像头拆了,60.547,1611055326,16777215,1
ae645dbf,？我惹你了？,80.698,1611055346,16777215,1
53291a66,跟自己照镜子一样,37.037,1611055535,16777215,1
c05f447b,我怀疑你在针对我,50.558,1611054745,16777215,1
ab0344e3,明白了，马上安排下半边脸截肢,81.003,1611053807,16777215,1
ae0d9be7,哭了,78.93,1611053023,16777215,1
7eb8cc40,暗示三连,107.215,1611051058,16777215,5
bca2bcf5,没jo了，爷青结,112.219,1611049647,16777215,1
a4e6a3eb,主观能动性,42.844,1611049953,16777215,1
a4e6a3eb,你好可爱啊,107.064,1611050022,16777215,1
f4378491,你骂谁？,78.943,1611050256,16777215,1
8fa51917,犹抱琵琶半遮面,58.44,1611050389,16777215,1
c94c47d1,雀斑最健康表现呀别的一样很喜欢雀斑的,56.9,1611049044,16777215,1
7afbb67f,只是没被发现而已,102.625,1611049143,16777215,1
83c1cfb9,鼻子很重要,37.215,1611049150,16777215,1
618b9c13,又被冒犯到,78.779,1611049273,16777215,1
da164f4,没有春运了就地上班,99.836,1611049402,16777215,1
b37fed2d,你这是骗,98.904,1611048464,16777215,1
f4a6a7f4,变可爱了哈,105.426,1611048473,16777215,1
5b74355c,受到伤害,88.234,1611048498,16777215,1
ed641365,鞠婧祎表示那是你买不超大号！,81.802,1611048680,16777215,1
b7492d93,别说了,55.545,1611047383,16777215,1
a9d22242,石鬼面,42.915,1611046159,16777215,1
83bb6ff1,自动生成,73.74,1611046176,16777215,1
ae2be3ec,同感，带上口罩感觉周围全是美女,14.499,1611046337,16777215,1
ae2be3ec,眼睛很重要,28.539,1611046357,16777215,1
d83d56a3,还有就是一般人骨相问题要比眼睛严重的多而口罩挡住了大半的容易出问题的脸部骨骼,79.902,1611046562,16777215,1
dd057e49,Hh,78.44,1611045246,16777215,1
181b990d,啊我觉得我带上口罩反而普通了摘了比较好看,85.65,1611045358,16777215,1
3c747188,但是戴口罩好看的前提是头不大眼睛不小,51.278,1611045374,16777215,1
1168e97b,因为人们幻想中的总是美好的,25.22,1611045725,16777215,1
81125716,红火恍惚,82.621,1611045768,16777215,1
5dd86dbc,狗脸,43.392,1611044509,16777215,1
b15e31f3,？太惨了,77.071,1611044895,16777215,1
caf7d4a7,显脸小,9.876,1611044912,16777215,1
e17470f5,我现在就老喜欢戴口罩了，还能做各种表情,17.878,1611044998,16777215,1
bc1842d1,不，口罩遮挡了我的颜值,26.98,1611045216,16777215,1
38a1b73f,升华主题,105.415,1611043559,16777215,1
53210a8d,是芝麻糊，火星表面加了芝麻糊,40.889,1611043598,16777215,1
53210a8d,别骂了,80.649,1611043642,16777215,1
184ef9,你再骂？,70.679,1611043700,16777215,1
2415205f,视觉屏断，尼尔系列的手法,17.88,1611043851,16777215,1
adfc97a4,你再骂,55.539,1611043891,16777215,1
a09b00ff,眼睛好看也很重要，就像刮奖，当你看到谢字还想往后刮吗。,96.546,1611044163,16777215,1
5670c63,戴不戴感觉一个样。,31.934,1611044177,16777215,1
c05b9b9c,好的,103.379,1611042673,16777215,1
130ba59a,别骂了，别骂了,90.774,1611042743,16777215,1
9aaa7851,日本最能反映这个现象了，因为女性牙齿大部分都龅牙,33.663,1611042772,16777215,1
96b12a42,卡兹！,47.685,1611042820,16777215,1
73df492a,啊这,77.976,1611042939,16777215,1
cf2e754d,石鬼面不是,45.34,1611043062,6830715,5
17524cf,好可爱哈这个语气,103.224,1611043071,16777215,1
d76bce36,痘肌震怒,54.58,1611043131,16777215,1
a35c4a0b,真实,12.451,1611043135,16777215,1
cff8577a,杀疯了,90.859,1611043169,16777215,1
12424458,别骂了，再骂就傻了,77.58,1611043231,16777215,1
c82a97ac,确实，我感觉带口罩后我颜值确实高了,65.61,1611043337,16777215,1
8efc5805,你再骂？！,84.46,1611041740,16777215,1
9e36009f,别骂了,55.295,1611041866,16777215,1
9e36009f,别骂了,78.796,1611041890,16777215,1
5121b3f2,因为没擦口红,30.844,1611042015,16777215,1
364d2023,自动PS,66.834,1611042221,16777215,1
d8ef56fa,自从疫情戴上口罩以后地铁里大街上的美女帅哥都变多了,13.049,1611041542,16777215,1
e1126a3c,神秘感,21.52,1611041588,16777215,1
6bdc931b,我们这都很少有人戴口罩了，只有坐公交车还要戴就是了,98.58,1611041669,16777215,1
