Sender,DmContent,AppearTime,SendTime,FontColor,DmType
3d9aac01,热乎,3.914,1610886929,16777215,1
f0336202,来了,2.317,1610886931,16777215,1
9d5fa253,第一,7.021,1610886936,16777215,1
f0336202,好快,6.639,1610886936,16777215,1
fae3aa80,我第一？,41.226,1610886940,16777215,1
ef2df7d9,哇，好早啊,12.908,1610886942,16777215,1
5e5d022b,来啦感谢字幕组,5.579,1610886944,16777215,1
74c7644e,单身让我们相聚在这一分钟,16.19,1610886948,16777215,1
367ee5de,好快,17.523,1610886951,16777215,1
6706e1e0,刚！,3.918,1610886952,16777215,1
8adcef1,赞一个,8.352,1610886953,16777215,1
6f7a6ffe,第一次第二,170.489,1610886953,16777215,1
8adcef1,这么快,15.322,1610886960,16777215,1
b9f4b25,我真快,34.687,1610886971,16777215,1
8adcef1,刚想看就有了,27.509,1610886972,16777215,1
9bd4450b,来了,32.368,1610886972,16777215,1
b4e60919,来了,4.078,1610886973,16777215,1
ca75627e,哇，也太早了吧？,0.246,1610886973,16777215,1
7e63dec,爱了,17.428,1610886982,16777215,1
6dbe68e6,第一吗,6.255,1610886985,16777215,1
c622ecd2,diyi,5.933,1610886987,16777215,1
e09048ad,速度,22.089,1610886988,10546688,1
6c59bd35,来了,10.329,1610886990,16777215,1
384eee6f,来了,0.323,1610886991,16777215,1
cc25bfce,哈。沙发,45.035,1610886993,16777215,1
4ee3ef2,zao,39.517,1610886993,16777215,1
f7b80ce1,第一,1.263,1610886996,16777215,1
6d8a21f1,太早了吧,5.823,1610886996,16777215,1
2d2b48a7,好早啊,49.516,1610887003,16777215,1
8a2e740e,来了,8.843,1610887005,16777215,1
ce5a192f,沙发！,25.522,1610887005,16777215,1
f5e92bf3,好早,0.323,1610887005,16777215,1
6dbe68e6,来啦,22.558,1610887007,16777215,1
5035a979,准时配晚饭,18.49,1610887007,16777215,1
5bac1830,真快,10.659,1610887008,16777215,1
4841187b,来了,6.115,1610887009,16777215,1
bf38aadc,热乎,13.851,1610887013,16777215,1
f9c3a5dd,来了,3.854,1610887016,16777215,1
3d7fc814,现在才2个人看,46.713,1610887019,16777215,1
18eaa9c0,来了,53.473,1610887029,16777215,1
f4be0c06,这么早，熬夜党我都不习惯了,59.329,1610887032,16777215,1
d1e317c,来了,22.456,1610887039,16777215,1
892bdf71,有人吗,41.026,1610887040,16777215,1
ef1311de,今天也太早了,8.561,1610887046,16777215,1
eb73108b,837,14.029,1610887047,16777215,1
1c04a48a,！前排,4.246,1610887047,16777215,1
c21eca31,来啦,7.186,1610887051,16777215,1
4a21a379,配上螺蛳粉来啦,4.922,1610887051,16777215,1
c63a3cb2,来啦,56.251,1610887053,16777215,1
dab4e1ea,热乎,7.337,1610887057,16777215,1
ef1311de,懵我来啦,20.061,1610887058,16777215,1
24896578,热乎的,4.425,1610887061,16777215,1
dcedd489,来啦,4.271,1610887068,16777215,1
ef1311de,看完电影马上来看智孝,33.061,1610887071,16777215,1
b04c1781,这么早,0.323,1610887079,16777215,1
ef1311de,来啦懵,42.061,1610887080,16777215,1
c00b27ff,字幕组的速度爱了！,64.487,1610887080,16777215,1
e9738ccf,好早,52.915,1610887087,16777215,1
b2f4ddb4,有人,45.698,1610887098,16777215,1
806cd4f4,瓦达,8.631,1610887099,16777215,1
6a7dca5,早啊,3.846,1610887100,16777215,1
4ae44672,刷出来了,25.781,1610887103,16777215,1
