Sender,DmContent,AppearTime,SendTime,FontColor,DmType
353778c7,队友好像是说坤儿是挂,661.086,1610940512,16777215,1
c300f8b1,开了,447.53,1610940531,16777215,1
84c1a101,号危,66.717,1610940532,15138834,5
c46aebe8,想起来了！在现场！打得好悲壮哈,327.742,1610940560,16777215,1
b00d49c2,热乎,9.367,1610940586,16777215,5
353778c7,这个人血不满,529.071,1610940618,16777215,1
a9595af6,粉丝3,473.859,1610940628,16777215,1
aa8ca22b,队友说什么啊,394.37,1610940629,16777215,1
84c1a101,检测警告,184.837,1610940669,15138834,5
717579e6,悄的进圈，然后击杀他们所有人,653.939,1610940675,16777215,1
2f8f773e,离谱,443.45,1610940701,16777215,1
5132da2c,坤这万年不改的画质,20.112,1610940731,16777215,1
84c1a101,过年好！,269.665,1610940770,15138834,5
2e3a3e8f,离谱,453.619,1610940826,16777215,1
6295a380,队友说的啥？,392.347,1610940843,16777215,1
93a0efc2,在现场,39.814,1610940853,16777215,1
84c1a101,队友祭天，法力无边,370.525,1610940876,15138834,5
50d3ed29,奈！,242.179,1610940885,16777215,1
e45b06ca,热乎的,8.426,1610940907,16777215,1
e6bc67ac,乾坤圈,642.827,1610940921,16777215,1
cafa0ce8,悄的，打枪的不要,652.262,1610940922,16777215,1
ac0ad01a,热成像四倍镜是啥,234.166,1610940927,16777215,1
a4c67ed0,牛逼,191.795,1610940969,16777215,1
84c1a101,这还不检测？,440.445,1610940971,16777215,1
84c1a101,忘了加狗头,448.865,1610940986,16777215,1
84c1a101,随便玩,455.925,1610941005,15138834,5
bf09add9,号没警告,208.408,1610941028,16777215,1
531611a9,哈好有代入感，还悄说话,650.301,1610941039,16777215,1
d1368b13,收手吧阿坤,467.133,1610941046,16777215,1
6295a380,学废了,564.673,1610941046,16777215,1
5132da2c,扩容！,405.272,1610941050,16777215,1
e8271c8,我没了,633.833,1610941073,16777215,1
84c1a101,好家伙，单人灭队,521.145,1610941084,15138834,5
810de757,刚进圈，残血,527.542,1610941112,16777215,1
e8271c8,居然是真的我没了,670.073,1610941134,16777215,1
bf09add9,队友不耐克啊,335.135,1610941167,16777215,1
cd77c4d6,九里铺,462.324,1610941178,16777215,1
84c1a101,我学废了,578.226,1610941180,15138834,5
17a3b8ac,已经快凉了,10.666,1610941222,16777215,1
d7e3d97d,奈！,383.355,1610941224,16777215,1
30c0829,一包三舔,607.027,1610941237,16777215,1
89b41ec4,乾坤圈,555.019,1610941243,16777215,1
84c1a101,键盘冒奶,637.266,1610941245,15138834,5
59bdefde,我靠,434.259,1610941305,16777215,1
5f0f85e3,全是头检测警告,212.223,1610941318,16777215,1
e6dd50d7,开起来了,533.686,1610941320,16777215,1
411d4c27,我奶我自己？,636.944,1610941338,15138834,1
2e1d87d7,1号拿着mini和弩，绝了,326.478,1610941347,16777215,5
5ab18808,帅啊坤,443.454,1610939635,16777215,1
347ae839,反奶,634.659,1610939635,16777215,1
4590368d,这人真菜,523.753,1610939641,16777215,1
634cf104,手学废了,574.371,1610939647,16777215,1
5ab18808,随便打,454.036,1610939662,16707842,5
fa1c9c5b,单人灭队,207.819,1610939666,16777215,1
cbd5f6a6,来了！,4.517,1610939669,16777215,1
cbb55b7a,帅呀,523.329,1610939675,16777215,1
e35adcce,凡尔坤,459.58,1610939705,16777215,1
7d0f3cff,来自老婆的肯定,599.753,1610939709,16777215,1
f31c1013,队友说了啥我都没听清,668.819,1610939717,16777215,1
8dd4d225,队友祭天,362.559,1610939734,16777215,1
