Sender,DmContent,AppearTime,SendTime,FontColor,DmType
9c20cae9,之前他发过这段超级帅,1324.206,1610896426,16777215,1
9c20cae9,太拼了哈,1655.778,1610896766,16777215,1
ffc44c7,哈，允浩好像跳过这首的一丢,4947.735,1610896875,16777215,1
f7016efb,爱了东神15年的仙后在这里,126.884,1610897512,16646914,1
9c20cae9,之前他发过这段超级帅,1324.206,1610896426,16777215,1
9c20cae9,太拼了哈,1655.778,1610896766,16777215,1
ffc44c7,哈，允浩好像跳过这首的一丢,4947.735,1610896875,16777215,1
b09a702a,哥好可爱啊！,2115.663,1610893373,16777215,1
d0729b7a,哈太尴尬了吧，笑死人,403.836,1610894226,16777215,1
e4c7d34f,5t5？,1491.816,1610894428,16777215,1
9bbafc52,靓仔语塞,3038.0,1610894707,16777215,1
b09a702a,东方神起，郑允浩！,134.557,1610891081,16777215,1
bf2d8f20,ohmyjulia！,4806.604,1610891499,16777215,1
ffc44c7,昌珉是家人！,570.671,1610891629,16777215,1
ffc44c7,红火恍惚，笑死我了din,592.583,1610891680,16777215,1
c5ab22f1,Risingsun！,4986.117,1610892491,16777215,1
ffc44c7,哈，就是因为各方面都契合所以东神特指2人才长久,1240.092,1610892506,16777215,1
ffc44c7,淦！好帅啊,1323.276,1610892607,16777215,1
b09a702a,不容易啊，哥！,1464.499,1610892713,16777215,1
4d446b5c,电满了,871.908,1610873605,16777215,1
e1d3110e,solo,4937.508,1610875211,16777215,1
3741ebea,郑允浩SOLO二辑大发,19.311,1610875572,16777215,1
935969f0,撒花,1024.496,1610876013,16777215,1
6468ac73,来了！,16.778,1610876098,15138834,1
6468ac73,郑允浩,17.236,1610876106,15138834,1
6468ac73,郑允浩！南韩第一A！舞台君主回归！18号NOIR大发！,17.498,1610876144,16777215,5
6468ac73,郑允浩！南韩第一A！舞台君主回归！18号NOIR大发！,17.857,1610876150,15138834,5
6468ac73,郑允浩！南韩第一A！舞台君主回归！18号NOIR大发！,18.23,1610876155,16707842,5
935969f0,好可爱啊，郑允闹,1201.535,1610876239,16777215,1
91f0226e,哇，是真的太帅,1342.397,1610877086,16777215,1
91f0226e,哥，你这就有点凡尔赛了哈，哈,1463.917,1610877221,16777215,1
935969f0,耳朵好红啊,1663.967,1610877389,16777215,1
91f0226e,小机灵鬼,1678.3,1610877425,16777215,1
7f7486f1,允浩我的允浩呀,118.632,1610877543,16777215,1
964b3dfb,hi,60.111,1610878618,16777215,1
4e45a8b8,哥俩太帅啦！,4996.306,1610878661,16777215,1
559228,哈不自觉地陪伴君主,294.052,1610879835,16777215,1
d2b9ba65,哈根叔太搞笑了,1632.528,1610880002,16777215,1
b0140bb9,我靠没少练习啊,1346.611,1610880290,16777215,1
91f0226e,惊人的身体记忆,5006.786,1610880317,16777215,1
44a43378,我还以为是娜莱欧尼,146.577,1610881117,16777215,1
f069325a,啊好帅啊,23.102,1610881753,16777215,1
f069325a,这个专辑也太col了吧？,24.14,1610881795,16777215,1
f069325a,好带感的亚子,33.325,1610881805,16777215,1
f069325a,郑允浩真的不会老吗？绝了,47.152,1610881818,16777215,1
f069325a,正片开始！,61.347,1610881833,16777215,1
f069325a,允浩啊,141.281,1610881913,16777215,1
f069325a,期待哥的solo2,155.542,1610881927,16777215,1
f069325a,浩澈我的爱,180.404,1610881952,16777215,1
f069325a,好帅啊允浩学长,259.667,1610882062,16777215,1
86a65b13,宣美Gasina,4907.898,1610882198,16777215,1
f069325a,名言时刻,277.378,1610882239,16777215,1
f069325a,笑死了哈,359.033,1610882250,16777215,1
f069325a,放开小允浩突然变黄,386.638,1610882278,16707842,5
f069325a,哈心疼小允浩,413.589,1610882305,16777215,1
f069325a,腿好长啊,1638.99,1610882323,16777215,1
f069325a,小心腰啊哥！,1650.151,1610882334,16777215,1
f069325a,哥祝你成功微笑,1873.56,1610882361,16777215,1
a14e48f6,卧槽，太帅了，果然努力的艺人会一直红下去的,1330.855,1610882434,16777215,1
6468ac73,来了表白郑允浩！表白将爱站子！,30.544,1610882569,16707842,5
6468ac73,郑允浩,127.781,1610882636,15138834,1
6468ac73,东方神起,129.27,1610882644,15138834,1
ea1d5378,BgmAespah,2994.898,1610883145,16777215,1
195fcb27,真的是到最后还是巨人遭殃,2630.847,1610883372,16777215,1
195fcb27,真的是大型操作团,2756.684,1610883488,16777215,1
56de9384,哥太帅了,5014.338,1610883554,16777215,1
195fcb27,表白师妹团,3011.434,1610883743,16777215,1
56de9384,哥真的太帅了,5275.448,1610883801,16777215,1
195fcb27,祖传模仿秀,3117.803,1610883849,16777215,1
195fcb27,真的是厉害,3288.725,1610884021,16777215,1
195fcb27,巨人只是胜负欲比较强,3422.527,1610884111,16777215,1
6468ac73,郑允浩,16.9,1610884155,16777215,1
6468ac73,郑允浩,20.62,1610884207,15138834,1
6468ac73,来看郑允浩！,21.555,1610884219,15138834,1
6468ac73,来了！,113.956,1610884266,15138834,1
6468ac73,郑允浩呀,118.319,1610884275,15138834,1
6468ac73,表白我大东神里德郑允浩,121.387,1610884304,16777215,1
6468ac73,哈！郑名言制造机允浩！,268.912,1610884478,16707842,5
195fcb27,这不就是美秋里那个侮辱人格的那个游戏吗,3874.196,1610884486,16777215,1
195fcb27,真的是假的,4034.602,1610884647,16777215,1
6468ac73,哈又来了！,423.603,1610884685,15138834,1
6468ac73,哈是允浩的85line吗？,492.892,1610884759,15138834,1
195fcb27,必须是真的,4173.967,1610884767,16777215,1
6468ac73,允浩好暖昌珉是家人呐表白我大东神！,568.116,1610884873,16707842,5
195fcb27,坏了事了,4429.044,1610884901,16777215,1
6468ac73,哈Dindin也太会了吧？,595.624,1610884913,15138834,5
195fcb27,救场是真的绝,4484.268,1610884956,16777215,1
195fcb27,搞笑就是重复,4550.118,1610885022,16777215,1
6468ac73,哇Dindin不错呀好听！,866.914,1610885158,15138834,1
6468ac73,1月18号就是明天啦！开心！,1022.434,1610885260,15138834,5
6468ac73,期待！终于等到新专辑！,1024.02,1610885285,15138834,5
6468ac73,专辑设定超酷！,1042.202,1610885359,15138834,1
6468ac73,哈或,1198.417,1610885492,16777215,1
6468ac73,前方高帅预警！,1299.378,1610885579,16707842,5
d860f599,哈din你要笑死我,635.481,1610885592,16777215,1
6468ac73,天呐！太帅了！,1321.12,1610885614,15138834,1
6468ac73,啊我没了！,1338.852,1610885643,16777215,1
6468ac73,LOCO来啦！,1413.373,1610885698,15138834,1
6468ac73,哇塞！帅呀！,2160.978,1610885973,15138834,1
6468ac73,绝了！,2179.19,1610886005,15138834,1
6468ac73,ThankU郑允浩！,2192.185,1610886029,15138834,1
6468ac73,哇！红蓝大发！,4694.499,1610886114,15138834,1
e07e0070,什么梗,4460.147,1610886186,16777215,1
6064aaa9,哈给我们允浩结一下出场费吧,254.52,1610886242,16777215,1
6468ac73,RisingSun！,4987.921,1610886260,16707842,5
6468ac73,太帅了！,5016.536,1610886289,15138834,1
6468ac73,浩澈默契满分！,5164.277,1610886379,16707842,5
6468ac73,天呐！我又没了！,5279.255,1610886470,15138834,1
6468ac73,郑允浩,5283.914,1610886479,15138834,1
6468ac73,哈可爱,5543.822,1610886633,15138834,1
d860f599,哥！绝了！,2181.083,1610887333,16777215,1
9e11809f,闹真是太帅了！,5293.713,1610887887,16777215,1
879b4b95,respect,4457.668,1610888049,16777215,1
b0140bb9,西游记玩过的那个,3438.712,1610888083,16777215,1
b09a702a,要命,39.411,1610890975,16777215,1
d476dc07,可以,3835.955,1610873138,16777215,1
f8c016d5,允浩,2233.727,1610872425,16777215,1
e2289e20,弹幕我的弹幕怎么不见了,3352.56,1610872775,16777215,1
8e58bb69,catchme嘛哈,4978.064,1610871392,14811775,5
8e58bb69,risingsun哈,4999.052,1610871423,14811775,5
d46f5745,哈，允浩那个角色想象不到是他呀,1110.407,1610871648,41194,1
a46931f9,我卡哥,1323.046,1610871967,16777215,1
d46f5745,允浩欧巴年轻力壮哈,131.314,1610870503,41194,1
271a9898,太强了,1344.904,1610870528,16777215,1
d46f5745,哈，位置不对,390.066,1610870901,41194,1
20e45977,哦吼,134.046,1610869822,16777215,1
d55f7065,矮穷矬组合又上线啦,4734.363,1610870216,16777215,1
a6d12e54,哈，一对一,260.31,1610869576,16777215,1
1898aee3,允浩好帅！,1422.693,1610867713,16777215,1
2a74b308,来了,95.178,1610867975,16777215,1
8e58bb69,自带伴舞哈,1325.479,1610868012,14811775,1
8e58bb69,哈不愧是你李秀根,1636.41,1610868335,14811775,5
8e58bb69,身材比例真的绝,1653.217,1610868369,14811775,5
50b17ebc,尙敏的关注点，哈,195.522,1610868380,16777215,1
424b9410,啊阿啊,26.757,1610866513,16777215,1
9c55357f,热情似火哈,131.099,1610866684,16777215,1
ae74848a,哈笑yue了,803.949,1610866809,16777215,1
3f0b58db,大片,30.593,1610867061,16777215,1
1a6b962e,允浩啊！新专回归粗卡哈达！,26.371,1610867253,16777215,1
b3f7e28d,哥！,23.259,1610867286,15138834,1
b3f7e28d,郑允浩太帅了！,27.918,1610867300,15138834,1
