Sender,DmContent,AppearTime,SendTime,FontColor,DmType
e2d78a04,元气满,14.821,1611056922,16777215,1
e7ea8d08,太瘦了。,20.285,1611057200,16777215,1
a7d18b19,垫了多少,4.243,1611057329,16777215,1
88dd666a,跳这类型的时候就显得太瘦了,43.275,1611057383,16777215,1
663db166,iLike,41.606,1611057492,16646914,5
9a8b7c0f,美哒邻家妹子,42.519,1611057703,16777215,1
723a64eb,往人前来应援！,5.437,1611055961,16777215,1
3270e348,反季节战士,41.721,1611055977,16777215,1
3270e348,九月,5.035,1611056047,16777215,1
e2d78a04,青春飞扬,15.02,1611056539,16777215,1
e2d78a04,青春飞扬,29.249,1611056553,16777215,1
37c77467,吃着火锅唱着歌莓老板来份IceCream,1.447,1611055023,16777215,1
15ca5f30,帅气,18.471,1611055693,16777215,1
45abc63a,第一,14.643,1611054359,16777215,1
5e4e0840,火速赶来,6.63,1611054412,16777215,1
5e4e0840,真好看，爱了,24.13,1611054429,16777215,1
3129166c,抢个前排,0.0,1611054429,16777215,1
2c84e91a,没人承包带走！,34.416,1611054632,4351678,1
5a1798e5,我是第几,23.893,1611054750,16777215,1
3306a9ea,姐不怕冷厉害,25.87,1611054931,16777215,1
ee3f25f2,反季节战士,21.914,1611054956,16777215,1
