Sender,DmContent,AppearTime,SendTime,FontColor,DmType
53b7a9dd,？我看的不是一战吗？,95.589,1610966934,16777215,5
236619a4,快跑。,312.808,1610966940,16777215,1
f828f57d,思维实验室,1.916,1610966942,16777215,1
779132f3,秒入,5.934,1610966952,16777215,1
aa4940fd,解锁新人物,369.618,1610966969,16777215,1
690d3fe9,看封面我还以为是思维实验室,0.0,1610966971,16777215,1
e291235d,新角色诶,375.159,1610966975,16777215,1
60122f4f,关键是德国殖民地太少发展潜力严重受限,75.849,1610966980,16777215,1
5f997196,部落永不为奴,386.017,1610966985,16777215,1
61846b55,萨什么,13.378,1610966994,16777215,1
9be00255,这司机真的不是卧底吗,166.228,1610966995,16777215,1
b21fab17,为了部落！,386.159,1610967000,16777215,1
7b0945bd,反正约瑟夫也讨厌斐迪南,220.56,1610967012,16777215,1
74d47458,部落嗯？,371.448,1610967016,16777215,1
f073cf82,爷青结,10.453,1610967021,16777215,1
3736317e,为什么你们都喜欢上天台,369.129,1610967034,16707842,5
f073cf82,爷青回,23.096,1610967057,16777215,1
c170ff0e,我刚看完另一个星的视频过来的,106.452,1610967111,16777215,1
44f82ffa,快跑！,390.931,1610967112,16777215,1
65de0883,历史课太真实了,25.918,1610967127,16777215,1
af196013,还看呢，傻孩子,461.304,1610967130,16777215,1
b6010d5d,快跑,462.175,1610967155,16777215,1
952545de,味太冲,389.475,1610967174,16777215,1
65de0883,不一定是p的，有肯能是背面的灯开大了,49.747,1610967192,16777215,1
76c9fa5a,笑场了,393.638,1610967206,16777215,1
65de0883,不是的，能看到是灯,45.353,1610967217,16777215,5
2addc24d,小心观众,153.739,1610967233,16777215,1
71e2b7ee,都想逃了，发现进度条还有好多,304.42,1610967262,16777215,1
7b0945bd,英法我们赢了两次，殖民体系还是瓦解了,438.16,1610967263,16777215,1
9a3b71bf,产能过剩,33.28,1610967266,16777215,1
b968598e,这个开头用了三次啦,33.178,1610967268,16777215,1
6d4e783,三连,15.581,1610967303,16777215,1
2a5e8b6e,为了部落,380.307,1610967332,16777215,1
4138d24e,玄乎各国间积怨已深今儿不打估明儿也要打可能就是没那么大规模罢了,307.785,1610967342,16777215,1
db6fc122,萨拉狗窝,30.063,1610967352,16777215,1
1cb09f5c,莱纳，你坐啊,77.537,1610967387,16646914,5
