Sender,DmContent,AppearTime,SendTime,FontColor,DmType
680c6f1b,一分钟,126.504,1611061514,16777215,1
fc6ec1f1,我的天，受不了,150.241,1611061521,16777215,1
5f1d85d4,可怕,152.201,1611061530,16777215,1
7ca8e0de,卧槽,152.724,1611061530,16777215,1
129e2f58,卧槽这么捅？,151.507,1611061535,16777215,1
4b6e9e19,害怕,152.899,1611061540,16777215,1
a28a6369,好恐怖,171.951,1611061545,16777215,1
cfce9a8c,运动啊,195.235,1611061546,16777215,1
7e4255a7,热乎,8.827,1611061551,16777215,1
382ae563,卧槽,149.41,1611061553,16777215,1
51dd6a48,5分钟！,2.999,1611061557,16777215,5
84eba4f6,活受罪简直,284.835,1611061559,16777215,1
8724d7e6,这期让我极度不适,234.374,1611061559,16777215,1
8b9bec2c,不缝合吗,81.328,1611061559,16777215,1
8f3f68d,屏幕前的你是不是默掐了起来？,88.339,1611061561,16777215,1
f4157eb7,吓人,208.462,1611061567,16777215,1
80fc8d17,卧槽，这么硬捅啊？,152.859,1611061568,16777215,1
d252a067,哆啦A梦？,90.819,1611061578,16777215,1
ae1cc4f2,这么早,22.084,1611061578,16777215,1
63256ea6,这么暴躁的吗,169.036,1611061580,16777215,1
f21cace0,我一个吃不胖的看这个干嘛,109.032,1611061603,16777215,1
96269deb,新鲜的,8.646,1611061603,16777215,1
5d6a9870,看着好痛啊,152.539,1611061607,16777215,1
10bbd08d,我知道了，我这就出去冻一冻,245.019,1611061608,16777215,1
1294cd96,啊疼,153.441,1611061612,16777215,1
bcbe7b92,可怕,156.053,1611061615,16777215,1
a7a7b3e8,运动啊guys,195.646,1611061615,16777215,1
10dc706d,卧槽，我还是运动减肥吧,284.568,1611061616,16777215,1
678bab7,woc！疼！,153.379,1611061622,16777215,1
a0935241,30万，提前恭喜,29.941,1611061623,16777215,1
da7c7d94,卧槽,147.389,1611061630,16777215,1
81a8c503,警告，前方画面引起不适,140.497,1611061641,16777215,1
ea595a1,热乎,11.161,1611061645,16777215,1
452142e0,边吃边看的我手里的披萨突然不香了,37.057,1611061652,16777215,1
b3f16fd0,握草破防了，看不下去了,148.801,1611061661,16777215,1
43efde19,别骂了,8.994,1611061662,16777215,1
147a45f4,麻了,283.639,1611061663,16777215,1
dbddb65b,挨饿德,30.93,1611061665,16777215,1
e7082d8b,好的洛天依,368.916,1611061669,16777215,1
11a82ada,哪个男孩不想要一个胖女孩,2.459,1611061669,16777215,1
d3dac57e,上好牛腩,93.588,1611061673,16777215,1
aa225b4e,6个月我感觉减脂饮食我都可以达到抽脂之后的效果了,178.741,1611061673,16777215,1
b9e88dfe,no我需要增重,35.554,1611061676,16777215,1
a525beed,好疼，不过看着好爽,149.929,1611061678,16777215,1
9df79878,有点反胃,154.003,1611061678,16777215,1
e7082d8b,洛天依,370.708,1611061681,41194,5
de5f39c4,妈呀！心动！,304.723,1611061682,16777215,1
8faf6126,火焰公主？,104.073,1611061686,16777215,1
d839946b,已三连,379.529,1611061694,16777215,1
512708c6,好果子,5.63,1611061694,16777215,1
dd087e87,这还用抽脂？直接练出腹肌好吗,65.599,1611061699,16777215,1
266e0583,有点恐怖,147.739,1611061700,16777215,1
15d2b32c,2分钟挤前排,0.321,1611061706,16777215,1
7ee01dbf,八分钟，热乎,3.774,1611061710,16646914,5
71583a32,我猜你们在自掐,99.079,1611061711,16777215,1
63256ea6,这是酷刑吧,302.126,1611061713,16777215,1
c8aa556f,我去,146.92,1611061715,16777215,1
755043a2,呃，这也太暴力了,154.379,1611061716,16777215,1
3d779c8c,懂了这就去健身,348.871,1611061730,16777215,1
d9784178,已经开始疼了,152.699,1611061737,16777215,1
c9d5cd,啊是这样抽的吗和想象中有亿点不一样,148.637,1611061737,16777215,5
74f51bcb,韩女子是姓韩还是韩国女子,183.673,1611061748,16777215,5
80f540d8,卧槽,168.814,1611061753,16777215,1
be6f98f7,cao,154.804,1611061755,16777215,1
d154d957,我靠这是真的吓到我了。,150.956,1611061756,16777215,1
66d58e14,吓人,225.101,1611061760,16777215,1
facd558c,卧槽,149.45,1611061762,16777215,1
a8984a8c,开始痛了,149.399,1611061762,16777215,1
9babc25f,前面的我也是23,115.179,1611061765,16777215,1
9683e0ac,我还是运动吧,188.039,1611061767,16777215,1
ffc35b55,荤油,165.736,1611061769,16777215,1
b4df4291,抽脂时用根棍子狠戳肚子，巨恐怖,78.95,1611061774,16777215,1
2eb8d1e3,日常迫害孟心一,56.379,1611061775,16777215,1
38abcbf0,受这罪,177.293,1611061781,16777215,1
b58716af,身上已经发软了,148.952,1611061785,16777215,1
9474840f,卧槽，这捅的,151.059,1611061785,16777215,1
7e3d986e,这期视频看得我肉疼腰部极度不适,355.711,1611061785,16777215,1
99cd52d7,卧槽,150.114,1611061788,16777215,1
a530fe5c,还是运动最好,314.994,1611061803,16777215,1
91fd3af4,高中生物选修一,9.442,1611061803,16777215,1
f85567ef,哈我掐了,94.185,1611061806,16777215,1
265ad2ff,好可怕,181.861,1611061806,16777215,1
c4379422,卧槽好吓人,167.659,1611061811,16777215,1
693b64d5,猝不及防,148.733,1611061815,16777215,1
10641825,说的好！,364.094,1611061818,16777215,1
861c782a,可怕,184.304,1611061823,16777215,1
c1f723d,不要,68.514,1611061828,16777215,1
e6f87092,啊好恐怖,138.499,1611061836,16777215,1
b4df4291,我肚子疼,137.642,1611061839,16777215,1
266e0583,麻木。,273.142,1611061845,16777215,1
9217441d,卧槽,154.649,1611061848,16777215,1
ebdf6a76,哈还有点可爱,40.084,1611061849,16777215,1
2a4f9093,懂了，这就在下雪天出去裸奔,238.22,1611061851,16777215,1
66a7b450,好家伙，我还是运动算了,233.262,1611061859,16777215,1
f653efc,是你的，不是我的,7.339,1611061862,16777215,1
