Sender,DmContent,AppearTime,SendTime,FontColor,DmType
5c34819c,大仙太可爱了,417.699,1610893353,16777215,1
396cf832,逐渐老勤化,26.42,1610893414,16776960,5
a9b4935,小学鸡,293.877,1610893458,16777215,1
5c134938,全员老秦化,49.344,1610893574,16777215,1
b817e13f,猴子现状,444.101,1610893589,16777215,1
64b28288,那遇到沉默怎么办,173.266,1610893673,11890,1
d8ae1a73,懂了，宫本带闪现dogs,174.286,1610893702,15138834,5
a9b4935,笑死我了,542.319,1610893727,16777215,1
b5fb3018,下周考试,30.905,1610893728,16777215,1
f479f508,以绝望挥剑逗号着逝者为铠,529.081,1610893732,41194,4
72c59d05,不好意思，新英雄一个都不会,33.059,1610893745,16707842,1
a9ef213,夏洛特直呼内行,128.072,1610893757,16777215,1
b5fb3018,好烦啊下周考试,64.68,1610893762,16776960,1
8ad769,60万,15.819,1610893876,16777215,1
1a7cda6d,常规！,269.115,1610893904,16777215,1
72c59d05,但我用的是游戏外的机制狗头,196.499,1610893935,15138834,5
d035fff7,值得信赖,511.939,1610894034,16777215,1
87a25464,秀啊，张接鸟,350.063,1610894048,15138834,1
59bc6d35,我来啦，不要怕饿,435.873,1610894049,15138834,1
d8ae1a73,碟不纯啊，老板,533.887,1610894116,15138834,5
edad1ee1,来了,13.898,1610894132,16777215,1
d8ae1a73,老板不想干了是吧？,536.185,1610894139,38979,4
86916de2,xs专属语之一,293.265,1610894142,16777215,1
1cd700af,中二病也要谈恋爱！,253.245,1610894143,6830715,4
2149336f,开饭啦,488.268,1610894184,16777215,1
1cd700af,中二病也要谈恋爱！,416.529,1610894317,6830715,4
f731bd41,小鱼儿,334.294,1610892468,16777215,1
964743e2,大厨换碟,473.86,1610892468,16777215,1
19e4ee72,摸头点赞，拒绝再战幻视,402.281,1610892640,16777215,1
fb93054b,一般做不到，管我们四班什么事,39.033,1610892645,15138834,5
73ec37b3,魔法不足,493.772,1610892650,16777215,1
22555d1,禁了,80.09,1610892657,16777215,1
3dc66401,60w合影,11.339,1610892687,38979,5
f731bd41,雨露均沾,547.934,1610892688,16777215,1
9ac83a92,老勤了,28.583,1610892719,41194,1
a62e1681,七星光芒剑,116.603,1610892874,16777215,5
c88337f0,尝龟！,288.061,1610892962,16777215,1
883975a5,反正我排位比ban,87.805,1610892963,16777215,1
4e4ae2d3,热乎,10.351,1610893234,16777215,1
dc3b3f0e,60万合影,13.199,1610893247,16777215,1
4e4ae2d3,60万合影,27.376,1610893251,16777215,1
cb5de5ed,超导，燃烧，冻结，扩散，超载，,431.466,1610893253,15138834,1
5c34819c,大仙太可爱了,417.699,1610893353,16777215,1
396cf832,逐渐老勤化,26.42,1610893414,16776960,5
a9b4935,小学鸡,293.877,1610893458,16777215,1
3f375433,么呆,252.478,1610891690,16777215,1
28e771ce,盲猜没蓝,487.426,1610891740,16646914,5
3538209f,很坏的人,533.514,1610891765,16777215,1
ee00714e,常规,370.661,1610891801,16777215,1
9e5aff60,后羿之友,350.519,1610891822,16777215,1
3b2d8bb2,兰陵王现状。,405.225,1610891845,16777215,1
3b2d8bb2,杀人诛心。,415.806,1610891861,16777215,1
38258bcc,市级苏烈居然不知道还能这样？,137.099,1610891880,16777215,1
6dd972bb,尝龟,284.798,1610891903,16777215,1
3f375433,换碟成功,485.398,1610891938,16777215,1
3f375433,正片开始,488.278,1610891943,16777215,1
db365da7,加油,6.157,1610891962,16777215,1
9a34477,老粉都知道,284.175,1610892004,16777215,1
f97732f3,nm,535.922,1610892034,16777215,1
70997d5f,换碟成功,501.384,1610892054,16777215,1
89b6b6ba,这里说明一下蒸发是指液体到气体的过程,430.061,1610892065,16646914,5
af8abb54,水亲密度,12.115,1610892092,16777215,1
19b95b56,考前最后一次,16.274,1610892124,16777215,1
b144edf7,青铜破产慢报，小魔什么都不知道,12.647,1610892165,15138834,1
3b6d4bc1,60万合影,6.141,1610892271,16777215,1
3b6d4bc1,60万合影,6.141,1610892282,16777215,1
7b854049,60,10.549,1610892403,16777215,1
7b854049,60,21.001,1610892413,16776960,4
73ec37b3,美味时刻,271.37,1610892419,16777215,1
90a1c5a3,热乎,4.059,1610878318,16777215,1
2a53e01b,我来的好早,11.116,1610878320,16777215,1
dae657b8,这个有用！,214.901,1610878320,16777215,1
a63699d1,么呆,255.031,1610878331,15138834,5
47641776,关上6分钟的大门,14.532,1610878334,16777215,1
37b9e545,出息了,25.062,1610878334,16646914,5
2184473e,换碟成功,489.465,1610878336,16777215,1
a63699d1,么哒,257.551,1610878337,15138834,5
6a24d527,来早了,9.782,1610878337,16777215,1
17ae38d,撸sir直呼内行,286.059,1610878338,16777215,1
20bf678a,热乎,5.013,1610878339,16777215,1
ff6473dc,这是什么位置？,283.345,1610878341,16777215,1
e8935f5f,太难了,401.838,1610878341,15138834,1
9fce2655,六分钟！我出息了,8.299,1610878343,16777215,1
dae657b8,你会被击退doge,232.101,1610878345,16777215,1
a8a2a779,白给位,286.914,1610878347,16777215,1
9812a1fc,尝龟,288.326,1610878352,16777215,1
5aaeb925,烫嘴,19.019,1610878353,16777215,1
375311ea,7分钟，勉强能吃,18.552,1610878358,16777215,1
62cd67d7,60万粉贺电,0.632,1610878360,16646914,5
2930bcf,老粉都知道，这是什么位置,286.579,1610878362,16777215,1
b2783de4,老粉都知道,283.261,1610878362,38979,5
944a5baf,宫本不适合,177.378,1610878365,16777215,1
62ed8464,尝龟位！,285.561,1610878366,16777215,1
84675344,烫到了,12.642,1610878366,16777215,1
76da861f,热乎,6.119,1610878366,16777215,1
5bff274c,60万合影,13.491,1610878367,16777215,1
18f5a73c,两次四舍五入就是10,262.659,1610878367,15138834,5
a8a2a779,老小学生了,294.656,1610878368,16646914,1
4e019e1d,溢出指70,207.705,1610878374,16777215,1
199c6401,芜湖七分钟,8.602,1610878380,16777215,1
fa1f936a,三分钟，好烫,0.0,1610878380,16777215,1
1aaf275a,七分袖,28.28,1610878383,16777215,1
7da21b7d,大仙小学生，实锤了doge,401.995,1610878385,16777215,1
647cd24c,脏良,173.241,1610878387,16777215,1
77a9f932,去铂金局练吧，征兆6个ban位我就没看过把澜放出来的,36.819,1610878387,16777215,1
18b3115d,我名字长吗,381.569,1610878390,16777215,5
d0796011,铂金，哈,405.483,1610878391,16777215,1
45c76d22,按技能看心情,65.149,1610878393,16777215,1
53f6af35,后羿现状,483.333,1610878394,16777215,1
c5f0ec78,老板换碟,480.201,1610878397,15138834,5
6a32d80f,你成功引起了我的注意,413.625,1610878397,16646914,1
d316c359,6分钟！热乎的！,4.179,1610878403,16777215,1
f8b1c5b9,热乎,7.294,1610878404,16777215,1
e98e2bb1,7分钟,27.989,1610878404,16777215,1
537f47d6,关上80的大门,40.147,1610878405,16646914,5
b35865f9,然而我实战中这些空位都是放好几个小件的,209.601,1610878408,41194,5
c5f0ec78,换碟第一认证,480.201,1610878408,15138834,5
adbb7991,这不都是大招^O^,251.258,1610878411,41194,1
3c63d8a4,一生之敌,412.264,1610878412,15138834,4
4034552f,哈。老勤,27.955,1610878418,16777215,1
c06b9437,香大小姐,141.14,1610878428,16777215,1
31ce293a,热乎,12.536,1610878435,16777215,1
ea2e2e29,尝龟,297.979,1610878436,16777215,1
e8935f5f,害死自己,499.343,1610878439,15138834,1
729eba74,八分钟。,8.899,1610878440,16777215,1
fb1ee821,关上十分钟的大门,14.7,1610878442,16777215,1
12f5fa45,八分钟！,8.125,1610878443,16777215,1
12f5fa45,好耶,9.81,1610878447,16777215,1
a600c72e,学到了,134.204,1610878450,16777215,1
703a6958,无人区,416.035,1610878451,16777215,1
2cd50300,饱了,352.786,1610878454,16777215,1
12f5fa45,大仙妈爱,11.879,1610878455,16777215,1
b4f7a411,亚瑟,126.433,1610878458,16777215,1
7655309f,我刚从撸sir那回来,287.295,1610878458,16646914,1
b35865f9,想秒换装就是开一个新的装备方案栏这么玩,209.601,1610878459,41194,5
dae657b8,仙接鸟，爷青回,349.561,1610878476,16777215,1
dae657b8,oh,363.061,1610878494,16777215,1
80559461,关上前10大门,19.71,1610878497,16777215,1
c723c49a,那一天，澜化成了光,117.401,1610878498,16777215,1
e9029e7c,9分钟，热乎,4.899,1610878500,16777215,1
647cd24c,仙接鸟爷青回。,353.373,1610878502,15138834,1
aa34ba8,换碟成功,485.977,1610878504,16777215,1
83684352,好香的饭,344.219,1610878506,16777215,1
9570c0f8,直接起飞,75.753,1610878512,16777215,1
7655309f,射手来拿兰,330.202,1610878513,16646914,1
703a6958,2062人合影,481.755,1610878516,16777215,1
cb0bb3e3,9分钟，烫手,0.0,1610878516,16777215,1
17e0c9d4,白给位,286.228,1610878518,16777215,1
8474d503,热乎,9.219,1610878522,16777215,1
eff7fc46,你给我等着可太真实了,295.625,1610878528,16777215,1
a10aacf6,放错片了？,430.727,1610878531,16777215,1
56669436,神父换碟,475.41,1610878531,16777215,1
647cd24c,铂金翻车。,403.461,1610878533,15138834,1
6aae0c72,学到了,231.56,1610878535,16777215,1
3bbee8ab,是谁主宰深海的大菠萝丽,361.976,1610878536,16776960,5
396b0ee0,我记得这里换了BGM的,361.639,1610878536,16777215,1
30abbad2,十分钟，用核弹炸一下应该能吃,16.123,1610878542,16646914,5
b8c6137d,换碟,486.292,1610878543,16777215,1
98850a76,仙接鸟，爷青回,346.19,1610878548,16777215,1
35507053,澜不是有手就行吗,26.518,1610878548,16777215,1
b6301c7b,来了,13.263,1610878549,16777215,1
fc7adc6f,5分钟,172.98,1610878549,16777215,1
56669436,换碟成功,487.067,1610878551,16777215,1
3ffa15fb,三分钟，好热乎,374.125,1610878551,11890,1
ace9ac4b,60四舍五入,256.361,1610878556,16777215,5
becfac4d,今天被一个澜打爆，也是一秒四刀,61.499,1610878559,16777215,1
72a89541,8分钟没啥人,26.02,1610878561,16777215,1
ddcb78df,热乎，看到我就已经没有十分钟了,10.382,1610878562,16777215,1
29a0ffc6,十分钟！,4.073,1610878563,16777215,1
73e57e84,这是什么位置,280.203,1610878566,16777215,1
b35865f9,这是什么段位？这种发言都能出现,295.371,1610878574,41194,5
592c1ce1,这个二技能看的我直接生气,359.724,1610878576,15138834,1
5cde9de4,来了,58.499,1610878578,16777215,1
f0fb64e3,饭来了,322.769,1610878579,15138834,5
bd857e3,赶紧削吧,85.198,1610878579,16777215,1
51d88bff,没想到吧他有保镖,341.111,1610878579,16777215,1
647cd24c,第1个换爹。,489.266,1610878582,15138834,1
cf855308,好家伙，低端局中的低端局。,306.439,1610878583,41194,5
ae4806b7,oh,365.712,1610878583,16777215,1
241a8659,十分钟,4.899,1610878585,15138834,5
c7e99897,小胖,43.582,1610878586,16777215,1
f3f461af,奔狼是会给队友加移速的集美们,172.051,1610878589,15138834,5
bd857e3,数值怪,96.355,1610878590,16777215,1
90a1c5a3,我先来，么呆,257.314,1610878595,16777215,1
2a29b9b3,热乎！,3.347,1610878596,16777215,1
a10aacf6,换碟成功,485.669,1610878602,16777215,1
