Sender,DmContent,AppearTime,SendTime,FontColor,DmType
d8dfb0a9,这大长腿,228.899,1610963351,16777215,1
95b86fb3,这样能遮住雨吗,49.808,1610963404,16777215,1
95b86fb3,？！hush,97.279,1610963463,16777215,1
ab7f9b31,允浩不能输给雨,13.407,1610963508,15138834,5
47417b38,电影既视感,31.647,1610963523,16777215,1
ab7f9b31,霸气外露找死23,31.238,1610963543,15138834,5
95b86fb3,捅那么多刀还在呢,181.316,1610963549,16777215,1
b590c27,靠，别捅了,89.66,1610963554,16777215,1
d8dfb0a9,有种未完待续的感觉,426.239,1610963570,16777215,1
ab7f9b31,电梯战神丁青,64.215,1610963584,15138834,5
ab7f9b31,感觉被兄弟背叛，难受允浩,84.556,1610963624,15138834,5
87995886,我觉得我哥的演技有进步，真的,115.694,1610963633,16777215,1
95b86fb3,我喜欢这个大叔和允儿,317.211,1610963685,16777215,1
13a9a0a7,这伞打了个寂寞哈,32.128,1610963693,16777215,1
85b34d6d,哥太帅了,424.969,1610963701,16777215,1
7531fef3,吃饱去好上路,265.039,1610963702,16777215,1
ab7f9b31,导演这动作戏可以吗？可以找他拍戏,155.23,1610963716,15138834,5
95b86fb3,又是这种游戏,367.698,1610963735,16777215,1
ab7f9b31,又是电梯大战？赢了就可以单挑电梯战神？,149.577,1610963791,15138834,5
b590c27,好紧张啊,360.508,1610963825,16777215,1
8bcae0e5,黑道气质拉满,195.946,1610963838,16777215,1
7a4c5bca,操戴着墨镜好像李秀满,95.339,1610963850,16777215,1
2489021,东！方！神！起！郑！允！浩！,163.385,1610963866,16777215,1
38aa43bb,不能输给雨的太草了哈,19.459,1610963867,16777215,1
b60ef8ca,黄政民胖了，差点认不出来,312.473,1610963937,16777215,1
1609816c,老郑5,87.64,1610963942,16777215,1
9b3404be,这个棒糖一看就知道是珍宝珠的还挺好吃,93.059,1610963945,16777215,1
d8dfb0a9,我的妈，别捅了,78.279,1610963968,16777215,1
ab7f9b31,哈东方派，那你小弟昌珉？,291.037,1610963972,15138834,5
daddd1d6,果然主角,135.728,1610963974,16777215,1
8bde6aae,这个时长,5.26,1610964045,16777215,1
6ec9f45,靠！太帅了！忍不住骂脏话！,12.597,1610964084,15138834,5
8bcae0e5,质感好绝,12.311,1610964121,16777215,1
4eb35926,哈对不起,289.478,1610964155,16777215,1
ab7f9b31,真的是电影画面感,444.649,1610964170,15138834,1
1209cad7,哇哦sm花钱了,99.634,1610964176,16777215,1
eaf7b214,那一桌吃的呢？,388.959,1610964177,16777215,1
daddd1d6,如何活起来再跳，就有意思啦,240.36,1610964186,16777215,1
ae781f95,哇黄政民影帝,95.283,1610964220,16646914,5
8d8a3299,我淦也太刺激了吧才开始诶冲击,84.195,1610964222,16777215,1
14a3ccd5,哥！,87.844,1610962640,16777215,1
b5d0ea1b,大片既视感,186.789,1610962673,16646914,1
c95c8f0d,前排围观帅哥,17.161,1610962781,16777215,1
c95c8f0d,太帅了吧,30.163,1610962794,16777215,1
c95c8f0d,大哥好帅,188.474,1610962868,16777215,1
91b77520,哥太帅了！,14.059,1610962884,16777215,1
13fc1d54,开心,11.296,1610962923,16777215,1
6c1625b,suai,42.435,1610963002,16777215,1
1fb880de,逆生长的哥,31.442,1610963038,16777215,1
1fb880de,大制作啊,107.551,1610963068,16777215,1
14a3ccd5,哥你死得挺帅的,104.724,1610963077,16777215,1
d3ee6d82,俄罗斯转盘,317.167,1610963113,16777215,1
f4360ea8,配乐也好像电影里的,253.506,1610963142,16777215,1
91518598,给闹增加弹幕！,8.299,1610963161,15138834,5
d8dfb0a9,黑帮大佬,193.199,1610963306,16777215,1
34548cd0,我一开始还以为是秀满哈,88.444,1610963333,16777215,1
8ee4e990,第一！承包阿浩！,8.82,1610962470,16777215,1
