Sender,DmContent,AppearTime,SendTime,FontColor,DmType
b540a5a1,等小蕾,12.879,1610859667,16707842,1
d9f994e5,坐等北子哥，蕾丝还有马哥,0.699,1610860089,41194,5
4334cd75,KBDYDNB,0.403,1610860420,16777215,1
4334cd75,KBDYD,3.476,1610860436,15138834,5
4334cd75,KBDYD,4.499,1610860454,16707842,5
6506d457,KBDYD,8.425,1610860709,16777215,1
9fd64cfb,花少北,3.599,1610861580,41194,1
9fd64cfb,阴阳怪气,8.099,1610861591,15138834,1
21fecbb,人家彩虹椭奇,12.912,1610861949,16777215,1
21fecbb,期待奇,3.324,1610861957,16777215,1
21fecbb,人间彩虹椭奇,13.835,1610861968,16777215,1
98c2e3c6,期待西装教父！,0.0,1610862314,8700107,1
98c2e3c6,阴阳怪气冲！,0.0,1610862339,8700107,1
1b372739,等阴阳怪气1,8.064,1610863040,16777215,1
792fd2b7,沐哥冲！,1.939,1610863341,16707842,5
92fd1070,阴阳怪气yds,8.463,1610894831,16777215,1
b540a5a1,等小蕾,12.879,1610859667,16707842,1
d9f994e5,坐等北子哥，蕾丝还有马哥,0.699,1610860089,41194,5
4334cd75,KBDYDNB,0.403,1610860420,16777215,1
4334cd75,KBDYD,3.476,1610860436,15138834,5
4334cd75,KBDYD,4.499,1610860454,16707842,5
6506d457,KBDYD,8.425,1610860709,16777215,1
9fd64cfb,花少北,3.599,1610861580,41194,1
9fd64cfb,阴阳怪气,8.099,1610861591,15138834,1
21fecbb,人家彩虹椭奇,12.912,1610861949,16777215,1
21fecbb,期待奇,3.324,1610861957,16777215,1
21fecbb,人间彩虹椭奇,13.835,1610861968,16777215,1
98c2e3c6,期待西装教父！,0.0,1610862314,8700107,1
98c2e3c6,阴阳怪气冲！,0.0,1610862339,8700107,1
1b372739,等阴阳怪气1,8.064,1610863040,16777215,1
792fd2b7,沐哥冲！,1.939,1610863341,16707842,5
1e8c40c8,蹲一个西装幻,7.801,1610855217,16777215,1
4b23a981,坐等阴阳怪气。,4.54,1610856964,16777215,1
f31b2155,芜湖,2.683,1610855127,16777215,1
56b054db,热乎,5.177,1610855155,16777215,1
b2924ac2,打卡,8.554,1610854793,16777215,1
