4230,270,114,34,519,1611055943
4147,264,108,34,507,1611055012
4076,260,106,33,499,1611054120
3986,253,105,32,489,1611053230
3890,243,104,31,483,1611052315
3792,241,104,30,478,1611051428
3706,238,103,30,472,1611050540
3615,233,101,27,462,1611049668
3543,229,99,27,453,1611048768
3469,222,96,27,444,1611047888
3402,218,94,24,439,1611047023
3326,211,92,24,431,1611046140
3242,209,89,24,420,1611045245
3168,205,86,24,407,1611044364
3087,201,83,23,401,1611043484
2997,198,79,22,393,1611042606
2918,191,78,22,383,1611041730
2798,186,77,21,371,1611040852
2648,181,75,21,360,1611039991
2485,173,72,21,345,1611039125
2324,169,70,21,336,1611038236
2146,162,68,18,322,1611037378
1982,152,67,17,300,1611036519
1833,146,63,17,281,1611035648
1664,131,57,15,261,1611034793
1445,117,53,15,239,1611033924
1214,102,48,12,216,1611033055
882,78,40,7,167,1611032198
550,53,31,4,109,1611031337
119,12,9,1,29,1611030476
