Sender,DmContent,AppearTime,SendTime,FontColor,DmType
c62c5d5e,看来我是第一个,10.792,1610855558,16777215,1
931e4319,地三鲜,4.177,1610855572,16777215,1
149b4b28,第一，热乎,12.077,1610855574,16777215,1
9ef4867c,给S8后的粉丝看,38.462,1610855677,16777215,1
88d44bef,能开到污渍的团就是好团,60.814,1610855689,16777215,1
9cdadaad,经典二级抓下,81.479,1610855704,16777215,1
ae7ea4d,这不比博人传燃？,20.219,1610855718,16777215,1
a85e8128,御三家！,7.739,1610855723,14811775,5
78daa7a9,针对我物资？,86.001,1610855754,16777215,1
5dd3e05,谁敢横刀立马，唯我虎大将军！,45.199,1610855761,15138834,5
ba975fe2,纵有疾风起，皇族不言弃,34.182,1610855765,16707842,5
962e05a3,泪目,98.779,1610855768,16777215,1
ba975fe2,纵有疾风起，皇族不言弃,34.315,1610855815,15138834,5
2342face,这RNG老背景板了,87.639,1610855818,16777215,1
df61e3d9,泪目,33.707,1610855820,16777215,1
e2107ac3,销户，我的销户,45.859,1610855842,16777215,1
c78dcfc2,LegendsNeverDie,2.055,1610855843,16777215,1
ed6e9ef0,泪目,38.907,1610855843,16777215,1
17087ca6,泪目,36.059,1610855862,16777215,1
562bacad,哈S7rng春夏觉都是背景板,89.748,1610855883,16777215,1
ba975fe2,纵有疾风起，皇族不言弃,34.315,1610855892,14811775,5
7b142006,爷青回,5.059,1610855897,16777215,1
ba975fe2,谁敢横刀立马，唯我虎大将军,49.069,1610856001,16707842,5
41ac6958,我不管，春季赛到此结束,71.081,1610856001,16777215,1
ba975fe2,谁敢横刀立马，唯我虎大将军,49.069,1610856022,15138834,5
ba975fe2,谁敢横刀立马，唯我虎大将军,49.069,1610856030,38979,5
3ede1aff,啊杀我啊WE！,33.185,1610856112,15138834,1
f5c15d68,春之虎帝,40.937,1610856179,16777215,1
dcabefd8,回来了都回来了qwq,48.443,1610856205,16777215,1
3dc5a66c,经典二级抓下，BP的时候都安排上了,79.368,1610856227,16646914,5
b2367403,s8春决呢，doge,96.646,1610856273,16777215,1
9ac69fa2,这bgm真的听不厌,15.581,1610856289,16777215,1
3dc5a66c,唯一可惜的是S7总决赛上三队的发挥并不那么理想,102.338,1610856290,16646914,5
3ff45339,经典二级抓下,77.979,1610856290,16777215,1
8c387b4,物是人非,22.932,1610856308,16777215,1
efb3aac0,泪目,74.282,1610856315,16777215,1
5ea8d484,不理想？我认为那是御三家最强的时候包括rng,103.971,1610856320,16777215,1
3aa3409,爷青回,10.704,1610856391,16777215,1
8bc9d29a,那时候龙之子康帝还在比赛,33.179,1610856426,16777215,1
53d0ea44,泪目,4.012,1610856464,16777215,1
22cef4a,三星！,41.875,1610856479,16777215,1
621ea5fc,御三家都有发条哈,24.579,1610856577,16777215,1
9ff3d559,氧气瓶,46.759,1610856594,16777215,1
c3aac971,互为背景板,59.526,1610856597,16777215,1
bf1b18a6,这不是二路解说吗？怎么剪进来了23,23.614,1610856608,16777215,1
bf1b18a6,米勒永远的神啊,34.934,1610856637,16777215,1
6dfbd700,让二追三,81.329,1610856658,16777215,1
d8a80f9a,这放的跟we春季赛没30rng一样,51.942,1610856682,16777215,1
c1dd13ae,米勒版好评！,23.707,1610856684,16777215,1
3a079563,回来了，全部都回来了,12.819,1610856689,15138834,5
10ae8d12,那时候we为所欲为组合20分钟推平基地,69.87,1610856693,16777215,1
c62c5d5e,看来我是第一个,10.792,1610855558,16777215,1
931e4319,地三鲜,4.177,1610855572,16777215,1
149b4b28,第一，热乎,12.077,1610855574,16777215,1
9ef4867c,给S8后的粉丝看,38.462,1610855677,16777215,1
88d44bef,能开到污渍的团就是好团,60.814,1610855689,16777215,1
9cdadaad,经典二级抓下,81.479,1610855704,16777215,1
d90b9457,高兴的太早了吧,63.078,1610855706,16777215,1
ae7ea4d,这不比博人传燃？,20.219,1610855718,16777215,1
a85e8128,御三家！,7.739,1610855723,14811775,5
78daa7a9,针对我物资？,86.001,1610855754,16777215,1
5dd3e05,谁敢横刀立马，唯我虎大将军！,45.199,1610855761,15138834,5
ba975fe2,纵有疾风起，皇族不言弃,34.182,1610855765,16707842,5
962e05a3,泪目,98.779,1610855768,16777215,1
ba975fe2,纵有疾风起，皇族不言弃,34.315,1610855815,15138834,5
2342face,这RNG老背景板了,87.639,1610855818,16777215,1
df61e3d9,泪目,33.707,1610855820,16777215,1
e2107ac3,销户，我的销户,45.859,1610855842,16777215,1
ed6e9ef0,泪目,38.907,1610855843,16777215,1
c78dcfc2,LegendsNeverDie,2.055,1610855843,16777215,1
17087ca6,泪目,36.059,1610855862,16777215,1
562bacad,哈S7rng春夏觉都是背景板,89.748,1610855883,16777215,1
