Sender,DmContent,AppearTime,SendTime,FontColor,DmType
aa8c6997,洛天依帮忙,145.621,1610900659,16777215,1
a9169fbe,胖头鱼,210.443,1610900665,16777215,1
6e1a0561,什么奇怪的东西混进去了,443.324,1610900748,16777215,1
fb4f1dae,猿声大碟,28.099,1610900758,15138834,1
6731f913,这在原片是故意的吗,395.873,1610900782,16777215,1
a9169fbe,这不比博人传燃？,317.663,1610900784,16777215,1
6366d7a3,这不比博人转燃？！,317.819,1610900842,16777215,1
aa8c6997,盖亚,321.812,1610900845,16777215,1
c45d8e06,这bgm好像在异化之地里听到过,246.249,1610900888,16777215,1
a4530879,bgm是什么,272.334,1610900999,16777215,1
1a7da5d7,原汁原味,257.182,1610901062,16777215,1
cb58c04d,这个周淑怡肯定被感染了，不然不可能那么大,160.723,1610901139,16777215,1
e90a349b,盖亚,327.39,1610901170,16777215,1
bc77732b,格伦被爆头了,83.438,1610901182,16777215,1
2e17aae2,这不是原版？,173.839,1610901218,16777215,1
cb58c04d,原版,303.062,1610901283,16777215,1
e3b7e3d5,周姐,289.493,1610901284,16777215,1
1e596f7d,喜欢李团长,67.381,1610901307,16777215,1
d5ce0fc8,少拿原片水视频doge,329.343,1610901345,15138834,1
56e8e08a,不是故意的，后来还回来救了,401.853,1610901395,16777215,1
57f787e7,看紧张了,274.437,1610901446,15138834,1
aa4774f,一个挂b还带路跑？就离谱,90.516,1610901466,16777215,1
cb58c04d,全员恶人,425.949,1610901554,16777215,1
faafc601,这里锁门是想阻止僵尸上楼顶,388.409,1610901594,15138834,5
cb58c04d,这台车，全员恶人,476.679,1610901614,16777215,1
6351493c,前面的在想屁吃,185.219,1610901728,16777215,1
7a7e4e5a,lbwnb！,501.588,1610901792,16777215,1
6351493c,我跟着紧张起来了,255.899,1610901803,16777215,1
c5778a14,天皇蒙尘,396.135,1610901885,16707842,5
1781002a,腹语术,130.761,1610901996,41194,5
fe5f6e43,热乎的,5.188,1610902057,16777215,1
fe198e1,热乎,0.0,1610902082,16777215,1
a0db5f00,蛋拐排面,109.097,1610902207,16777215,1
a0db5f00,周姐这么大？！,159.273,1610902269,16777215,1
388afee9,肚子疼,417.792,1610902357,15138834,1
ada9a290,带制作,107.758,1610902470,16777215,1
8d76894a,有生之年系列,7.23,1610902560,15138834,4
b184db15,或前六名,10.738,1610902609,16777215,1
f38b9397,铁腕美式肌肉车,450.081,1610902634,16777215,1
8d76894a,住在山里针不戳,137.747,1610902736,16707842,5
adeb6861,有个奇怪的东西在撞车门,441.079,1610902765,16777215,1
7fea2dc1,红火恍惚或,379.839,1610902785,16777215,1
b184db15,nb,114.417,1610902808,16777215,1
9f7b581c,发过一遍,99.987,1610902811,16777215,1
5b6d7b01,热乎的,12.432,1610902840,16777215,1
2eadc35,热乎的,4.756,1610902915,16777215,1
9253250f,哈或,383.789,1610902946,16777215,1
6111fb8f,我燃了,305.142,1610903051,15138834,5
f0bc48d0,周姐哪有这么大,157.219,1610903063,16777215,1
1fc21ee5,这是行尸走肉,67.087,1610903086,16777215,1
9895d7d3,woc，来了吗,9.26,1610903115,16777215,1
ef432642,失踪人口回归,4.671,1610903159,16777215,1
624ae0a,格伦，爷青回,66.019,1610903180,16777215,1
76d9bd0e,周姐加强好多,163.139,1610903207,16777215,1
e85b7f34,行尸走肉第一季第一集,108.86,1610903257,15138834,5
e9cb82ee,我是不是看过,71.689,1610903358,16777215,1
72aa55ea,来了,10.929,1610903380,16777215,1
a3619ca2,周姐靓,152.754,1610903451,16777215,1
e85b7f34,可怜的老莫尔，要剁手了,393.812,1610903610,15138834,5
89e7ef1,我说怎么那么眼熟,76.179,1610903669,16777215,1
c827b40d,字母错了，是鄂豫皖不是鳄鱼湾,61.459,1610903698,16777215,1
26d0cb93,这是原版吧,72.379,1610903725,16777215,1
da1c7e27,按f4会给踢出游戏,183.968,1610903756,16777215,1
2f90df7,毫无违和感,187.433,1610903841,16777215,1
f6f1422c,行尸周肉？,80.468,1610903883,16777215,1
b7981f62,美国现状,22.3,1610903891,15138834,1
2f90df7,不和谐不过申,191.551,1610903896,16777215,1
bc38e2bd,这NM直接开无双了,318.519,1610903922,16777215,1
c9d62c43,弩哥大哥,401.91,1610903938,16777215,1
b7981f62,美国现状,98.025,1610903967,15138834,1
13658e71,行尸走肉第一季,19.811,1610904007,16777215,5
ca8b6794,台词真的毫无违和感,335.881,1610904032,16777215,1
8bd03e32,火钳刘明！热乎的大制作,3.049,1610904049,16777215,1
aa8c6997,洛天依帮忙,145.621,1610900659,16777215,1
a9169fbe,胖头鱼,210.443,1610900665,16777215,1
6e1a0561,什么奇怪的东西混进去了,443.324,1610900748,16777215,1
fb4f1dae,猿声大碟,28.099,1610900758,15138834,1
6731f913,这在原片是故意的吗,395.873,1610900782,16777215,1
a9169fbe,这不比博人传燃？,317.663,1610900784,16777215,1
6366d7a3,这不比博人转燃？！,317.819,1610900842,16777215,1
aa8c6997,盖亚,321.812,1610900845,16777215,1
c45d8e06,这bgm好像在异化之地里听到过,246.249,1610900888,16777215,1
a4530879,bgm是什么,272.334,1610900999,16777215,1
1a7da5d7,原汁原味,257.182,1610901062,16777215,1
cb58c04d,这个周淑怡肯定被感染了，不然不可能那么大,160.723,1610901139,16777215,1
e90a349b,盖亚,327.39,1610901170,16777215,1
bc77732b,格伦被爆头了,83.438,1610901182,16777215,1
