Sender,DmContent,AppearTime,SendTime,FontColor,DmType
115404dd,哈演技不错,783.162,1611066732,16777215,1
1469c75c,卧槽,312.248,1611066774,16777215,1
1469c75c,反正我是抓不住,669.663,1611066993,16777215,1
1469c75c,小天使啊,699.207,1611067012,16777215,1
1469c75c,日本艺人很习惯整蛊吗。我看着就尴尬了23,714.904,1611067037,16777215,1
1469c75c,巧妙,773.738,1611067070,16777215,1
4775da2d,可爱君好聪明！,765.318,1611067201,13369971,1
4775da2d,可爱君求你们放过我T,814.373,1611067314,16777215,1
4b126025,不错啊,1475.14,1611067326,16777215,1
b533a1fd,23,273.724,1611065348,16777215,1
f055edac,左上你哪位,119.006,1611065686,16777215,1
1c1861dd,喜欢这两个后辈，润的模仿者，和翻跟头小哥,119.442,1611065713,16777215,1
1c1861dd,他们俩是一个组合的吗？,216.48,1611065810,16777215,1
da47a784,察言观色故意赢掉,64.953,1611065871,16777215,1
1c1861dd,太厉害了前辈,313.43,1611065896,16777215,1
81fad75e,疯狂暗示,187.113,1611066116,16777215,1
e5ac6485,芜湖,451.861,1611066197,16777215,1
1c1861dd,心疼这2孩子，有点难啊,834.912,1611066407,16777215,1
81fad75e,绝望,481.093,1611066419,16777215,1
