Sender,DmContent,AppearTime,SendTime,FontColor,DmType
dd5b95bd,师弟团冲呀！,5.602,1611077885,38979,1
6afb6d5,有点难忘今宵那味儿了？,216.148,1611078077,16777215,1
73ddf97f,这TM求你拿一位吧！,211.424,1611078478,16777215,1
6fba29fe,真的好上头MD,41.945,1611078646,16777215,1
6fba29fe,恶童风格真的好适合,170.892,1611078789,16777215,1
6fba29fe,我鸡皮疙瘩掉一地,189.652,1611078824,16777215,1
285ea82c,啊rap爱了好嘛帅,94.823,1611077147,16777215,1
10fbfa85,李建熙妈来啦！,2.653,1611077357,16777215,1
4df0c471,李建熙,13.978,1611077370,6830715,4
8ef16b49,太喜欢抒澔这段了,177.019,1611076145,16777215,1
eac9445,建熙啊,29.42,1611076463,16777215,1
eac9445,koni声音太绝,40.72,1611076481,16777215,1
c41e99f7,老婆我不要bye,111.006,1611076494,16777215,1
fae0d8b8,来了,6.97,1611075402,16777215,1
fae0d8b8,吹爆这个vocal,50.181,1611075446,16777215,1
fae0d8b8,这个raper好帅啊,85.189,1611075481,16777215,1
fae0d8b8,哦。诶哦,184.198,1611075643,16777215,1
4df0c471,Koni宝贝也太野了！妈不允许你伸舌头！,171.48,1611074200,16777215,1
e6278084,大哥好帅,77.624,1611074686,16777215,1
606edb6d,恭喜发现宝藏,0.0,1611074722,15138834,5
e6278084,大发,200.203,1611074809,16777215,1
ae07dfcf,老婆,43.198,1611074829,14811775,5
ae07dfcf,李抒澔吻我了呜,99.669,1611074912,14811775,5
ae07dfcf,天籁汽水音李抒澔,117.29,1611074965,16707842,5
4df0c471,音色流氓李抒澔,98.823,1611073086,11890,5
4df0c471,红酒电音金英助,105.547,1611073140,15138834,5
4df0c471,红酒电音金英助,105.547,1611073145,15138834,5
4df0c471,人间惊鸿李建熙,112.864,1611073175,6830715,5
4df0c471,人间惊鸿李建熙,112.864,1611073181,6830715,5
3ecab336,这舞台不得跳塌呀k,208.576,1611073243,16777215,1
4df0c471,感谢李建旻好成长成为ONEUS的李抒澔,119.904,1611073253,41194,5
fae0d8b8,宝们冲鸭！,2.116,1611073276,16777215,1
fae0d8b8,不可反驳！,13.194,1611073287,16777215,1
fae0d8b8,抓耳的旋律！绝了！,58.687,1611073332,16777215,1
3ecab336,连续剧了！,8.939,1611073369,16777215,1
fae0d8b8,无限暴击,131.72,1611073405,16777215,1
fae0d8b8,雪好野！,158.559,1611073448,16777215,1
fae0d8b8,大发！,213.041,1611073502,16777215,1
fae0d8b8,冲鸭！,220.273,1611073509,16777215,1
fae0d8b8,我肆回归！,8.681,1611073530,16777215,1
884aaeb8,白衣造型就是土壁宝的打歌服k,157.441,1611073549,16777215,1
fae0d8b8,雄这次这么赞？！,25.855,1611073584,16777215,1
fae0d8b8,这位很鲨啊,85.439,1611073644,16777215,1
eac9445,这几句太上头,55.713,1611072125,16777215,1
eac9445,熊杀了我,70.947,1611072144,16777215,1
d381e8a6,一位卡夹！,213.554,1611072308,38979,5
4df0c471,RATA,67.604,1611072862,16777215,1
4df0c471,RATA,67.604,1611072875,14811775,5
4df0c471,RATA,67.604,1611072884,14811775,5
aad2a4dd,师弟团牛逼！,10.365,1611072938,16777215,1
4df0c471,金建学,80.039,1611072955,9487136,5
eac9445,我爱吕焕雄我爱阿肆,6.859,1611072994,16777215,1
359826b,有点像刘丧？,107.808,1611073009,16777215,4
4df0c471,豆老公帅死我了,88.658,1611073012,38979,1
4df0c471,精灵秘语孙东柱,90.908,1611073039,16707842,5
eac9445,表白熊,21.485,1611073045,16777215,1
4df0c471,精灵秘语孙东柱,90.908,1611073048,16707842,5
4df0c471,精灵秘语孙东柱,90.908,1611073057,16707842,5
eac9445,表白建熙,30.285,1611073068,16777215,1
3ecab336,持续升天,58.436,1611073077,16777215,1
1ea1b1e9,肆的dancebrake！,209.087,1611071245,16777215,1
1ea1b1e9,这里的节奏,222.29,1611071258,16777215,1
1ea1b1e9,逐渐上头了,25.156,1611071271,16777215,1
51805e05,好听！,65.375,1611071425,16777215,1
e1e502a4,靠这也太好听了,60.739,1611071562,16777215,1
2602ba7a,杀疯了呜awsl,204.479,1611071699,16777215,1
7dd02c62,英助辣味起来就是很杀！,150.34,1611071932,16777215,1
eac9445,吕焕雄我爱你,11.09,1611072056,16777215,1
5954681b,rbw啥时候这么有钱了,35.331,1611070357,16777215,1
1ea1b1e9,开头的舞和上一张专辑主打死不死连上了！,1.896,1611070357,16707842,1
1ea1b1e9,老婆！,20.944,1611070376,16777215,1
5954681b,啊好羡慕,60.784,1611070387,16777215,1
8dfbeb0b,绿发是LEDO金建学，mainrapervocal,173.186,1611070511,16777215,1
13b2cffb,我去，这一句,99.17,1611070658,41194,5
1ea1b1e9,这次ravn也太亮眼辽！,30.416,1611070682,16777215,1
13b2cffb,主唱声音真好,127.044,1611070686,41194,1
13b2cffb,好帅,168.086,1611070727,41194,1
13b2cffb,好听的,181.393,1611070740,41194,1
13b2cffb,大哥的弹舌,183.849,1611070759,15138834,1
13b2cffb,好绝,194.866,1611070770,15138834,1
1f797589,这真的绝了啊！,148.705,1611070839,16777215,1
13b2cffb,反正是越听越上头哈,63.602,1611070923,16777215,1
13b2cffb,啥风格都有了，绝,213.439,1611071073,16777215,1
13b2cffb,真不错，再来一遍,13.732,1611071098,16777215,1
13b2cffb,好帅,36.047,1611071120,15138834,1
13b2cffb,这一嗓子可以,44.606,1611071138,15138834,1
1ea1b1e9,豆这次拉的好,107.749,1611071144,16777215,1
1ea1b1e9,妈ravn的气泡音,119.994,1611071156,16777215,1
13b2cffb,棒啵鸭,78.899,1611071178,16777215,1
1ea1b1e9,好爱疯批！,160.445,1611071196,16777215,1
8b98438e,金英助啊这嗓子我没了,64.979,1611069395,14811775,1
8b98438e,助子的低音,108.346,1611069463,14811775,1
10fbfa85,给李建熙增加浓度,32.543,1611069474,16777215,1
10fbfa85,koni太帅了儿子长大了,32.543,1611069491,16777215,1
8b98438e,金英助太野啊我的妈,145.577,1611069517,14811775,1
8b98438e,老公烧我,178.529,1611069564,16707842,1
8a82da31,这里李建熙声音真的好惊艳啊不愧是主唱,116.109,1611069839,16777215,1
8a82da31,你品这大长腿,170.625,1611069925,16777215,1
8a82da31,李扣尼大bos无疑了,218.877,1611070003,16777215,1
b6d36d0d,把好绝打在公屏上,82.217,1611070116,16777215,1
247bb48a,金建学！,18.088,1611070218,16777215,1
884aaeb8,前面应援的笑死k,190.568,1611070242,16777215,1
a76b1a5,抒澔！,43.399,1611068439,16777215,1
a76b1a5,小好这段太好听了！,46.026,1611068488,16777215,1
de2dac1d,RavnSeohoLedoKeonheHwanwongXionONEUS,183.732,1611068494,15772458,5
a76b1a5,抒澔宝贝,51.72,1611068515,16777215,1
a76b1a5,腹肌啊,52.166,1611068576,16777215,1
de2dac1d,XionHwanwongKeonheLedoSeohoRavn,190.16,1611068580,15772458,5
de2dac1d,RavnSeohoLedoKeonheHwanwongXionONEUS,197.076,1611068602,15772458,5
a76b1a5,李抒澔我爱你呜,100.667,1611068625,16777215,1
de2dac1d,XionHwanwongKeonheLedoSeohoRavn,202.736,1611068653,15772458,5
a76b1a5,我也喜欢！好听死了！,120.992,1611068674,16777215,1
de2dac1d,不可反驳,208.007,1611068713,16777215,5
a76b1a5,ONEUS冲！,1.884,1611068718,16777215,1
a76b1a5,表白我们肆！,5.92,1611068757,16777215,1
de2dac1d,RavnSeohoLedoKeonheHwanwongXionONEUS,183.776,1611068788,16777215,5
de2dac1d,XionHwanwongKeonheLedoSeohoRavn,190.177,1611068854,16777215,5
a76b1a5,睁大眼睛kiyo,80.047,1611068872,16777215,1
f78285c4,太绝啦ONEUS,2.471,1611068876,16777215,1
a76b1a5,好棒啊,87.079,1611068885,16777215,1
de2dac1d,XionHwanwongKeonheLedoSeohoRavn,203.069,1611068907,16777215,5
f78285c4,一位,18.919,1611068908,16777215,1
f78285c4,lsh绝了,45.876,1611068988,15138834,1
f78285c4,好听,125.734,1611069106,15138834,1
b0efe8a6,恭喜你发现了宝藏男团！,0.0,1611069135,41194,5
f78285c4,一位太绝了,203.139,1611069224,15138834,1
f78285c4,开头见,223.363,1611069253,16777215,1
defdbfdb,喜欢这段,85.257,1611069287,16777215,1
b0efe8a6,呜吹爆柱子哥的颜！,140.869,1611069321,38979,1
8b98438e,金英助啊,15.099,1611069331,14811775,1
de2dac1d,不可反驳,181.633,1611067541,38979,5
de2dac1d,不可反驳,181.633,1611067550,16707842,5
52a5ab55,这是我第N遍了太期待打歌舞台了,1.361,1611067732,16777215,1
606edb6d,这个卡点可以说很舒服,9.378,1611067751,16777215,1
606edb6d,熊这个转头我好喜欢！,22.415,1611067821,16777215,1
52a5ab55,容易洗脑,32.864,1611067837,16777215,1
52a5ab55,李好子,43.264,1611067854,16777215,1
606edb6d,好子哥的声音真的宝藏呜,42.517,1611067864,16777215,1
52a5ab55,松鼠放大双眼,78.866,1611067914,16777215,1
2f3bd081,月亮们咱们去做数据吧，卡夹,216.875,1611068017,16777215,1
d65c33fc,眼睛有点不舒服,79.299,1611068327,16777215,1
af60ed3b,好喜欢lsh这一part,118.107,1611066558,16777215,1
