Sender,DmContent,AppearTime,SendTime,FontColor,DmType
f4bb3300,小乔哥我错了,853.375,1611021897,16777215,1
435d77d4,对面小乔好拉夸啊,908.426,1611021898,16777215,1
f93681df,好家伙,440.373,1611021928,16777215,1
cfc0ec27,核爆和炸弹猫更配哦,116.748,1611021957,16777215,1
5bb21092,橘子好惨，都被杀疯了,519.519,1611021984,16777215,1
f083db85,sign我靠,790.717,1611022067,16777215,1
85209215,大招受冷却啊,689.705,1611022172,16777215,1
ee685419,小乔太惨了哈,853.957,1611022284,16777215,1
596577dc,作为露本命玩家，看着对面的露，捉急阿,862.358,1611022305,16777215,1
99655c2d,MVP理所当然,902.477,1611022407,15138834,1
64deee49,你没人头拿了,882.537,1611022441,16777215,1
4491be0,我玩炸弹猫队友疯狂发撤退然后挂机，没有补兵,125.619,1611022497,16777215,1
5c78bbc1,么呆,2.025,1611022498,16777215,1
b3eec48,橘子？不是说来帮我的吗？,527.799,1611022524,15138834,5
c23794bf,掉帧啊，8P该退出历史舞台了,230.339,1611022561,16777215,1
787652a8,表白bgm,81.799,1611022635,16777215,1
d7999020,昨天队友老不清兵打了快四十分钟吐了,807.799,1611022654,16777215,1
f3abae1,吃撑了吗,818.217,1611022659,16777215,1
2103617b,橘子是打架打不过，进场直接死，迫不得已只能带线了，都是这么玩的,790.054,1611022695,16777215,1
7aace36d,这个战绩才十三分？,922.063,1611022725,15772458,1
2461972c,顺风四海皆兄弟,350.62,1611022730,16777215,1
29af9b18,乔妹太惨了,690.491,1611020936,16777215,1
6d2d7b1f,小乔我好想逃却逃不掉,852.763,1611020952,14811775,5
4858bbb5,不影响,322.611,1611020961,16777215,1
3980d4a8,蒙呀还不出魔抗,676.265,1611020978,16777215,1
70ad66a,连一个助攻都没有,295.494,1611021021,16777215,1
86d9657d,BGM好评,100.459,1611021038,16777215,1
a6a21977,这个失误哈,48.83,1611021077,16777215,1
c1d708c5,核爆神曲,87.863,1611021091,16777215,1
29af9b18,小乔我,854.718,1611021115,16777215,1
73d0514,橘子所以爱会消失对吗,453.259,1611021170,41194,1
aae88d94,小乔现状一旦处于逆风几乎等于废掉,460.147,1611021174,41194,5
e69bb07c,好细,94.932,1611021178,16777215,1
f4bb3300,细节嘲讽,459.924,1611021280,16777215,1
f4bb3300,蔡文姬还是比较克炸弹猫的,530.665,1611021367,16777215,1
