Sender,DmContent,AppearTime,SendTime,FontColor,DmType
29e2bbad,高潮准备,219.547,1610972288,16777215,1
29e2bbad,稀里哗啦的水声要来啦,239.047,1610972307,16777215,1
29e2bbad,白姐是潺溪水我自己就是脸滚琴面,285.56,1610972354,16777215,1
4e1478ff,真好听空灵声,57.843,1610973100,16777215,1
5feb1c4d,掉了哈,144.394,1610971726,16777215,1
60f40f42,白无瑕,38.086,1610970479,16777215,1
93d02f13,慢在听,60.23,1610970821,16777215,1
3b18c655,感觉我在湖上飘着了，耳边有水声,79.728,1610971212,16777215,1
304012f,这是在中华髓骨里的声音,77.392,1610971246,16777215,1
dfd6ee5c,没人？,34.346,1610969618,16777215,1
4485f0a9,第一条弹幕由我来送上！,7.619,1610969648,15138834,4
dfd6ee5c,那你来啊,141.72,1610969726,16777215,1
4485f0a9,白老师掉了，掉了,147.139,1610969813,16777215,1
d6bf2587,弹幕组安排,61.359,1610969532,16777215,1
26f78d8d,不咋地,131.186,1610967841,16777215,1
ca4fa0ee,我来组成身体,50.023,1610967978,16777215,1
315053ec,没有弹幕，静听,72.471,1610968302,16777215,1
b9ffd5de,第二条弹幕,47.013,1610968667,16777215,1
1216614d,掉了23,140.135,1610967551,16777215,1
57a23747,水！,265.659,1610966121,16777215,1
57a23747,激流,284.897,1610966141,16777215,1
db87fefa,第一条弹幕由我守护！,29.359,1610965887,16777215,1
