Sender,DmContent,AppearTime,SendTime,FontColor,DmType
5d8c08,哇，刚,11.664,1611070976,16777215,1
22d69b06,一观看,5.958,1611070981,16777215,1
5dd90e92,沙发,7.338,1611070986,16777215,1
33691030,没有评论？,24.294,1611070988,16777215,1
78007bb6,哇，前排出售瓜子儿,24.631,1611070991,16777215,1
22d69b06,第一个看完,302.31,1611071005,16777215,1
1e9299d9,来啦！啦,9.203,1611071036,16777215,1
72bc4d13,一播放120赞如何做到的,33.155,1611071037,16777215,1
df803bb4,时长瞩目,2.619,1611071041,16777215,1
fa138d40,热乎,35.628,1611071057,16777215,1
de69484c,热乎的,22.345,1611071070,16777215,1
a6de8d12,2分钟,46.897,1611071083,16777215,1
41f92e96,二观看,23.502,1611071088,16777215,1
1126e313,这种人不是蠢就是坏,184.124,1611071089,16777215,1
d9283dea,早了,18.172,1611071092,16777215,1
59642196,热乎,13.716,1611071109,16777215,1
b91c88f5,霸占空屏,9.792,1611071111,16777215,1
efdc8bbc,有钱人最支持,11.222,1611071111,16777215,1
e9043bc2,当你看到我是你已经在一分钟以外了,1.799,1611071125,15138834,5
57a9cd61,我一个看完,303.351,1611071135,16777215,1
e870214c,老丝终于能发挥医学专业了,18.054,1611071143,16777215,1
8fd3673c,时长520好评,21.179,1611071150,16777215,1
efdc8bbc,以后就会代死,60.252,1611071160,16777215,1
b4735a1c,三分钟,11.78,1611071172,16777215,1
