Sender,DmContent,AppearTime,SendTime,FontColor,DmType
33858483,事实证明，有时成就一个演员的有时真不是她的演技，而是角色和导演,92.455,1610986053,16646914,1
6cac68a8,如懿传很好看啊,162.424,1610986233,16777215,1
33858483,不论是吐舌头，还是撒娇。都不像是纯真少女，宠妃既视感,127.253,1610986244,16646914,1
9bd3dbed,这是在背书吗？,73.092,1610986286,16777215,1
9bd3dbed,我记得杨紫拍完电影说电影不是她的舒适圈来着,161.422,1610986394,16777215,1
c07ef4,我叫江映柳，今年十四岁，出身书香门第，,67.412,1610986414,16777215,5
9bd3dbed,橙光bgm？,215.202,1610986449,16777215,1
33858483,她可能真的不懂，毕竟她在这之前从没接触过电视剧，且小瞧电视剧演员,217.431,1610986553,16646914,1
d8f9fa4,真就不能找一个小演员嘛,139.179,1610986790,16777215,1
bfe8c8f,男主们太丑了,276.839,1610984944,16777215,1
cc120f11,我发现你强热点总是赶不上热乎,17.699,1610985145,16777215,1
cc120f11,主要是章子怡太双标怪不得网友嘲讽她,131.479,1610985268,16777215,1
d259940a,看赵薇的听见她说系列多好。,292.67,1610985536,16777215,1
33858483,这部剧不管粉丝怎么洗，也都改不了章小看电视剧的事实,21.268,1610985745,16646914,1
ab3ca956,如懿传还可以吧,176.942,1610984474,16777215,1
633cd7b6,47,30.06,1610984519,16777215,1
633cd7b6,难看死,60.833,1610984549,16707842,1
89ccb26b,台词好差啊！和如懿传中如懿的旁白完全不能比,85.1,1610984566,16777215,1
564fa6fa,没凉，57分钟。,25.179,1610984572,16777215,1
b5b8fb8a,剧本太次啥好班底也白搭,62.565,1610984586,16777215,1
564fa6fa,大壳闷声干大事,63.368,1610984611,16777215,1
564fa6fa,琅琊王氏啊,89.034,1610984636,16777215,1
633cd7b6,都难看,155.194,1610984644,16707842,1
bfe8c8f,就，找一个小演员演15岁有那么难吗？,135.819,1610984774,16777215,1
bfe8c8f,这句话打脸了,144.219,1610984795,16777215,1
bfe8c8f,我现在怀念家庭剧了,262.499,1610984923,16777215,1
5322ee9,这个注水片段放的好评,171.165,1610983171,15138834,5
9eb1fa64,最后一句话说得好,290.788,1610983662,16777215,1
be3ae590,大家是不是都去吃瓜了,56.891,1610983751,16777215,1
be3ae590,构图还是挺好,84.643,1610983794,16777215,1
6d879cb2,不是哪朝的驸马都不能入仕,127.98,1610983887,16777215,1
1ebb7fd1,希望各位搞清楚，豆瓣的及格线是7分。到不了7分就是垃圾。,51.305,1610983902,16777215,1
9d087c94,老妖婆,217.39,1610982423,16777215,1
a8f1d39a,按理说尚了公主就不能有实权更别说当宰相了,123.0,1610982576,16777215,1
f80ddf5,闪了腰可还行，哈,140.464,1610982677,16777215,1
dd88216,恍惚哈,123.459,1610982845,16777215,1
781241ef,台词太差了,82.498,1610981349,16777215,1
11d08082,最大问题不是表演吧,169.705,1610981372,16777215,1
eac764da,好美,199.19,1610981396,16777215,1
f52e27b6,5分钟,10.829,1610981487,16777215,1
14e15210,烫手的啊,38.031,1610981500,16777215,1
5f97fb1a,眼馋了,249.697,1610981505,16777215,1
dca50299,双标呗，讲人家容易,145.002,1610981521,16777215,1
5f97fb1a,不要来了谢,300.313,1610981556,16777215,1
1823d7c9,我出息了，6分钟,6.939,1610981559,16777215,1
9b61b266,好漂亮,197.431,1610981579,16777215,1
88d54019,SHI,163.891,1610981601,16777215,1
550cb63f,像女王或者太后,147.9,1610981677,16777215,1
ec80f338,如懿超好看,166.957,1610982163,16777215,1
3ae4cb82,我还在吃郑爽的瓜,21.527,1610982209,16777215,1
145d96cd,热乎的,4.652,1610981165,16777215,1
72b3ca8e,还热乎,15.415,1610981166,16777215,1
eac764da,热乎的！,20.708,1610981183,16777215,1
eac764da,天呐这段好尴尬,76.163,1610981256,16777215,1
