Sender,DmContent,AppearTime,SendTime,FontColor,DmType
3d03147,javayds,58.379,1611017399,16777215,1
42d0fdeb,带得动你装个优化模组就行了,239.199,1611017464,16777215,1
3646870a,火龙8,151.699,1611017512,16777215,1
9addd6e2,ios泪目,7.145,1611017539,15138834,5
17631514,手机党狂喜,6.202,1611017594,16776960,5
98a20844,是我了，但是我没敢问,25.339,1611017612,16777215,1
4910a37,mio,55.529,1611017642,16777215,1
7ac2689e,HMCL好评！,20.479,1611017818,15138834,4
f157c509,鹤嘴锄呢,364.45,1611017900,16777215,1
9a8bb819,其实感觉帧数还挺高的,493.855,1611017957,16777215,1
7ac2689e,小美女？奇妙比喻doge,124.634,1611017957,15138834,5
b126acd8,iOS不行了，唉,28.029,1611018178,38979,5
76b000d7,一帧能玩，两帧流畅，三帧电竞,136.635,1611016412,16777215,1
299d0afd,初始精灵？,51.536,1611016562,16777215,1
a67cda3d,PCL2,51.018,1611016699,16777215,1
8c681aa4,mio？,49.819,1611017044,16777215,1
8c681aa4,mio,50.038,1611017095,16777215,1
c3df2cd,一台渣机竟然能玩神奇宝贝整合包,251.619,1611017150,16777215,1
e75c8f23,可爱的糖果世界,504.719,1611017206,16777215,1
b341f522,不是石粒版，是弟版。doge,80.179,1611015473,16777215,1
ae9304a4,骁龙8这种比较失败的芯片都能玩,151.359,1611015546,16777215,1
ae9304a4,不，8是比较失败的芯片,229.679,1611015642,16777215,1
eb1980f6,注意右上角。,83.423,1611015762,16646914,1
eb1980f6,让手机跑电脑的光影等于手机爆炸。,170.057,1611015928,16646914,1
eb1980f6,有一点卡顿。,418.11,1611016199,16646914,1
7ca26624,手机电脑cpu架构都不一样的，没法比,220.842,1611016314,16777215,1
c965f6d9,这叫不卡？肉眼可见掉帧,103.819,1611014585,16777215,1
c965f6d9,8都掉帧,155.219,1611014645,16777215,1
d74f34ff,鸡你太美,102.739,1611014706,16777215,1
d74f34ff,1帧能玩2帧能飞3帧电竞,110.959,1611014740,16777215,1
19bab038,OPO手机,33.447,1611014818,16777215,1
c28976c3,hmcl我和正版搭配用，真香,59.139,1611014841,15138834,5
c965f6d9,格雷科技！,427.059,1611014922,16777215,1
ea366953,？！,13.01,1611015078,16777215,1
8d66d8a2,视角姬,361.051,1611015289,16777215,1
af10ba1b,你币有了,0.0,1611013695,15138834,5
cca7ede7,手机能玩就不错了,296.906,1611013908,16777215,1
7350e005,这又不是云游戏，和网络无关,246.254,1611013961,16777215,1
2b992767,你三连有了,0.0,1611014082,15138834,5
85ba7c67,岷嫂进入直播间,124.539,1611014375,16777215,1
809e4583,就比如我,34.24,1611012736,16777215,1
4e388bf5,boat零,37.532,1611013154,16777215,1
ee1f3a62,别误导别人了你断网照样运行,253.379,1611013178,16777215,1
24e3614a,别乱搞画面的东西，装rtx手机只会显示乱码，rtx是按照电脑显卡来设计的,173.039,1611013315,16777215,1
24e3614a,不，我是pc不会装模组。装了进不去，不会搞。,291.719,1611013484,16777215,1
3b8cde4a,我是基岩版,18.779,1611013521,16777215,1
10ef6817,创造欺负人qwq,581.367,1611013539,16777215,1
5885bfd1,这个可以和电脑的服务器一起玩,142.05,1611012045,16777215,1
ae0036c6,我只是没有谷歌苹果商店，买不了基岩版,20.419,1611012341,15138834,5
9f1011cd,触屏当然没有拖动了,288.539,1611012476,16777215,1
589b4db1,可以手机接键鼠就舒服了,362.159,1611010948,16777215,1
15f4673,明示充电,503.785,1611010965,15138834,5
f107c8ba,全程右上角,120.125,1611011347,16777215,1
16003311,苹果手机落泪,297.224,1611011640,16707842,5
3dc62cbf,电葫芦,407.815,1611011687,16777215,1
dd01aa17,青回,398.057,1611011758,16777215,1
55550056,可爱,485.797,1611009360,15138834,5
e0a8398b,HeloMinecraftLauncher,41.609,1611009477,16777215,1
1fbac44e,小米九打开的了，但是很卡,258.499,1611008254,16777215,1
134cf4d9,miobushi,51.219,1611005594,16777215,1
6f940dbc,手机上指针是跳来跳去的，不像PC,294.519,1611002696,16777215,1
6f940dbc,这是给没PC的人玩的,388.579,1611002809,16777215,1
b23afcd4,看上去很卡,86.686,1611002906,16777215,1
6f940dbc,小米1还是X60,521.879,1611002953,16777215,1
3c861020,我性能高点的主力机是iPhone，备用安卓机连王者都跑不到60我还是不试这个了,211.092,1611003141,16777215,1
6f940dbc,你需要minihud,124.159,1611002499,16777215,1
6f940dbc,骁龙8有I3性能了吧,208.304,1611002585,16777215,1
923b0cb8,这帧率玩的眼睛疼。,279.62,1610997006,16777215,1
e2a4556b,小美女哈,129.554,1610995810,16777215,1
2828745b,30流畅，20能玩,125.019,1610992643,16777215,1
2828745b,把分辨率调低点吧，4k手机撑不住,138.939,1610992681,16777215,1
84781f34,优化问题,253.511,1610991641,15772458,5
