Sender,DmContent,AppearTime,SendTime,FontColor,DmType
28d78339,这里也太好看了,246.363,1610892705,16777215,1
7c61b600,节目组会玩,1052.438,1610893262,16777215,1
1d76add2,鬼才,1096.344,1610891234,16777215,1
834f3434,地雷子真是笑死我了哈,831.867,1610891438,38979,1
8149ea5a,尼桑不要给maru洗脑了哈,1750.638,1610892209,16777215,1
c2185c31,果然男人啊,153.86,1610877576,16777215,1
d125f3e3,这个双眼皮贴是本来就有的嘛哈,612.797,1610878127,16777215,1
a22c418b,美女你谁啊23,54.869,1610878659,16777215,1
457ef8ca,老好看了,226.973,1610879448,16777215,1
b8e5f597,好漂亮诶,69.272,1610881290,16777215,1
13fc93a9,哈仓子好美,62.982,1610881601,16777215,1
13fc93a9,21红白不是hina主持说不过去！,340.559,1610881929,16777215,1
3d18de89,我怎么觉得那么漂亮！,42.475,1610881998,16777215,1
13fc93a9,哈我还有电视剧,420.259,1610882023,16777215,1
13fc93a9,编年史是不是从b站挖人了哈,1122.199,1610882757,16777215,1
d5c15058,可爱！,67.646,1610884722,16777215,1
edd632d,老师你这个化妆手法,660.709,1610885981,16777215,1
178e78fa,这边这个美颜摄像头不是超贵的那个,700.824,1610887181,16777215,1
8149ea5a,好在意双眼皮贴哈,860.733,1610890158,16777215,1
24ae780,好羞耻啊,230.531,1610890317,16777215,1
3196cbb,心情复杂哈,1600.581,1610890377,16777215,1
