Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6a1db61f,这做梦还能自己打断吗？,369.17,1610850990,16777215,1
6a1db61f,这也太强了吧？,799.472,1610851433,16777215,1
6a1db61f,啊这？现在美国可是非常混乱的,812.982,1610851464,16777215,1
6a1db61f,尤尼好可爱,835.853,1610851500,16777215,1
debe41f7,？这个太夸张了,799.444,1610851516,16777215,1
6a1db61f,尤尼可真是个好下属,889.59,1610851595,16777215,5
8e1d242b,凡尔赛，不过是真的没做什么,955.664,1610851648,16777215,1
38438708,怀中抱妹杀哈,328.267,1610851672,16777215,1
debe41f7,幻视p,1125.297,1610851697,16777215,1
6a1db61f,握草！这是要上天的节奏吗？,989.603,1610851746,16777215,5
72058007,等一下，星眼？,500.583,1610851818,16777215,1
6a1db61f,你这是什么神药啊？,1071.777,1610851839,16777215,5
e532e3d1,曼德拉草,1060.69,1610851856,16777215,1
38438708,太厉害了,801.829,1610852062,16777215,1
6a1db61f,这就是普通的优秀和这就是普通的优秀和极致的优秀的差距吗？,1078.658,1610852103,16777215,5
72058007,日本老舔美了,821.283,1610852172,16777215,1
38438708,靠生发,1078.357,1610852284,16777215,1
72058007,还开着刚坦克，而且靠机器作弊，怎么可能和人投球相评并论,984.383,1610852445,16777215,1
72058007,扯蛋过头的吧,994.183,1610852489,16777215,1
cff6ca1b,可你够不到耳朵啊,688.37,1610852587,16777215,5
572e79b3,这个吐槽哈,328.691,1610853027,16777215,1
36016313,这坡道好吓人,475.35,1610853075,16777215,1
47d42ac9,礼服假面！,1124.088,1610853086,16777215,1
36016313,有星，看来有新猫了,494.23,1610853106,16777215,1
20319d52,龟，天才,949.201,1610853266,16777215,1
36016313,怎么接触的,798.324,1610853534,16777215,1
36016313,至少第三宇宙速度了,992.25,1610854148,16777215,1
9d42f5db,好突然,1204.324,1610854197,16777215,1
9d42f5db,原来是梦,1301.01,1610854227,16777215,1
36016313,曼德拉草,1056.287,1610854254,16777215,1
89a90d9a,少女好颜艺,231.481,1610854279,16777215,1
d55be0dd,你弟的眼里也有星啊,491.571,1610854440,16777215,1
96d65672,耳朵折起来太可爱啦呜,692.76,1610854574,16777215,1
89a90d9a,哟，你脸红啦,688.482,1610854766,16777215,1
89a90d9a,幼驯染真好啊,746.602,1610854832,16777215,1
16303903,造高达,1015.133,1610854990,16777215,1
96d65672,强行每集变身,1270.916,1610855020,16777215,1
84530198,太可爱了,693.433,1610855022,16777215,1
89a90d9a,不是，就算是子供番也太扯淡了吧,995.882,1610855123,16777215,1
89a90d9a,你的欧豆怕不是个外星人,1012.362,1610855150,16777215,1
16303903,就知道在做梦,1318.257,1610855296,16777215,1
84530198,好家伙,985.64,1610855315,16777215,1
bbd1c25,这不左拥右抱,734.907,1610855375,16777215,1
efc112e9,你们不就是给别人制造噩梦的吗喂！,890.159,1610856226,16777215,1
f5c87d99,？强行变身？,1199.763,1610856590,16777215,1
bb9d982f,握草,938.801,1610856593,16777215,1
183c61da,那个人眼里也有星耶,527.119,1610857091,16777215,1
6757b026,雍禾植发,12.693,1610857571,16777215,1
2a97ddf5,怎么日本那么多动画都有美国人,817.422,1610857881,16777215,1
2a97ddf5,这也太夸张了吧,985.131,1610858050,16777215,1
aa1f7fba,这斜坡认真的吗,481.901,1610858297,16777215,1
2a97ddf5,水时长？,1259.019,1610858324,16777215,1
a07c4c67,？我穿越了？,1207.383,1610858615,16777215,1
aa1f7fba,怎么接触到高数的,798.993,1610858668,16777215,1
6757b026,newYork纽约市USA美国,795.005,1610858684,16777215,1
6757b026,瞬间看地球,822.054,1610858758,16777215,1
aa1f7fba,这得多大功率啊,990.568,1610858891,16777215,1
183c61da,老亚萨西了,1045.159,1610858947,16777215,1
183c61da,发生了啥？突然就变身,1201.779,1610859121,16777215,1
183c61da,剧情太赶了吧,1255.879,1610859191,16777215,1
5d0e47c5,250是人吗,782.951,1610859346,16777215,1
f9009130,这时候不是应该把女王法杖抢过来给折了么？doge,1157.075,1610859452,16777215,1
5043e9e1,学姐没有星眼就离谱。,134.344,1610859456,16777215,1
efbfd936,盗梦空间,475.743,1610859580,16777215,1
a10f13de,今天迫害学长了,6.819,1610860600,16777215,1
8d46e865,原力的黑暗面吗,1103.122,1610860838,16777215,1
2bde39f2,我喜欢他！,502.515,1610861827,16777215,1
6a1db61f,这做梦还能自己打断吗？,369.17,1610850990,16777215,1
6a1db61f,这也太强了吧？,799.472,1610851433,16777215,1
6a1db61f,啊这？现在美国可是非常混乱的,812.982,1610851464,16777215,1
6a1db61f,尤尼好可爱,835.853,1610851500,16777215,1
debe41f7,？这个太夸张了,799.444,1610851516,16777215,1
6a1db61f,尤尼可真是个好下属,889.59,1610851595,16777215,5
8e1d242b,凡尔赛，不过是真的没做什么,955.664,1610851648,16777215,1
38438708,怀中抱妹杀哈,328.267,1610851672,16777215,1
debe41f7,幻视p,1125.297,1610851697,16777215,1
6a1db61f,握草！这是要上天的节奏吗？,989.603,1610851746,16777215,5
72058007,等一下，星眼？,500.583,1610851818,16777215,1
6a1db61f,你这是什么神药啊？,1071.777,1610851839,16777215,5
e532e3d1,曼德拉草,1060.69,1610851856,16777215,1
38438708,太厉害了,801.829,1610852062,16777215,1
6a1db61f,这就是普通的优秀和这就是普通的优秀和极致的优秀的差距吗？,1078.658,1610852103,16777215,5
72058007,日本老舔美了,821.283,1610852172,16777215,1
38438708,靠生发,1078.357,1610852284,16777215,1
72058007,还开着刚坦克，而且靠机器作弊，怎么可能和人投球相评并论,984.383,1610852445,16777215,1
72058007,扯蛋过头的吧,994.183,1610852489,16777215,1
cff6ca1b,可你够不到耳朵啊,688.37,1610852587,16777215,5
572e79b3,这个吐槽哈,328.691,1610853027,16777215,1
36016313,这坡道好吓人,475.35,1610853075,16777215,1
47d42ac9,礼服假面！,1124.088,1610853086,16777215,1
36016313,有星，看来有新猫了,494.23,1610853106,16777215,1
20319d52,龟，天才,949.201,1610853266,16777215,1
36016313,怎么接触的,798.324,1610853534,16777215,1
36016313,至少第三宇宙速度了,992.25,1610854148,16777215,1
9d42f5db,好突然,1204.324,1610854197,16777215,1
9d42f5db,原来是梦,1301.01,1610854227,16777215,1
36016313,曼德拉草,1056.287,1610854254,16777215,1
89a90d9a,少女好颜艺,231.481,1610854279,16777215,1
d55be0dd,你弟的眼里也有星啊,491.571,1610854440,16777215,1
96d65672,耳朵折起来太可爱啦呜,692.76,1610854574,16777215,1
89a90d9a,哟，你脸红啦,688.482,1610854766,16777215,1
89a90d9a,幼驯染真好啊,746.602,1610854832,16777215,1
16303903,造高达,1015.133,1610854990,16777215,1
96d65672,强行每集变身,1270.916,1610855020,16777215,1
84530198,太可爱了,693.433,1610855022,16777215,1
89a90d9a,不是，就算是子供番也太扯淡了吧,995.882,1610855123,16777215,1
89a90d9a,你的欧豆怕不是个外星人,1012.362,1610855150,16777215,1
16303903,就知道在做梦,1318.257,1610855296,16777215,1
84530198,好家伙,985.64,1610855315,16777215,1
bbd1c25,这不左拥右抱,734.907,1610855375,16777215,1
efc112e9,你们不就是给别人制造噩梦的吗喂！,890.159,1610856226,16777215,1
f5c87d99,？强行变身？,1199.763,1610856590,16777215,1
bb9d982f,握草,938.801,1610856593,16777215,1
183c61da,那个人眼里也有星耶,527.119,1610857091,16777215,1
6757b026,雍禾植发,12.693,1610857571,16777215,1
2a97ddf5,怎么日本那么多动画都有美国人,817.422,1610857881,16777215,1
2a97ddf5,这也太夸张了吧,985.131,1610858050,16777215,1
aa1f7fba,这斜坡认真的吗,481.901,1610858297,16777215,1
2a97ddf5,水时长？,1259.019,1610858324,16777215,1
a07c4c67,？我穿越了？,1207.383,1610858615,16777215,1
aa1f7fba,怎么接触到高数的,798.993,1610858668,16777215,1
6757b026,newYork纽约市USA美国,795.005,1610858684,16777215,1
6757b026,瞬间看地球,822.054,1610858758,16777215,1
aa1f7fba,这得多大功率啊,990.568,1610858891,16777215,1
183c61da,老亚萨西了,1045.159,1610858947,16777215,1
183c61da,发生了啥？突然就变身,1201.779,1610859121,16777215,1
183c61da,剧情太赶了吧,1255.879,1610859191,16777215,1
5d0e47c5,250是人吗,782.951,1610859346,16777215,1
f9009130,这时候不是应该把女王法杖抢过来给折了么？doge,1157.075,1610859452,16777215,1
5043e9e1,学姐没有星眼就离谱。,134.344,1610859456,16777215,1
efbfd936,盗梦空间,475.743,1610859580,16777215,1
a10f13de,今天迫害学长了,6.819,1610860600,16777215,1
8d46e865,原力的黑暗面吗,1103.122,1610860838,16777215,1
