Sender,DmContent,AppearTime,SendTime,FontColor,DmType
38e06acf,还好吧，平均七万多的收入诶,77.076,1610964268,16777215,1
7597820,美国有房产税，前面这个茬别忘了,85.543,1610964306,16777215,1
28874281,不是因为什么租金限制吗？,22.019,1610964312,16777215,1
b85fd8f,第一我记得是香港,51.709,1610964314,16777215,1
47f0cfca,怎么重发了，我中无限月读了？,53.752,1610964318,16777215,1
7597820,中国如果开征房产税，房价铁定下来,85.543,1610964322,16777215,1
acf46a51,其实还行,90.672,1610964331,16777215,1
32b7dea,七分钟,6.231,1610964340,16777215,1
9c673b0b,跟我家这房价差不多,72.852,1610964365,16777215,1
3be43d7a,Elenataber！我好喜欢她,93.351,1610964382,16777215,1
79ce43d4,第一是香港吧,57.041,1610964413,16777215,1
3be43d7a,这个姐有1米8以上,171.116,1610964459,16777215,1
42142661,香港应该是最贵的,52.245,1610964466,16777215,5
a395e293,总算有4k了,6.975,1610964532,16777215,1
cea20899,第一第二是哪里,61.096,1610964570,16777215,1
841b1969,嚯！好家伙这也太tm贵了吧。,324.204,1610964607,16777215,1
e3090abb,50不会吧？,128.253,1610964616,16777215,1
bdd02199,第一香港第二伦敦我编的,68.222,1610964618,16777215,1
65be828c,我喜欢这样的形式,741.499,1610964665,16777215,1
841b1969,你想讽刺他们是不是？,398.192,1610964692,16777215,1
86d78c21,我突然好奇北上广和其他城市的差距是多少,67.793,1610964734,16777215,1
9bcd16ec,中国的平均房价是多少一平呢？,149.738,1610964777,16777215,1
72d06908,jay！爱了,609.243,1610964802,16777215,1
b8539d68,深圳就这,78.121,1610964804,16777215,1
d1299236,不知道但是学校得教师公寓六百元一个屋两个床一人三百押一付一,725.302,1610964809,16777215,1
4a37b3e0,所以第一第二是哪里？我好奇,58.511,1610964833,16755202,1
774a7b35,估计第一香港，第二伦敦,63.683,1610964840,16777215,1
398725ca,伦敦应该拥有姓名吧,57.999,1610964868,16777215,1
e880cf43,小提琴,541.275,1610964881,16777215,1
e880cf43,街舞,543.635,1610964888,16777215,1
98e201a9,16分钟,3.476,1610964888,16777215,1
841b1969,这暖气好有年代感，跟北京老筒子楼的一样,597.862,1610964913,16777215,1
2de8c225,现在五个人。,629.659,1610964919,16777215,1
d7a8948,东京应该有的,87.032,1610964941,16777215,1
841b1969,同时用。,623.622,1610964945,16777215,1
b8ecfbcb,类似闲鱼转,523.875,1610964980,16777215,1
b96ffb4a,深圳小意思,71.579,1610965008,16777215,1
e880cf43,为什么只有北京在狂涨啊！,648.255,1610965009,16777215,1
abec60f9,18分钟热乎,3.459,1610965009,16777215,1
d7a8948,广州绝对没,162.366,1610965016,16777215,1
faf1e749,真的受不了,625.726,1610965019,16777215,1
94bc8de,我30,123.707,1610965039,16777215,1
841b1969,peoplemountpeoplesea，twocarspengpeopledie,717.906,1610965088,16777215,1
4b09ad76,日本连灯都要自己买,461.374,1610965096,16777215,1
1fbdcc6a,刚才的视频没了？,8.487,1610965101,16777215,1
71d773f4,真贵,166.952,1610965111,16777215,1
fa375130,这姐真好看,278.64,1610965111,16777215,1
413202b8,北京这边二环边上就1万一平,73.158,1610965119,16777215,5
82d0cbaa,第一条弹幕,24.657,1610963932,16777215,1
318e8891,终于有字幕了,7.935,1610963936,16777215,1
25250f71,1播放47点赞，B站特色,23.712,1610963962,16777215,1
1235f1ec,不生活了,71.966,1610963973,16777215,1
3319f9ad,胡子回来了,10.515,1610963997,16777215,1
433a4db1,就这,82.069,1610964018,16777215,1
888970c0,没中国一线城市贵,88.907,1610964026,16777215,1
14d6f01d,这不就是北上深嘛，咱赚的还没人家多,78.419,1610964031,16777215,1
508a62d2,不要再洗了，老马，没意义的，就为了挑起大家学英语的积极性？,6.121,1610964032,16777215,4
3319f9ad,没有北京贵,83.026,1610964069,16777215,1
5bc2f6e4,第一条弹幕,0.606,1610964077,16777215,1
875fea0e,伦敦吗？,76.951,1610964136,16777215,1
147f24e6,日本银座吗,55.082,1610964150,16777215,1
f92d81cb,胡子长这么快？,17.661,1610964178,16777215,1
3e2f6cc7,我giao,0.0,1610964193,16777215,1
1e304d9,这种胜利有什么意义啊捂脸,123.842,1610964206,16777215,1
3b338400,新鲜的,21.985,1610964211,16777215,1
c434e620,和深圳比还是不贵的,74.388,1610964213,16777215,1
6ec286f5,啥家庭啊,88.731,1610964214,16777215,1
9e993bb8,北上广自己租房子起码得占一半以上,129.457,1610964228,16777215,1
47bcdc4a,莫妮卡她奶以前是租户，她瞒着房东用奶的名义租的，房主按照法律不能大涨租金。,21.769,1610964241,16777215,1
