Sender,DmContent,AppearTime,SendTime,FontColor,DmType
767c9c92,大聪明！,412.662,1611077978,16777215,1
ae300800,老婆生日快乐,23.161,1611077981,16777215,1
ae300800,老婆生日快乐,29.761,1611077993,16777215,1
321eb7d2,明说的是一套,366.782,1611078103,16777215,1
e8f44365,打的好啊大聪明,3.886,1611078602,15138834,1
26a709ba,梦回巴黎？,444.863,1611078629,16777215,1
7443df92,人是被超远距离击杀的啦,176.255,1611078865,15138834,5
7443df92,你这人说话很机车诶,176.255,1611078878,15138834,5
9aaf7ae3,这四包二还是怪味，其他味对了,30.604,1611077305,16777215,1
4221ce19,万豪太脆了，不然小天踢3个,297.575,1611077329,16777215,1
5bbcb2ea,好狠的三连桶,59.978,1611077353,11890,1
9aaf7ae3,血条小时,131.331,1611077411,16777215,1
9aaf7ae3,卡莎骑脸怎么输,177.931,1611077467,16777215,1
9aaf7ae3,大聪明来了！,385.347,1611077684,16777215,1
a63ff399,凌晨四点的太阳是什么梗,169.64,1611077760,16777215,1
bf084b1c,大聪明建议尿检,405.814,1611076125,16777215,1
465231a5,牛头不行,142.307,1611076292,16777215,1
bd08818e,真不知道你怎么想的这时候小天上去不是送？站旁边等人有问题？,296.942,1611076917,16777215,1
57332cde,RW的阵容也是人能选出来的,213.388,1611075061,16777215,1
a357c05a,大聪明爆炸,486.422,1611075083,16777215,1
865a6efa,我球皇呢呜,13.959,1611075115,16777215,1
57332cde,有辛德拉不选，选女刀锋,222.819,1611075150,16777215,1
91d283d5,自信起来了，狂风之力！,190.948,1611075273,16777215,1
57332cde,剑魔天秀,309.376,1611075300,16777215,1
91d283d5,夸张,337.651,1611075419,16777215,1
91d283d5,扭得可以了,369.109,1611075451,16777215,1
91d283d5,刘青松的锤石,381.972,1611075464,16777215,1
909d9e5a,是卡沙这英雄太猛，对面又太弱，他不弱但也没多强，能放卡沙的队伍就是不想赢,153.11,1611075491,16777215,1
91d283d5,感觉比S9强,417.887,1611075500,16777215,1
1ae4b20f,在草里撸了一炮,362.827,1611075600,16777215,1
e625065e,巴黎人来了,21.22,1611075708,16777215,1
5e231000,运气是真好，后面连着爆了6下？,132.822,1611075922,16777215,1
6c245384,非战斗人员请撤离,415.289,1611075985,16777215,1
6c245384,尿检无尿,415.289,1611076004,16777215,1
bf084b1c,真不知道是小天卡看戏还是锤石送了,292.734,1611076016,16777215,1
771bf21b,天用自己的皮肤,253.592,1611074512,15138834,5
d0a88bdd,你见过凌晨四点的太阳吗？我大聪明天见,163.491,1611074631,16777215,1
a357c05a,大聪明强啊,217.596,1611074779,16777215,1
a357c05a,lqs这钩子绝了,384.789,1611074969,16777215,1
425124b0,这还没视野，就很夸张,106.263,1611073141,16777215,1
ae9cb7f2,狂风之力,137.042,1611073147,16777215,1
58bf1aa7,上波就是鳄鱼装备好,448.273,1611073177,16777215,1
4341dee8,这就叫碾压吧，差距太大了,212.018,1611073575,16777215,1
9c3d2720,秀啊,249.299,1611073609,16777215,1
9c3d2720,血型互换完再互换系列,336.459,1611073709,16777215,1
43f28b0e,皇城Pk,330.671,1611073957,16777215,1
