Sender,DmContent,AppearTime,SendTime,FontColor,DmType
e0e7d191,买了一箱很好喝,319.06,1611042596,16777215,1
bb859ca,乐堡啤酒拉开2021好神气,304.139,1611042597,16777215,1
faffe979,乐堡啤酒拉开2021好神气,332.628,1611042601,16777215,1
46ab5763,乐堡啤酒拉开2021好神气,311.115,1611042601,16777215,1
12399e1a,乐堡啤酒拉开2021好神气,302.907,1611042616,15138834,5
53a759c6,乐堡啤酒拉开2021好神气,330.799,1611042617,16777215,1
2341a62f,乐堡啤酒拉开2021好神气,305.287,1611042618,16777215,1
6a2c3cfd,乐堡啤酒拉开2021好神气,329.374,1611042623,16777215,1
85965218,乐堡啤酒拉开2021好神气,311.989,1611042625,16777215,1
2458a4e0,乐堡啤酒拉开2021好神气,313.059,1611042635,16777215,1
65f339f1,乐堡啤酒拉开2021好神气,329.259,1611042636,16777215,1
10127b2a,乐堡啤酒拉开2021好神气,306.419,1611042642,16777215,1
a6527739,乐堡啤酒拉开2021好福气,309.479,1611042643,16777215,1
3c82306a,乐堡啤酒拉开2021好神气,306.08,1611042648,16777215,1
4c3ab939,乐堡啤酒拉开2021好神气,5.159,1611042660,16777215,1
3a0e4799,乐堡啤酒拉开2021好神气,316.799,1611042678,16777215,1
81c9b691,已经买了一船了，鲸鱼说很好喝,39.995,1611042680,16646914,5
69f94e9e,乐堡啤酒拉开2021好神气,312.519,1611042689,16777215,1
87f8bbc4,乐堡啤酒拉开2021好神气,325.599,1611042689,16777215,1
28ee2b1c,乐堡啤酒拉开2021好神气,318.855,1611042707,16777215,1
a7feb2c2,乐堡啤酒拉开2021好神气,303.239,1611042712,16777215,1
cb50dd93,乐堡啤酒拉开2021好神气,325.033,1611042729,16707842,1
7c047bbe,乐堡啤酒拉开2021好神气,304.739,1611042737,16777215,1
51b26c8a,乐堡啤酒拉开2021好神气,326.979,1611042745,16777215,1
74114b7f,乐堡啤酒拉开2021好神气,306.265,1611042752,16777215,1
d79d9a75,我的天我替厂家心疼极了,268.454,1611042773,16777215,1
fe62142c,乐宝啤酒拉开2021好神气,303.919,1611042800,16707842,5
29d7fd08,乐堡啤酒拉开2021好神气,303.421,1611042825,16777215,1
32d3f4bf,乐堡啤酒拉来2021好神气,304.859,1611042828,16777215,1
f8ee963d,乐堡啤酒拉开2021好神气,307.092,1611042831,16777215,1
2d1053b9,乐堡啤酒拉开2021好神气,303.918,1611042839,16777215,1
1f2f5c36,乐堡啤酒拉开2021好神气,304.32,1611042839,16777215,1
8c9b1cf0,乐堡啤酒拉开2021好神气,328.522,1611042848,16777215,1
bd4ceb6b,乐堡啤酒拉开2021好神气,304.648,1611042854,16777215,1
1f2f5c36,乐堡啤酒拉开2021好神气,306.56,1611042854,6830715,1
5c11498a,乐煲啤酒拉开2021好神气,5.075,1611042868,16777215,1
fef08524,乐堡啤酒拉开2021好神气,306.443,1611042870,16777215,1
f6fa3892,乐堡啤酒拉开2021好神气,304.645,1611042871,16777215,1
e51709e8,已经买了一吨，孩子老人都爱喝，现在已经当水喝了，以后还会买,171.661,1611042880,16777215,1
3c4244e1,乐堡啤酒拉开2021好神气,306.681,1611042881,16777215,1
46d10b5c,乐堡啤酒拉开2021好神气,314.461,1611042881,16777215,1
998b248a,手动滑稽,12.981,1611042890,16777215,1
a5f8fe72,乐堡啤酒拉开2021好神气,308.667,1611042892,16777215,5
ddaf76a6,乐堡啤酒拉开2021好神气,308.428,1611042894,16777215,1
c914e1e3,乐堡啤酒拉开2021好神气,326.499,1611042902,16777215,1
ae71d792,乐堡啤酒拉开2021好神气,304.973,1611042903,16777215,1
fdd34db4,乐堡啤酒拉开2021好神气,304.819,1611042904,16777215,1
ac75a138,乐堡啤酒拉开2021好神气,304.46,1611042906,16777215,1
1fb5c6e5,乐堡啤酒拉开2021好神气,304.459,1611042907,16777215,1
430988d4,乐堡啤酒拉开2021好神气,303.501,1611042908,16777215,1
c7a4acf8,乐宝啤酒拉开2021好神气,314.025,1611042921,16777215,1
760a923c,乐堡啤酒拉开2021好神气,313.549,1611042927,16777215,1
6e9d6fc8,乐堡啤酒拉开2021好神气,306.324,1611042930,16777215,1
26bbb0d4,乐堡啤酒拉开2021好神气,315.433,1611042953,16777215,1
ce4348e8,乐堡啤酒拉开2021好神气,333.841,1611042967,16777215,1
51bb2fc4,乐堡啤酒拉开2021好神气,330.582,1611042998,16777215,1
6fa7482a,乐堡啤酒拉开20好神气,305.493,1611043028,16777215,1
36a9d62f,乐堡啤酒拉开2021好神气,309.08,1611043033,16777215,1
998b248a,广告插入的好直接,136.201,1611043039,16777215,1
e51709e8,乐堡啤酒拉开2021好神气,305.385,1611043043,16777215,1
3af19507,乐堡啤酒拉开2021好神气,311.779,1611043049,16777215,1
79e44eb3,乐堡啤酒拉开2021好神气,304.53,1611043049,16777215,1
311d3e0e,乐堡啤酒拉开2021好神气,306.537,1611043057,16777215,1
16e8c129,乐堡啤酒拉开2021好神气,311.858,1611043074,16777215,1
c19baf9c,乐堡啤酒拉开2021好神气,302.419,1611043084,16777215,1
42ae55e2,乐堡啤酒拉开2021好神气,307.339,1611043085,16777215,1
d264e2c4,乐堡啤酒拉开2021好神气,313.861,1611043086,16777215,1
d264e2c4,乐堡啤酒拉开2021好神气,314.601,1611043091,16777215,1
c7aa2278,乐堡啤酒拉开2021好神气,306.881,1611043100,16777215,1
d264e2c4,乐堡啤酒拉开2021好神气,316.421,1611043104,16777215,1
c2fcd1f9,乐堡啤酒拉开2021好神气,309.479,1611043114,16777215,1
f5085be7,乐堡啤酒拉开2021好神气,310.235,1611043129,16777215,1
6a4eadc3,乐堡啤酒拉开2021好神气,304.347,1611043138,16777215,1
1c1ea8b3,乐堡啤酒拉开2021好神气,337.526,1611043153,16777215,1
97d5ef59,乐堡啤酒拉开2021好神气,304.503,1611043154,16777215,1
97d5ef59,乐堡啤酒拉开2021好神气,309.207,1611043169,16646914,5
3ce4a829,乐堡啤酒拉开2021好神气,318.906,1611043174,16777215,1
723d66d0,乐堡啤酒拉开2021好神气,317.411,1611043174,16777215,1
45dfec35,乐堡啤酒拉开2021好福气,304.406,1611043181,16777215,1
35aa6bf9,乐堡啤酒拉开2021好神气,307.802,1611043189,16777215,1
df63a15b,乐堡啤酒拉开2021好神气,315.019,1611043196,16777215,1
cd53f3d9,乐堡啤酒拉开2021好神气,310.809,1611043210,16777215,1
292374f2,bong,7.917,1611043214,16777215,1
fdea68d8,乐堡啤酒拉开2021好神气,314.179,1611043224,16777215,1
92eed232,乐堡啤酒拉开2021好神气,316.384,1611043236,16777215,1
e2993447,乐堡啤酒拉开2021好神气,332.38,1611043240,16777215,1
f537b39a,乐堡啤酒拉开2021好神气,310.921,1611043245,16777215,1
75e506ae,乐堡啤酒拉开2021好神气,334.933,1611043248,16777215,1
108ab9df,乐堡啤酒拉开2021好神气,304.984,1611043251,16777215,1
9ee50923,乐堡啤酒拉开2021好神气,315.514,1611043261,16777215,1
ab7c2837,乐堡啤酒拉开2021好神气,314.395,1611043263,16777215,1
dd4f6bec,乐堡啤酒拉开2021好神气,302.167,1611043291,16777215,1
1eac8b48,乐堡啤酒拉开2021好神气,305.371,1611043293,16777215,1
5c54feef,六颗星不想吗我看着都想领,87.699,1611043303,15138834,5
231b9fa3,乐堡啤酒拉开2021好神气,307.474,1611043308,16777215,1
b8f603a7,乐堡啤酒拉开2021好神气,329.219,1611043313,16777215,1
d7e420e,乐堡啤酒拉开2021好神气,321.699,1611043323,16777215,1
b17d5d66,乐堡啤酒拉开2021好神气,331.781,1611043326,16777215,1
10092cb3,乐堡啤酒拉开2021好神气,310.975,1611043333,16777215,5
5425b6f4,乐堡啤酒拉开20好神气,317.779,1611043345,16777215,1
3e40ebc1,乐堡啤酒拉开2021好神气,328.406,1611043348,16777215,1
933548c0,乐堡啤酒拉开2021好神气,314.687,1611043348,16777215,1
ab18858b,乐堡啤酒拉开2021好神气,321.099,1611043370,16777215,1
e085ff41,乐堡啤酒拉开2021好神气,302.579,1611043379,16777215,1
21a29b7,乐堡啤酒拉开2021好神气,331.992,1611043380,16777215,1
ac39774f,乐堡啤酒拉开2021好神气,321.256,1611043383,16707842,1
1913be4b,乐堡啤酒拉开2021好神气,308.116,1611043387,16777215,1
86ff7e87,乐堡啤酒拉开2021好神气,310.959,1611043405,16777215,1
86418c98,乐堡啤酒拉开2021好神气,316.82,1611043409,16777215,1
d90e4d7e,乐堡啤酒拉开2021好神气,329.099,1611043409,16777215,1
ac39774f,乐堡啤酒拉开2021好神气,324.604,1611043410,16707842,1
1f622c4d,乐堡啤酒拉开2021好神气,309.811,1611043417,16777215,1
61af7e82,那叫四驱兄弟，四驱小子没有这个必杀技,17.269,1611043423,16777215,1
ac39774f,乐堡啤酒拉开2021好神气,1.246,1611043426,16707842,1
79293489,乐堡啤酒拉开2021好神气,310.251,1611043430,16777215,1
bf992761,乐堡啤酒拉开2021好神气,308.157,1611043430,16777215,1
fe7e8480,乐堡啤酒拉开2021好神气,310.723,1611043432,16777215,1
358ace32,乐堡啤酒拉开2021好神气,313.419,1611043433,16777215,1
bed6c9ad,乐堡啤酒拉开2021好神气,313.035,1611043435,16777215,1
4b63674b,乐堡啤酒拉开2021好神气,329.539,1611043437,16777215,1
c068761c,乐堡啤酒拉开2021好神气,313.069,1611043449,16777215,1
932ac64f,乐堡啤酒拉开2021好神气,304.47,1611043449,16777215,1
a40c326b,乐堡啤酒拉开2021好神气,318.75,1611043451,16777215,1
a9d241a7,乐堡啤酒拉开2021好神气,310.609,1611043455,16777215,1
76caa661,乐堡啤酒拉开2021好神气,311.079,1611043458,16777215,1
e6f473a2,乐堡啤酒拉开2021好神气,316.019,1611041740,16777215,1
11b50bf,乐堡啤酒拉开2021好神气,320.866,1611041744,16777215,1
5067a6f0,乐堡啤酒拉开2021好神气,305.34,1611041752,16777215,1
af063ef9,乐宝啤酒拉开2021好神气,303.793,1611041752,16777215,1
e12b90b4,乐堡啤酒拉力20好神气,304.849,1611041757,16777215,1
af063ef9,乐宝啤酒拉开2021好神气,305.909,1611041764,16776960,5
de89e87a,乐堡啤酒拉开2021好运气,307.339,1611041769,16777215,1
76f1ab9b,乐堡啤酒拉开2021好神气,326.349,1611041790,16777215,1
e72ec34d,乐堡啤酒拉开2021好神气,315.795,1611041812,16777215,1
aefdbcfd,乐堡啤酒拉开2021好神气,314.349,1611041813,16777215,1
853d19f,我是莎,336.633,1611041815,16777215,5
aefdbcfd,乐堡啤酒拉开2021好神气,317.742,1611041825,15138834,5
761b8cfb,乐堡啤酒拉开2021好神气,321.944,1611041826,16777215,1
9f784685,真实,69.139,1611041831,16777215,1
12963339,乐堡啤酒拉开2021好神气,303.779,1611041832,16777215,1
a9e2a5e5,乐堡啤酒拉开2021好神气,317.348,1611041842,16777215,1
acfcd93,乐堡啤酒拉开2021好运气,312.051,1611041855,16777215,1
713add8e,乐堡啤酒拉开2021好神气,308.031,1611041855,16777215,1
6ba57c0c,乐堡啤酒拉开2021好神气,316.321,1611041868,16777215,1
acfcd93,乐堡啤酒拉开2021好运气,325.291,1611041872,16777215,1
acf4e043,乐堡啤酒拉开2021好神气,304.375,1611041880,16777215,1
f62fd77b,乐堡啤酒拉开2021好神气,317.339,1611041886,16777215,1
c1e505a8,乐堡啤酒拉开2021好神气,307.767,1611041890,16777215,1
