Sender,DmContent,AppearTime,SendTime,FontColor,DmType
bfd129d8,谢前面,314.421,1611074159,16777215,1
bfd129d8,抵制pony从我做起,322.722,1611074170,16777215,1
252d0b86,我在,1524.133,1611074298,16777215,1
98267b1e,城野37美白真的牛,1449.671,1611074490,16777215,1
98267b1e,淡化新的痘印也是有效的！,1469.806,1611074532,16777215,1
422be437,madly我的最爱！,740.53,1611073208,16777215,1
58c3c8ab,真爱！,1522.754,1611073252,16777215,1
21809f52,我竟然爱阿四一年了！刚反应过来！呜2021继续爱你！,1826.323,1611073317,16777215,1
252d0b86,好可爱阿四,434.84,1611073379,16777215,1
252d0b86,快说，你是不是只有这一盘眼影,465.341,1611073410,16777215,1
6f2a3487,时长太喜欢了,1560.374,1611073594,16777215,1
12f73d79,我！,1521.706,1611072177,16777215,1
12f73d79,不用谢因为你值得！,1816.617,1611072507,16777215,1
6f2a3487,哈，又是它,81.859,1611072530,16777215,1
cf33201c,来啦终于等到你了,3.259,1611072658,16777215,1
252d0b86,快一个月没有发视频了,21.533,1611072923,16777215,1
252d0b86,超级好看,49.034,1611072950,16777215,1
fb7bdcbd,同搓泥,1268.777,1611071252,16777215,1
bc3124f9,intoyou据说源自于英国,1051.713,1611071380,16777215,1
f29c60e3,是的！超舒服,1755.817,1611071508,16777215,1
911ad8a5,胖一点好看好多,46.339,1611071671,16777215,1
f5a6af7b,还在,1532.819,1611072037,16777215,1
1052869c,前面说了是疱疹好像,628.335,1611072084,16777215,1
12206f77,听成我是f4,10.503,1611070444,16777215,1
80a11e36,他家润唇膏好用,1288.444,1611070460,16777215,1
d9c5ac1e,真爱,1520.267,1611070559,16777215,1
f436091e,跟着阿四入了逆龄但是选错了色号哭,178.427,1611070729,16777215,1
adf0b0bc,我也是哭泣,47.449,1611070968,16777215,1
3bd9fdc9,不啊，这个气垫我记得之前有几个视频都有出镜，自己去看就知道了,213.993,1611069441,16777215,1
b146259d,可爱,443.604,1611069476,16777215,1
88b865ec,这个安瓶包装直接劝退，会炸，而且香味太大不喜欢,1591.521,1611069515,16777215,1
6354740d,四的妆真的太精致了,75.643,1611069674,16777215,1
63a7e882,时长我爱了去拿些零食来看,32.232,1611069685,16777215,1
63a7e882,我记得阿四以前是那个ka修容,400.676,1611069923,16777215,1
63a7e882,美女嘴巴上长个痣了？,601.295,1611070078,16777215,1
e8c619b,我也是喜欢了快四年了呜,1523.296,1611070118,16777215,1
dea9aab9,漂亮四儿最棒！永远支持你！做最快乐的自己就好啦！,1858.53,1611068478,16777215,1
25c1e775,哈前面说阿四充电的姐妹和阿四一样可爱哈,436.69,1611068573,16777215,1
25c1e775,这个我觉得粉质很好颜色也很自然！,450.67,1611068617,16777215,1
2721a1e9,对！超搓泥！,1250.487,1611068639,16777215,1
c9d7fbe8,这个起闭口！我用哭,1242.116,1611068642,16777215,1
e71c6ba5,求今天的口红色号，好看！,119.015,1611068931,16777215,1
e71c6ba5,爱了,183.488,1611068964,16777215,1
b4bd3e5e,疯狂搓泥,1252.321,1611068998,16777215,1
8dbe6864,边洗澡边看,1537.599,1611067600,16777215,1
4efe43eb,1！,107.39,1611067643,16777215,1
4efe43eb,我觉得不太遮,125.242,1611067670,16777215,1
7008407f,我用就莫名斑驳,160.772,1611067868,16777215,1
dea9aab9,好可爱，啊四！哈,1048.297,1611067976,16777215,1
c5e59b22,我在,1523.722,1611067994,16777215,1
c56b520b,小姐棒哒,1845.817,1611068152,16777215,1
af19848c,视频无广,206.996,1611068240,16777215,1
139d4d89,时长太良心了,1799.657,1611068337,16777215,1
fdba013e,推广吗这个说这么长时间,195.799,1611066890,16777215,1
30ac4f68,龙哥代言的嘻,1186.538,1611066964,16777215,1
e1df81d6,我觉得胖了一点还比之前好看了之前太瘦啦,43.02,1611066969,16777215,1
2c9f7707,对！vlog！,1853.808,1611067091,16777215,1
6824a39d,就是看阿四推荐才买的,827.371,1611062552,16777215,1
d8df2077,我用这款搓泥T,1212.89,1611062588,16777215,1
9976c418,我也挺喜欢这个的,1581.818,1611062590,16777215,1
23785e4f,这个眼线笔无限回购,973.46,1611062628,16777215,1
47b54c44,油皮也觉得新娘款合适,1025.748,1611062665,16777215,1
dca38662,这个真的好用,1468.471,1611062807,16777215,1
ef980c2e,盲猜kate洗面奶,1194.886,1611062882,16777215,1
a9774295,氛围感,724.158,1611062983,16777215,1
f85f8d0d,爱你,1826.41,1611063198,16777215,1
24c4710f,时长感人哇！,3.731,1611063307,16777215,1
ef980c2e,一人血书求vlog,1858.783,1611063565,16777215,1
e61d26d1,我觉得这样还好看一点,49.779,1611063792,16777215,1
b0e14eac,时长感人,2.662,1611063834,16777215,1
7e641168,69,297.253,1611063883,16777215,1
24c4710f,今天宝的卧蚕画的好棒,354.025,1611064124,16777215,1
c7c9b101,天哪这个安瓶包装做得不行会炸,1492.479,1611064137,16777215,1
1f6daced,对被阿四种草的美瞳中，买的第一款就是这个,1756.533,1611064278,16777215,1
3faf6670,真爱，哈,1529.62,1611064371,16777215,1
a2f7c0d0,阿四也像充电了哈太爱了！,433.949,1611064404,16777215,1
155435bc,才一半，爱了,970.279,1611064503,16777215,1
15bdf9c6,这块我已经用凹了！真的无敌好用！,729.141,1611064561,16777215,1
8d8e38dc,可我觉得阿四太瘦啦胖一点更好看哒！,51.263,1611064577,16777215,1
dddfcf41,很认真在看！,1574.496,1611064754,16777215,1
766daa8a,先投个币再看嘻,13.825,1611064869,16777215,1
4768a434,天呐我全有,529.385,1611065074,16777215,1
dda53a66,传说ponyRH,314.811,1611065205,16777215,1
2f50eb38,这个色断货了好想买的,636.013,1611065227,16777215,1
b0e14eac,这个秋冬用都有点太油了,1236.633,1611065238,16777215,1
2f50eb38,好温柔,683.606,1611065266,16777215,1
78f723bc,好久不见啦,7.009,1611065419,16777215,1
2f50eb38,这个颜色国产唇泥有很多代替了这个牌子大家还是避雷吧,1058.527,1611065494,16777215,1
ced262cd,过年屯膘很正常哈,36.03,1611065573,16777215,1
2f50eb38,Intoyou的品牌对博主外貌攻击可能四不知道大家灭个草吧,1072.78,1611065579,16777215,1
a2f7c0d0,我就是！,1520.748,1611065588,16777215,1
c6fbaf8c,马林狗子？,1286.214,1611065633,16777215,1
12f73d79,但其实不影响美貌,26.217,1611065837,16777215,1
a2f7c0d0,我们是遥远的朋友呀,1838.077,1611065861,16777215,1
4768a434,同款！,1368.98,1611065918,16777215,1
af6bce0d,olive真的强推！,1760.798,1611065986,16777215,1
8427db19,我也是！,1271.59,1611066024,16777215,1
d63a27b5,这个好用！,137.197,1611066098,16777215,1
d63a27b5,我干皮用小黑盒,148.302,1611066110,16777215,1
d63a27b5,好用！,153.734,1611066115,16777215,1
4768a434,我在！,1524.201,1611066228,16777215,1
710bd475,你可终于来了！,13.437,1611066240,16777215,1
da878b88,小银盒我是干皮会觉得干，可能小黑盒更合适，干皮姐妹参考一下哦,133.94,1611066538,16777215,1
796633b4,好多都种草！,1839.963,1611061518,16777215,1
af3dcbb7,01也好看,1071.092,1611061524,16777215,1
fd3e20ab,太可爱了啊！,444.532,1611061561,16777215,1
d55af2f2,前面的我也是,824.805,1611061564,16777215,1
83a0d39c,在呀,1524.965,1611061672,16777215,1
ab6fb8bd,巨长分享了可以说是,1542.069,1611061775,16777215,1
47604766,阿四的手都有点肉的了23好可爱,709.524,1611061877,16777215,1
83a0d39c,你可以的！加油呀,1840.34,1611061932,16777215,1
23785e4f,好久不见！,10.302,1611061935,16777215,1
23785e4f,还是很好看的呀！,40.944,1611061969,16777215,1
