Sender,DmContent,AppearTime,SendTime,FontColor,DmType
e17d7abc,爱叫懦夫变得大胆,117.74,1610986819,16777215,1
c0b27ec0,当然不是，首先你得有钱doge,37.7,1610986964,16777215,1
b318b932,爷青回,11.859,1610987003,16777215,1
be54292d,爱让懦夫变得大胆,264.193,1610987009,16777215,1
be54292d,避让懦夫变得大胆,307.586,1610987053,15138834,4
b3ca950b,厉害了,232.767,1610987153,16777215,1
c0b27ec0,姚安娜的歌我都没敢点开听，怕刷新我的下限,204.841,1610987362,16777215,1
20fa273c,燃起来了,231.393,1610987364,16777215,1
c0b27ec0,像一块肌肉？哈,216.532,1610987383,16777215,1
c0b27ec0,复读机模式上线,279.321,1610987453,16777215,1
6856f0c1,爱让懦夫变得大胆,6.588,1610987760,16777215,1
a62c39b5,up是吴亦凡吧,258.266,1610986361,16777215,1
c3357b6d,头盔,62.719,1610986411,16777215,1
a62c39b5,出不去了,304.066,1610986412,16777215,1
17ea70dd,底下红字成功让我DNA动了,131.972,1610986603,16777215,1
99b6a66d,原地登顶！,228.824,1610986684,16777215,1
f55203e3,老湿,24.905,1610986779,16777215,1
52f7eca7,牛啊,166.299,1610986795,16777215,1
be54292d,爱让懦夫变得大胆,71.436,1610986816,16777215,1
fbf3d1a9,来了,5.459,1610985047,16777215,1
c815d445,进度条君,121.56,1610985282,16777215,1
5bb2b741,刚刷完爱叫懦夫变得大胆,132.926,1610985288,16777215,1
3d7c463f,为什么这么好听,170.434,1610985448,16777215,1
ca4112c2,串味了,289.06,1610985486,16777215,1
3edcf17e,老师,17.28,1610985531,14811775,5
2003995,竟然有点好听捂脸,229.864,1610985666,16777215,1
56029df8,我觉得可！,162.869,1610985725,16777215,1
56029df8,哈大胆,193.244,1610985761,16777215,1
cf72c780,草，人家不要面子的啊，哈,124.291,1610984151,16777215,1
cf72c780,溜得飞起,157.785,1610984326,16777215,1
cf72c780,直接出道,164.145,1610984339,16777215,1
6afdc4d2,哇好久不见,7.406,1610984376,16777215,1
6928174e,8分钟搞完歌词，笑死,120.917,1610984643,16777215,1
a19f1c65,芜湖，开蹭咯,10.463,1610984727,16777215,1
641f48a2,韩国曲风,258.399,1610984731,16777215,1
e693f671,有凡的味道了,285.713,1610984760,16777215,1
4254add9,爱让懦夫变得大胆,176.899,1610984838,16777215,1
52741cb3,多笋啊,142.551,1610984880,16777215,1
9d65965e,我看见了老福特？,45.351,1610983142,16777215,1
6c4ad5d7,久违整活,9.779,1610983154,16777215,1
2fc5d051,为啥要翻译？,117.72,1610983211,16777215,1
9d65965e,woc？,121.215,1610983225,16777215,1
b91e1b2e,来了,11.82,1610983262,16777215,1
b6cc901b,我在抖腿,186.591,1610983355,16777215,1
d1bbcc4d,鬼故事进度条一半了,161.459,1610983363,15138834,5
b9c40a4b,大家都能出道,39.478,1610983477,16646914,5
4a4e0586,老福特瞩目,48.916,1610983477,16777215,1
4445b22e,给五年后自己的一封信,41.197,1610983490,16777215,1
4a4e0586,6up搞这些从没失望过,137.123,1610983566,16777215,1
e74c98b8,爷青回,8.936,1610983663,16777215,1
b53ae0ee,为什么我听到的还是爱让懦夫变得大胆，哈,195.188,1610983700,16777215,1
f52e630d,帅哥你谁,9.43,1610983734,16777215,1
b9c40a4b,期待下期,321.746,1610983795,16646914,5
45366f25,好听！,258.998,1610983937,16777215,1
144a0e37,老师,18.619,1610982309,16777215,1
b1744e41,贰伍壹警告,3.476,1610982342,16777215,1
b2905ac1,你好骚啊,154.542,1610982494,16777215,1
af00fe75,kpop,278.995,1610982618,16777215,1
d025943,谷歌翻译可还行,104.854,1610982659,16777215,1
5f0ccb15,开团啦,15.456,1610982723,16777215,1
2b5a4c81,吴亦凡附体,255.657,1610982844,16777215,1
170c548f,国际团队,289.896,1610983086,16777215,1
91fc24f9,终于,3.39,1610981302,16777215,1
a88799cd,爱叫懦夫变得大胆,125.18,1610981347,15138834,4
e158c480,我去我觉得好听啊,163.497,1610981357,16777215,1
b9683f58,我觉得比姚安娜的出道区好听,199.162,1610981460,16777215,1
616279f,搞到很多,97.001,1610981511,16777215,1
cd46182,五分钟吗,152.064,1610981644,16777215,1
616279f,我tm听了甚至想跳舞,229.578,1610981675,16777215,1
298d876a,爷青回,15.912,1610981720,16777215,1
c4ad82f9,好家伙,244.308,1610981910,16777215,1
7f2155ac,大制作,212.34,1610981959,16777215,1
e785ae45,大胆哈,138.139,1610982033,16777215,1
298d876a,我叫楚雨寻！,281.612,1610982054,16777215,1
5be4ad02,爷青回,6.08,1610982168,16777215,1
f58df5f,鸡你太美,203.019,1610980641,16777215,1
d62db207,草啊这是进击的巨人吧,216.639,1610980698,16777215,1
9f266d59,爱让懦夫变得大胆,241.576,1610980809,16777215,1
cf4cb8a7,来了,18.705,1610980981,16777215,1
a7dd08aa,爱让懦夫变得大胆！,176.719,1610981001,16777215,1
54f050a3,来了,12.729,1610981173,16777215,1
a88799cd,重操旧业,0.219,1610981190,15138834,4
9e46f987,爷青回,4.926,1610981207,16777215,1
2e7179ea,爱让懦夫变得大胆,199.659,1610979539,16777215,1
ad4288ae,爷青回,8.409,1610979550,16777215,1
5f93286f,基操勿六,132.42,1610979578,16777215,1
8fc6767,敷衍哈,148.426,1610979598,16777215,1
6ec3514f,没有头盔，莫得灵魂,199.613,1610979639,16777215,1
5f93286f,爱让懦夫变得大胆！,189.52,1610979649,15138834,1
1b39864c,你的更好听诶,172.621,1610979744,16777215,1
be446b20,感觉声音好听,183.204,1610979836,16777215,1
8cf41c87,爷青回,5.95,1610979852,16777215,1
b14a13a3,爱让懦夫变得大胆,188.65,1610979877,16777215,1
4cea47ef,头盔,14.437,1610979889,16777215,1
d71487b6,没毛病,36.068,1610980045,16777215,1
fa8da1b2,感觉下一句真的是大胆,187.911,1610980127,16777215,1
4745fa3e,配上套广播体操就更有那味了,241.262,1610980257,16777215,1
ce6a8b35,这不比燃人转博？,255.738,1610980270,16777215,1
906c4062,带制作,250.177,1610978640,16777215,1
c576e18f,一时竟不知道该说些什么,236.516,1610978641,16777215,1
5df9b35f,爷青回,4.618,1610978784,16777215,1
a32e87bc,期待,138.213,1610978878,16777215,1
d86d4cff,鸡你太美,186.01,1610978887,16777215,1
6493c941,大胆的感觉来了,184.131,1610978896,16777215,1
a32e87bc,好听呀md,171.0,1610978911,16777215,1
6493c941,爱让懦夫变得大胆h,219.663,1610978932,16777215,1
a32e87bc,注入灵魂,156.619,1610978950,16777215,1
98c8f81d,好牛啊哈,166.871,1610978951,16777215,1
d1cb168f,青回,22.386,1610978987,16777215,1
5a58a199,你好快,9.688,1610979207,16777215,1
dfb0e29b,草哈,125.785,1610979281,16777215,1
5b07d757,大胆,192.992,1610979287,16777215,1
6f00dfec,老师？,18.169,1610979316,16777215,1
bb164b69,看小臧的表情！阿哈,22.481,1610979367,16777215,1
a71bf5ea,好牛啊,237.484,1610979431,16777215,1
e5ef9a2d,我感觉你再憋笑,17.659,1610979439,16777215,1
4a37bd7,直接投币,47.943,1610979482,16777215,1
5f93286f,盔！爷青回,13.737,1610979488,16777215,1
5e714ef1,学会了给我加旺财制作一款MV,268.651,1610977642,16777215,1
5bea4eb7,牛逼啊,193.428,1610977683,16777215,1
a14daa9c,好活,240.446,1610977775,16777215,1
f00e2abc,需要头盔,69.377,1610977784,16777215,1
f00e2abc,生草,124.044,1610977839,16777215,1
f098fc8d,头盔军，集合,14.824,1610977863,16777215,1
f00e2abc,直接出道,198.027,1610977913,16777215,1
827e392e,爱让懦夫变得大胆！,12.419,1610977953,16777215,1
eca08ca3,h，好期待,38.929,1610978039,16777215,1
4f866536,我错过了什么？我快进了么？,123.936,1610978075,16777215,1
7104b0ca,草率,137.422,1610978305,16777215,1
d517fa58,这和鸡你太美一样啊,301.86,1610978313,16777215,1
22203774,保护,29.314,1610978328,16777215,5
739789a2,好家伙这不比博人传燃？,254.171,1610978387,16777215,1
22203774,爱让懦夫变得大胆,162.608,1610978478,16777215,5
6c1cbe74,我竟觉得十分好听,194.14,1610978544,16777215,1
a32e87bc,来了,7.377,1610978551,16777215,1
906c4062,s夹断了,166.755,1610978557,16777215,1
6b33d3ad,爱让懦夫变得大胆！,173.503,1610976691,16777215,1
df0c0b88,爷青回？,10.427,1610976804,16777215,1
621333a2,来了！,6.014,1610976901,16777215,1
925fe33,爷青回,9.596,1610976921,16777215,1
925ecea1,好听啊,188.583,1610977055,16777215,1
afe3de86,进度不错都46了,145.877,1610977060,16777215,1
b13b177f,我已经开始笑了红火恍惚哈,129.252,1610977083,16777215,1
b13b177f,我已经开始笑了哈,156.558,1610977131,16777215,1
bc2a400b,1min过去了,125.612,1610977219,16777215,1
7bee9635,好带感,231.903,1610977251,16777215,1
7bee9635,比她那首好听多了,247.427,1610977266,16777215,1
bc2a400b,4min过去了,141.006,1610977282,16777215,1
b4973cda,爱让懦夫变得大胆,180.715,1610977286,16777215,1
b13b177f,不行了哈,270.026,1610977330,16777215,1
b4973cda,爱让懦夫变得大胆,222.835,1610977340,16777215,1
bc2a400b,3min过去了,196.645,1610977346,16777215,1
63144f78,翻译28遍！,100.927,1610977618,16777215,1
f97dcc5e,爷青回,11.457,1610976056,16777215,1
5e5f3361,头盔，头盔,21.419,1610976123,16777215,1
4d603f32,真快啊,6.908,1610976158,16777215,1
6c387aa7,哈大家都可以出道,37.384,1610976185,16777215,1
3b0b0916,nb啊,105.23,1610976326,16777215,1
6b33d3ad,头盔？,13.782,1610976356,16777215,1
3b0b0916,up唱的？,199.23,1610976420,16777215,1
5e5f3361,没有头盔了,320.38,1610976432,16777215,1
dcd40fab,爱让懦夫变得大胆,57.151,1610976464,16777215,1
7e7d6a1c,太强了,149.588,1610976480,16777215,1
61ab4061,这个系列多更新，谢,12.239,1610976523,16777215,1
29237ad9,建议使用depl,99.86,1610976530,16777215,1
99fd9eb7,你这是逼我去听原曲,302.803,1610976560,16777215,1
fc665bac,哈承包尴尬空屏,22.249,1610974942,15138834,5
4c58ebc2,大制作啊，国际范满,226.44,1610974963,16777215,1
5c462786,鸡皮疙瘩起来了,161.214,1610975062,16777215,1
468e3641,你币有了,283.911,1610975093,16777215,1
f657c103,歌词完了。,129.948,1610975109,16777215,1
16474214,来了,7.084,1610975234,16777215,1
1b234d10,鬼畜区的都起来了，来活儿了,28.945,1610975300,16777215,1
11dd3b10,可爱,20.356,1610975361,15138834,5
fa6905e6,草哈,159.439,1610975377,16777215,1
2157df26,这系列居然更新了,6.222,1610975446,16777215,1
cf324dd3,比公主的好听哈,241.608,1610975455,16777215,1
75a3efc,希婆？,90.32,1610975480,16777215,1
754300e1,有内味了,280.039,1610975512,16777215,1
15bc24ce,世界最好的盔,264.374,1610975516,16777215,1
3a57add9,来了,5.747,1610975547,16777215,1
7ae1f39,nb,306.016,1610975625,16777215,1
aa3d2847,爱让懦夫变得大胆,189.736,1610975640,16777215,1
e3f455c,像一块肌肉23,248.7,1610975656,16777215,1
f313773c,爷青回,11.179,1610975730,16777215,1
25468dc4,都在听歌,303.935,1610974038,16777215,1
de31de09,虾仁猪心,119.687,1610974048,16777215,1
302016a4,zang臧宝，妈来啦！,7.657,1610974058,16777215,1
5052c9d8,好活儿,13.524,1610974092,16777215,1
5052c9d8,老师哈,21.746,1610974101,16777215,1
2f60133d,好活,21.682,1610974113,16777215,1
5052c9d8,直接谷歌翻译吧不是,57.823,1610974153,16777215,1
87d82d87,老师h,28.248,1610974241,16777215,1
5052c9d8,要命啊哈,170.789,1610974278,16777215,1
87962567,火钳刘明,11.42,1610974281,16777215,1
8c969d78,来早了,195.523,1610974314,16777215,1
af4de453,对味了,157.911,1610974316,16777215,1
888ce47,直接三连,8.91,1610974395,16777215,1
c11b5664,好家伙，好听！,160.461,1610974417,16777215,1
f89bc8f6,爷青回,15.199,1610974469,16777215,1
c11b5664,感谢提醒,206.653,1610974478,16777215,1
71ffb752,Sobig胆,33.683,1610974492,16777215,1
7b90e1ff,像一块鸡肉,246.1,1610974503,16777215,1
a50dd443,有内味了！,157.616,1610974545,16777215,1
bcf5a69d,紧跟时事哈,9.79,1610974548,16777215,1
ee31c5db,拜托你认真一点好吗。狗头,145.727,1610974670,16777215,1
5bc00c0c,意外的有点好听？,255.839,1610974678,16777215,1
ee31c5db,我竟无话可说。,226.116,1610974752,16777215,1
1ca76b,来了！,23.103,1610974850,16777215,1
36b0452,UP主牛皮,179.449,1610974902,16777215,1
18d25164,虽迟但到,0.98,1610974917,16777215,1
68143b1c,大家都可以出道大胆,32.771,1610973194,16777215,1
406e1412,来了！,16.943,1610973207,16777215,1
77369485,爷青回,7.092,1610973218,16777215,1
328d1ef9,爱让懦夫变得大胆,183.292,1610973222,16777215,1
5a68ce81,牛逼,226.031,1610973255,16777215,1
328d1ef9,芜湖,228.077,1610973268,16777215,1
5a68ce81,英语好帅,271.672,1610973300,16777215,1
406e1412,有内维尔了,129.178,1610973319,16777215,1
2775a104,075舒适,250.421,1610973345,16777215,1
406e1412,接下来就开始MV的制作！,212.455,1610973402,16777215,1
dd20b29a,就是那味,122.645,1610973426,16777215,1
f8088a,来早了,186.659,1610973426,16777215,1
76f44350,高级,230.387,1610973440,16777215,1
d5db04ba,哈第一个是希拉里的,83.667,1610973524,16777215,1
33f066e9,爷青回,36.446,1610973542,16777215,1
e60a9eb7,头盔,200.784,1610973563,16777215,1
9bf280b7,咖啡卑！,25.477,1610973574,16777215,1
260bd40b,可爱没有脑袋,32.159,1610973635,16777215,1
9af58488,哈有内味了,156.176,1610973652,16777215,1
b0ffa47,大胆美狗，嘲讽格,69.584,1610973812,16777215,1
e991edcd,来了爷青回！,12.997,1610973826,16777215,1
a2386f37,牛逼,158.61,1610973829,16777215,1
1bdc9c7f,英语真的是英语吗？,178.516,1610973854,16777215,1
1bdc9c7f,159人在观看,198.795,1610973874,16777215,1
1bdc9c7f,老师顺便跳个舞把MV出了吧,236.572,1610973913,16777215,1
a5504b9c,高效率整活，i了,5.666,1610973969,16777215,1
9e80e1ea,头盔！,11.219,1610973991,16777215,1
c20c36f3,gay了起来,157.737,1610974029,16777215,1
9e5c64bb,up主nb！,155.633,1610972277,16777215,1
fc2743a3,头盔,21.969,1610972328,16777215,1
e84f8867,爷青回？,10.133,1610972336,16777215,1
7e3a93d0,爷青回,39.879,1610972341,16777215,1
46fef090,用时4分钟,144.558,1610972345,16777215,1
9e5c64bb,耳机党阵亡,212.523,1610972351,16777215,1
b710dc37,无痕就很灵性,77.28,1610972418,16777215,1
3350e4d7,爷青回,50.554,1610972418,16777215,1
7e3a93d0,好听的,160.12,1610972473,16777215,1
596e3da4,好家伙,92.08,1610972504,16777215,1
33642a71,好听,167.932,1610972509,16777215,1
90aeb325,哈诡异的安静,29.339,1610972521,16777215,1
4511c1e5,有那味了,283.313,1610972521,16777215,1
e84f8867,带制作,214.694,1610972540,16777215,1
9d16d608,热乎着的！,8.759,1610972583,16777215,1
33642a71,前方音量较小，建议大家提高音量观看,203.683,1610972584,16777215,1
466a251e,绝了！,186.818,1610972668,16777215,1
46693ae0,爷青回,95.528,1610972705,16777215,1
ac76aab4,传统艺能,2.597,1610972714,16777215,1
b6eb2a39,我先来！头盔！,48.19,1610972856,16777215,1
efafdeb,害怕,158.588,1610972859,16777215,1
2b15e10f,好家伙这不比博人传燃？,242.796,1610972915,16777215,1
93f5c2a0,我离出道就差个华为doge,37.717,1610972957,16777215,1
e69ceb12,尴尬,25.919,1610972973,16777215,1
1c96b059,23,155.979,1610973018,16777215,1
7837ae23,哈是内味儿了,107.179,1610973035,16777215,1
5a68ce81,红火恍惚,26.183,1610973037,16777215,1
46693ae0,我是gues，我们下期如果还有下期的话，再见滑稽,314.13,1610973061,16777215,1
93f5c2a0,找个节拍,146.269,1610973066,16777215,1
a353d952,弹幕呢,299.264,1610973095,16777215,1
aa089659,好家伙怎么给我听困了。,319.612,1610973117,16777215,1
93f5c2a0,讽刺的最高境界10分钟写一首一样的歌,198.12,1610973118,16777215,1
6cf053c3,十分工业糖精,230.186,1610973126,16777215,1
5a68ce81,太草了,125.785,1610973136,16777215,1
8ec387a2,热乎的,17.012,1610972078,16777215,1
14714a87,23,23.302,1610972118,16777215,1
9f228751,守护最好的头盔酱,62.03,1610972129,16777215,1
9e5c64bb,爷青回,11.406,1610972133,16777215,1
6ab63a4f,爷青回,31.267,1610972153,16777215,1
9e5c64bb,爷青回！,32.372,1610972154,16777215,1
44cb888f,爷青回！,15.652,1610972184,16777215,1
b14afcae,爷青回？,80.425,1610972210,16777215,1
44cb888f,祖传时间计算,48.652,1610972217,16777215,1
46d61140,厉害！,72.936,1610972226,16777215,1
ec0efc51,哈这个系列终于爷青回,16.817,1610972228,16777215,1
