24832,352,1508,259,2812,1610989668
23962,346,1475,250,2744,1610988716
22985,336,1433,239,2666,1610987780
21796,324,1383,229,2552,1610986854
20428,310,1315,222,2440,1610985896
19323,300,1279,209,2347,1610984992
18189,282,1220,197,2254,1610984065
17087,268,1142,185,2137,1610983146
15702,245,1079,170,1995,1610982247
13780,222,984,158,1839,1610981322
11811,208,903,140,1692,1610980429
9839,179,792,119,1516,1610979527
8688,169,715,107,1380,1610978607
7535,152,634,93,1224,1610977654
6452,132,556,81,1073,1610976734
5445,108,454,66,917,1610975853
4347,90,359,54,750,1610974961
2987,65,251,41,573,1610974071
1678,37,140,16,350,1610973157
232,5,16,3,71,1610972261
