Sender,DmContent,AppearTime,SendTime,FontColor,DmType
fe66bc42,想到了德善爸哈,784.032,1611022361,16777215,1
4e2a420a,亲哥真的温柔了很多,308.117,1611021612,16777215,1
7e11daef,美子姐,1211.35,1611020021,16777215,1
efa79b5f,这个姐长得好看,1539.179,1611020208,16777215,1
e8c90419,凭实力单身,1705.191,1611020522,16777215,1
5658e1a9,不结就没烦恼啦哈,1775.51,1611017661,16777215,1
ea16d1ad,粉丝们送的啦,30.769,1611016334,16777215,1
7e573831,男人太孝顺了，老婆子女容易遭伤害,1779.136,1611005823,16777215,1
7e573831,叫希峰,119.815,1611004372,16777215,1
7e573831,女主上认哥了,133.933,1611004405,16777215,1
13d7e92e,早就失败了呀大哥,1960.715,1611000748,16777215,1
278a4011,这个衣服确,30.738,1611001354,16777215,1
13d7e92e,亲哥真好看,1273.734,1611000000,16777215,1
13d7e92e,这么直接？,1327.634,1611000165,16777215,1
13d7e92e,太直接了大哥,1525.449,1611000316,16777215,1
13d7e92e,唉，不行了,1696.768,1611000464,16777215,1
13d7e92e,失败！,1836.608,1611000614,16777215,1
a2802dcb,啊和均神我也喜欢，谁不喜欢天呐,383.927,1610996174,16777215,1
d92299df,人家一直瞄的是亲哥哈,1541.872,1610994283,16777215,1
da08b36e,金希澈好可爱哈,1557.357,1610993944,16777215,1
ad82b65,赫宰65也穿了,19.424,1610991476,16777215,1
4187320a,i长发火速赶来！,342.969,1610990934,16777215,1
55861e99,亲哥的头发长到一定程度就会剪短然后又留长,341.692,1610991029,16777215,1
353ebbf8,闪儿子呀,205.779,1610989296,16777215,1
c19b2aec,当年真的是很可怕的哥23,242.92,1610989321,16777215,1
353ebbf8,笑死我了哈,244.439,1610989343,16777215,1
353ebbf8,爸给儿子的警告哈,247.059,1610989357,16777215,1
2af0ecab,哇塞珉豪,122.575,1610989398,16777215,1
98bdf1c7,失败！,1723.245,1610988301,16777215,1
660f5a39,果然只有妈心疼女儿啊,1842.152,1610988336,16777215,1
