Sender,DmContent,AppearTime,SendTime,FontColor,DmType
3d12c8b6,叫花八宝鸭？,2206.966,1610889521,16777215,1
3c5dbe39,卧槽,388.599,1610889558,16777215,1
e22e2965,看这个节目实在太考验人了,3679.23,1610889877,16777215,1
695658e0,海鸥肉？字幕组认真的吗？不是护心肉吗哈,2861.273,1610892241,16777215,1
b274e66b,我自从看了shownu的shotout直拍，眼里就只有他一个男人了,553.113,1610896361,16777215,1
3d12c8b6,叫花八宝鸭？,2206.966,1610889521,16777215,1
3c5dbe39,卧槽,388.599,1610889558,16777215,1
e22e2965,看这个节目实在太考验人了,3679.23,1610889877,16777215,1
695658e0,海鸥肉？字幕组认真的吗？不是护心肉吗哈,2861.273,1610892241,16777215,1
812a05fd,加菲猫来了,63.334,1610885491,16777215,1
5cacc33c,叫花鸡？,2178.686,1610885984,16777215,1
d03c5d53,呵我饿了,163.634,1610886743,16777215,1
