Sender,DmContent,AppearTime,SendTime,FontColor,DmType
4906c06d,还是那时候的歌带感,786.467,1610985085,16707842,1
b1783696,卧槽上来就高音,959.691,1610985132,16777215,1
38fc4ecb,高耀太啊,3387.935,1610985166,16777215,1
6714a7b,hiphop,3759.121,1610985179,16777215,1
ad52d484,这个应该算申智姐的女偶像了，翻唱过好几次她的歌,665.215,1610985278,16777215,1
d6241ded,申智好漂亮啊，,3424.935,1610985284,16777215,1
760b8443,这一集一下子就欢快了h,262.146,1610985518,16777215,1
63d4bae9,太完美了金国钟,4691.113,1610985584,16777215,1
6714a7b,戴耳机！,4198.489,1610985620,16776960,5
ad52d484,右边是蔡妍吧,1025.236,1610985655,16777215,1
63d4bae9,5真好啊turbo,4966.706,1610985799,16777215,1
b1783696,经典。我初高中把这张磁带都快听坏咯。,1851.585,1610985829,16777215,1
6714a7b,猫叫那个吗哈,4395.514,1610985855,16776960,5
2a055302,金建模也可以了,509.795,1610984068,16777215,1
c6c3378b,听过这歌,2401.854,1610984133,16777215,1
2a055302,小新？！,578.995,1610984145,16777215,1
ad52d484,高耀太排面,238.206,1610984820,16777215,1
63d4bae9,kjk76！,23.505,1610983558,16777215,1
6714a7b,汉尔叔这照片跟海率神似哈,1516.904,1610983604,16777215,1
b2782663,有点东西啊,3002.317,1610983942,16777215,1
a936732d,jesi说钟国靠这首赚大了,4458.953,1610983991,16777215,1
a936732d,刘承俊名字能出现了吗,503.614,1610982304,16777215,1
e0d5ba27,kjk,7.264,1610982370,16777215,1
2a055302,哇天才啊,4662.782,1610982426,16777215,1
2a055302,国哥太有魅力了,4737.902,1610982534,16777215,1
22062147,wow大嗓,714.525,1610982562,16777215,1
30ecba30,来了,5.075,1610982891,16777215,1
93fb8207,哈能让前辈们肃然起敬,306.023,1610981985,16777215,1
8066a4d5,高耀太伴舞蛮漂亮的,3468.221,1610982004,16777215,1
93fb8207,笑死哈,326.81,1610982077,16777215,1
dac44483,来了,8.681,1610981114,16777215,1
dac44483,Kjk,48.126,1610981128,16777215,1
cb85dc43,第一没毛病吧,21.939,1610981194,16777215,1
