Sender,DmContent,AppearTime,SendTime,FontColor,DmType
66087607,刷新率是水桶帧率是水,106.539,1610878624,16777215,1
28af19bc,空降309,0.881,1610878702,16777215,1
a19521aa,oh,12.903,1610878765,16777215,1
4815b9,r6,258.994,1610878773,16777215,1
45735f6e,这个确实,175.567,1610878935,16776960,1
45735f6e,削弱了预判的部分作用,224.391,1610878984,16776960,1
210825a3,宁搁这虚空显卡呐？,64.179,1610878988,16777215,1
b2302542,彩虹六号排面,165.159,1610879095,16777215,1
c32b1587,时间是一定的只不过60HZ给你的反应时间少一些,138.057,1610879135,16777215,1
5ea3aa8,韩澜之家BGM,24.798,1610879156,16777215,1
81a731a9,30系显卡买不到,268.721,1610879158,16777215,1
cdccff6d,然而服务器的响应还是60hz,53.437,1610879584,16777215,1
a7562f97,嚯，龙大锤,86.071,1610879656,16777215,1
9cc31fb3,低帧战士露头。,207.741,1610879659,16777215,1
bb576923,那没事了,266.269,1610879681,16777215,1
2206ef66,10系和9系的明是最多的亲民,269.335,1610879967,16777215,1
a8e90c0d,呼，那没事了,270.597,1610880073,16777215,1
8a1c50c6,10的死了,274.79,1610880148,16777215,1
56064203,那和我960m有什么关系呢,267.149,1610880158,16777215,1
e3cbd0f9,买都买不到,285.811,1610880371,16777215,1
486d69a8,16狂喜,275.845,1610880511,16777215,1
7dac9f1,还好。我是16系列的。,262.426,1610880516,16777215,1
3e13ad6,这你妹的广告真是可以如果你因为这点速度被人杀了我可以很负责告诉你是你菜,149.958,1610880645,16777215,1
b8189da6,用了120已经回不去60了,124.752,1610880851,16777215,1
3c08662d,来了,13.505,1610880864,16777215,1
6ae97bdb,CSpek的时候因为这延迟很容易死,153.77,1610880959,16777215,1
c397ba1f,10系和9系玩这些游戏帧率不超60，就算加了也没太大加成。还有后半段,288.297,1610881046,16777215,5
6ae97bdb,10系显卡目前最多，我想换30系问题是买不到正常价位的,275.862,1610881115,16777215,1
c397ba1f,如果你都能买得起这些游戏并且有时间玩，那你肯定奋斗一下就能买20系。doge,288.959,1610881150,16777215,5
b06184b9,我120hz显示器不到120fps但是看着也是比60HZ的时候要流畅许多。,110.099,1610881260,16777215,1
e40241d,好丝滑啊,181.215,1610881282,16777215,1
dea8588e,这里说的有问题的，还有帧生成时间的问题，都是60hz高刷屏也会更好,112.923,1610881384,16777215,1
c543677a,感知不大,156.831,1610881443,16777215,1
8cd4f133,好的，这期的广告播送完了,279.861,1610881554,16777215,1
5a99432e,但是20帧的手感。,106.507,1610881612,16777215,1
2b55a0a5,但是高fps配60hz屏幕还是有很明显的变化,113.539,1610881637,16777215,1
8ad30f5,对于r6这点影响很大,159.921,1610881646,16777215,1
