Sender,DmContent,AppearTime,SendTime,FontColor,DmType
c0cff994,莱纳德直呼内行,109.047,1611077165,16777215,1
32f3ff61,小芳吗？,76.536,1611077472,16777215,1
c6fc81bd,呜也跳过了Tenese,264.96,1611076509,16777215,1
aab63986,说的应该是这个人的地理知识吧,140.531,1611073632,16777215,1
3c3270ee,南方口音最逗了,190.335,1611073987,16777215,1
cd9f2524,不觉得他好笑,102.41,1611072742,16777215,1
9b6ea8d0,加州永不忘,338.454,1611071045,16777215,1
c83f26ba,这是snl唯一女卡司fred滑稽,62.215,1611069585,16777215,1
8a1131e4,平原多啊,145.812,1611069773,16777215,1
8a3c9ad6,阿甘哈,193.087,1611069980,16777215,1
e2c9d1fc,地理知识好，不是位置？,163.174,1611068562,16777215,1
4ffc7252,蜘蛛侠？,93.289,1611068747,16777215,1
ce19b611,自我中心国人地理好的也不多,134.366,1611069105,16777215,1
b764016f,阿甘,187.177,1611069135,15138834,5
6789dc01,最擅长加州吗哈,18.87,1611068354,16777215,1
10883cc3,哥们，漂亮国地理一点儿也不好，它的山脉是南北走向的，寒流可以对穿国土，北美寒流来的时候比我们猛烈的多,136.862,1611066611,16777215,1
e44845c3,snl不是客串是老卡斯了,69.536,1611066703,16707842,1
e46c389,。大平原种地多香啊,154.073,1611066938,16777215,1
c3a9bca7,川皇老家,94.612,1611062894,16707842,5
bcffe968,周六夜现场吧我记得,54.877,1611063375,16777215,1
cedca3a1,SNL客串出演过摩登家庭,55.184,1611063479,16777215,1
59155a91,字幕君一路走好,322.493,1611064718,15138834,1
a906d92d,fred！,42.522,1611065069,16777215,1
34509e93,wherearemichigandohio,257.98,1611065158,16777215,1
c5cefebd,漂亮国地理这么好真难得,131.769,1611066515,16777215,1
a355e1c7,Fred,20.724,1611061283,16777215,1
ef8acf3a,绝命毒师里面的一个角色？还是哪个电影里的？,49.872,1611059805,16777215,1
f71f86b3,23,107.858,1611059830,16777215,1
8aa94a08,TomHanks,25.687,1611059267,16777215,1
ac62bac3,加州意难忘,319.104,1611058607,16777215,1
