Sender,DmContent,AppearTime,SendTime,FontColor,DmType
8986bfa2,这销魂的转音,27.019,1610989257,16777215,1
69debb57,比狗叼,5.424,1610989499,16777215,1
309accce,三连没了下次也不给,131.632,1610987862,16777215,1
5bbedf96,下次一定,121.62,1610987217,16777215,1
557b48a3,下次也不一定,114.72,1610986401,16777215,1
3da2fc8f,不喜欢,119.899,1610986776,16777215,1
20d61db2,举报了,114.371,1610984991,16777215,1
7ba69bb,夹带私货,114.545,1610985041,16777215,1
be835951,离谱,15.589,1610985055,16777215,1
5ea7cd14,我裂开了,17.0,1610985230,16777215,1
15a92c2c,阿妹你看，上帝压狗！,140.762,1610984242,16777215,1
8919fa70,阴间调音,65.074,1610984281,16777215,1
29d315fd,好活,59.964,1610984481,16777215,1
fb855c75,宁配吗,118.439,1610984610,16777215,1
216e417c,举报了,114.214,1610984646,16777215,1
9bd36789,土到极致了家人们，但是还行,78.385,1610984792,16777215,1
95da44e3,你三连没了,124.429,1610984892,16777215,1
b5567cd,从未见过如此厚颜无耻之人,113.679,1610983152,16777215,1
e9525b95,举报了,114.451,1610983568,16777215,1
b51a250e,开口跪,8.305,1610983645,16777215,1
8f06c563,我从未见过如此厚颜无耻之人,120.216,1610983737,16777215,1
dbb23811,开幕暴击,8.419,1610983922,16777215,1
1d7ae159,YF,54.96,1610983951,16777215,1
46722ce7,你币没了,130.81,1610982366,16777215,1
ce52921d,手下留情,11.419,1610982514,16777215,1
c06b4453,举报了,111.318,1610982697,16777215,1
f4721957,草率了,0.0,1610982802,16777215,1
b79ce612,！？！？,112.24,1610982812,16777215,1
df280439,太土了吧,68.23,1610981413,16777215,1
af211d1b,味太冲,17.35,1610981469,16777215,1
d0cb1f23,这不我们学校清湖吗？学姐回母校做采访了啊！,56.205,1610981540,16777215,5
b9b67c7e,这调音有失水准,51.619,1610981546,14811775,1
5eef791b,你的三联没了,127.555,1610981597,16777215,1
b9b67c7e,夹带私货,117.539,1610981618,14811775,1
dd6a639d,FGNB,46.085,1610982007,16777215,1
c7ac9cbe,老婆,12.179,1610982094,16777215,1
eecc41ea,开口跪,11.163,1610982170,16777215,1
eecc41ea,下次一定,58.285,1610982218,16777215,1
a39d6404,裂开,50.579,1610980477,16777215,1
405fdeb8,开幕雷击,9.179,1610980533,16777215,1
a2012f3f,你币没了,113.447,1610980598,16777215,1
428be173,啥口音啊,32.793,1610980678,16777215,1
f2ca6f80,我点举报了，你呢？,136.834,1610980728,16777215,1
aec55276,你不爱超越妹了吗,108.833,1610980845,16777215,1
b3ee84bc,我裂开来,88.099,1610980971,16777215,1
5d2f9ba5,你币没了,119.26,1610981039,16777215,1
48f30959,来看我老婆,12.204,1610981057,16777215,1
1fc43969,下次一定,124.064,1610979746,16777215,1
2c8642eb,懂了，这就去找冰的视频给三连。,68.928,1610979798,16777215,1
58bd57b8,鬼畜我老婆还想要三连？,52.379,1610979986,16707842,1
508d035,fgnb,43.194,1610978736,16777215,1
8e30cdb9,各位别拦我刀在手！,115.56,1610978736,16777215,1
412f9f70,太甜了，看一眼就糖尿病了,1.454,1610978744,16777215,1
623f790f,要不要脸啊！,111.718,1610979099,16646914,5
ad976d42,冰真好看,73.711,1610979120,16777215,1
623f790f,我从未见过如此厚颜无耻之人,109.172,1610979148,16776960,1
b3539f0f,夹带私货？,112.71,1610979193,16777215,1
9d3d0eed,下次一定,111.621,1610979270,16777215,1
72f1c53f,臭不要脸,116.897,1610979302,16777215,1
fd014c94,fgnb,43.418,1610979410,16777215,1
4a35fb25,碴子味,64.574,1610977652,16777215,1
9fe5df10,新鲜的！,28.336,1610977666,16777215,1
7cf2b6f5,。5,6.467,1610977673,16777215,1
6eda7abd,好家伙，这就是手下留情吗doge,8.621,1610977674,16777215,1
a58ef305,可恶啊,7.645,1610977703,16777215,1
9039a640,好活当赏,61.979,1610977758,16777215,1
1e882efd,牛鸭,60.862,1610977801,16777215,1
18fbe771,冰女王,139.728,1610977813,16777215,1
1e882efd,夹带私货,111.72,1610977859,16777215,1
25ea4e4a,夹带私货，三连没了,113.34,1610977870,16777215,1
cab936ec,笑死,95.698,1610977903,16777215,1
8001c1e1,厚颜无耻,116.95,1610977912,16777215,1
5ed462c2,我从未见过如此厚颜无耻之人,111.929,1610977954,16777215,1
ad826e4c,私货举报了,114.79,1610977990,16777215,1
ba3cdd4,夹带私货,118.6,1610978082,16777215,1
d71d37c8,魔鬼,52.473,1610978086,16777215,1
c6ecd380,不要脸,108.742,1610978088,16777215,1
ba3cdd4,点一个举报不过分吧,133.978,1610978097,16777215,1
60adc17e,夹带私货,132.455,1610978109,16777215,1
38827b0,正道的光！,81.242,1610978124,16777215,1
21e1c446,好家伙,14.23,1610978204,16777215,1
1416896b,不过分,138.432,1610978206,16777215,1
75120420,夹带私货，举报了,139.625,1610978206,16777215,1
4e06de14,这调音，裂开,37.776,1610978218,16777215,1
cafd15f8,离谱,17.168,1610978272,16777215,1
929f2129,好土好喜欢,17.118,1610978290,16777215,1
84a8615b,三联没了,111.997,1610978332,16777215,1
b4abbdbb,可以退币吗,122.081,1610978395,16777215,1
fe97e8fc,fgnb,54.182,1610978499,16777215,1
7d2e1d06,前排吃瓜,28.931,1610977304,16777215,1
aa480ca2,新鲜的,16.042,1610977524,16777215,1
db41faf0,夹带私货？,124.236,1610977545,16777215,1
