Sender,DmContent,AppearTime,SendTime,FontColor,DmType
2fd694ef,2512哈还是,436.03,1610986107,16777215,1
7d9484ce,这个装备的发条伤害为0,35.802,1610986295,16777215,1
e74c3a92,乔杉,24.099,1610986340,16777215,1
11533a96,神仙解说,76.223,1610986414,16777215,1
48083c7c,2512,431.397,1610986560,16777215,1
d2ff9077,听解说还不如自己看越听越乱,116.599,1610986626,16777215,1
686ec7ea,解说不如闭嘴,78.279,1610986644,16777215,1
dc4bd51a,这眼袋,18.388,1610986762,16777215,1
9862feec,伪五杀,174.799,1610984955,16777215,1
fa5fdcef,ad在A眼？,474.57,1610985015,16777215,1
f5996894,这参团率,438.77,1610985217,16777215,1
ee770657,导播经验老道啊,339.953,1610985287,16777215,1
583dba64,好精彩,194.759,1610985401,16777215,1
855e9895,卧槽郑爽鳄鱼玩的好啊,147.899,1610985447,16777215,1
19861438,威武牛壁,23.411,1610984493,16777215,1
1dbc7854,热乎,7.139,1610984521,16777215,1
1dbc7854,热乎,12.705,1610984537,16777215,1
5c0204dd,快啊,4.472,1610984570,16777215,1
57fc3387,我今天生日,14.699,1610984588,16777215,1
e76e7868,来了,9.999,1610984659,16777215,1
dcc27d95,看不起,13.859,1610984687,16777215,1
dcc27d95,看不起谁呢,15.499,1610984704,16777215,1
bf7a6ce2,em，解说的不是很好,74.127,1610984765,16646914,1
e7157828,发条拉夸了几个大了,161.147,1610984858,16777215,1
