Sender,DmContent,AppearTime,SendTime,FontColor,DmType
138f6ae2,所以说结婚后还是尽量自己夫妻住,2366.454,1611050502,16777215,1
4ae44672,东方人把离婚看的太严重了，其实离婚是为了更好的生活,6176.242,1611050525,16777215,1
c14de909,她可不是一半的漂亮啊，无死角的那种,2315.788,1611050553,16777215,1
b241b24,这俩以前还一起拍过mv？,7018.112,1611050712,16777215,1
6a287d10,别人家事观众确实不要批判那么多特别是人身攻击的,2084.179,1611051079,16777215,1
dd85baf1,阿姨没了吗？,1776.759,1611051084,16777215,1
6a287d10,我也觉得烤肉找了老父亲背锅,2096.98,1611051108,16777215,1
b509de2,前提说改变要说到做到,4071.507,1611051138,16777215,1
6a287d10,父亲没有跟夫妻一起住的只是偶尔去一下,2378.196,1611051245,16777215,1
892a537c,真的是个好人只是真的不适合,1550.012,1611051310,16777215,1
c6e4bbfb,哈，这些衣服都是这个姐买的，只是这大叔自己搭的,394.499,1611049660,16777215,1
d847357,比起善不善良，你是先入为主和固执,3398.596,1611049667,16777215,1
d36adc9b,怎么好像空耳听到中文,1726.662,1611049672,16777215,1
7bc64dae,漂亮！,4094.921,1611049677,16777215,1
d36adc9b,是蜡笔小新吗,1726.662,1611049690,16777215,1
cfbdfb9f,反正还要拍那么几期，双方不是也要挣钱吗，最后才知道,4094.62,1611049693,16777215,1
c6e4bbfb,这大叔还真是长发好看,430.064,1611049697,16777215,1
c6e4bbfb,这对夫妻好玩，真的欢喜冤家,442.763,1611049717,16777215,1
6ddb70c5,前面的，就是他们夫妻之间的问题！非要扯东扯西，怪罪这个怪罪那个，孩子和公岳母都可怜。,2992.205,1611049740,16777215,1
c7c6f171,我也觉得，不爱了只剩下责任，这样复婚更累,4325.276,1611049769,16777215,1
cfbdfb9f,看来荷叶也是看了评论啊，清醒了，不知道后面做不做得到！,4117.988,1611049770,16777215,1
d847357,再过段时间再看吧,3505.522,1611049776,16777215,1
c6e4bbfb,这俩真的像个弹幕哈,525.871,1611049815,16777215,1
c6e4bbfb,好喜欢看这种，他们看别人生活，然后评论自己的,548.265,1611049855,16777215,1
f430a72d,看见大叔委屈巴有的想笑哈,1489.619,1611049982,16777215,1
cfbdfb9f,烤肉，别厚颜无耻了，麻烦你,4200.866,1611049983,16777215,1
f430a72d,哇，帅气,1525.211,1611050018,16777215,1
