Sender,DmContent,AppearTime,SendTime,FontColor,DmType
a734cbdb,老师好,13.199,1611052558,16777215,1
2e10e1b9,来了,6.483,1611052601,16777215,1
9ee351c1,这个标题,18.112,1611052613,16777215,1
bef7e6ea,飘过,28.756,1611052629,16777215,1
499227d9,老师好,24.719,1611052630,16777215,1
82051e0e,热乎的，老师好,6.665,1611052635,16777215,1
f556e1d8,老师好,11.424,1611052646,16777215,1
3185efe6,金政委,78.582,1611052662,16777215,1
20bbc607,来了,6.944,1611052662,16777215,1
3f50b19c,热乎的,4.939,1611052683,16777215,1
20bbc607,妙！,54.279,1611052709,16777215,1
8baead25,热乎,4.65,1611052713,16777215,1
1fbdcc6a,日本农协不好搞吧？,190.343,1611052729,16777215,1
d6917947,大佬好,15.474,1611052732,16777215,1
f59fd213,老师好,27.734,1611052763,16777215,1
85433528,秒呀,34.394,1611052764,16777215,1
36b40e1c,laile,4.798,1611052783,16777215,1
6294ae6c,来了,20.284,1611052839,9033215,5
ccef0d6e,老师好,18.174,1611052879,16777215,1
3f240855,热乎,2.074,1611052889,16777215,1
5e7e67be,我是第一个,7.499,1611052895,16777215,1
265fd365,老师好！,36.769,1611052910,16777215,1
20bbc607,没有我印度，不开心,306.908,1611052975,16777215,1
796ab9a5,这得多不开眼的人,89.479,1611053009,15138834,1
dad79568,来了,14.148,1611053016,16777215,1
cd321e69,我楼下的都是猪头,280.561,1611053035,16777215,1
f67ff298,支持,276.531,1611053040,16777215,1
b90bfdb7,来了,41.719,1611053113,16777215,1
ccef0d6e,感觉有道理,268.134,1611053129,16777215,1
