Sender,DmContent,AppearTime,SendTime,FontColor,DmType
47dd5bc,这波秀,2594.417,1610983160,16777215,1
2b2dea25,langx上线了,1499.054,1610983444,16777215,1
58308943,PGod！,1403.065,1610983646,16646914,1
9033dd8,比shy还惨。待遇可以,2229.838,1610983677,16777215,1
d4026f80,小东北有点儿秀啊,2191.97,1610983711,16777215,1
23afe046,吃果盘遇到大哥,1450.707,1610983758,15138834,5
288b1644,杰斯男枪，不想赢,747.817,1610983765,16777215,1
5ed5621c,狼的诱惑,1410.465,1610983803,16777215,1
1573699e,这个男枪非常流畅。,1438.506,1610983845,16777215,1
25b9a082,然而又是一个让一追二,2623.647,1610983883,16777215,1
502c6278,阿米发生甚么事了,2600.778,1610983978,16777215,1
2e0b71ba,吃三发的那个是伞兵,2028.135,1610984041,16777215,1
780590b6,伤害都溢出了，变大也扛不住,1217.949,1610982207,16777215,1
269f905b,好帅啊，这个牛头,2052.834,1610982324,16777215,1
542bfd0f,太惨了吧,2240.758,1610982358,16777215,1
23e77337,好补,1055.333,1610982527,16777215,1
1751da64,狼的诱惑,1505.713,1610982559,16777215,1
30e6ebda,经典痛苦面具,1210.922,1610982583,16777215,1
43d6a4ba,这太明显有人了啊,1344.005,1610982703,16777215,1
3bcc06ed,狼性好惨，走哪都挨打,1017.856,1610982911,16777215,1
32e4954a,这里有眼看见了自己也没自保技能了也不舍得弃掉一塔太弱了,1165.419,1610983114,16777215,1
9dfc8f2f,很扎实，指吃了三发炮弹,2013.676,1610981326,16777215,1
4031c204,grf两员大将,34.858,1610981444,16777215,1
c1abd1d9,有内鬼终止交易,2448.382,1610981500,16777215,1
c6d5b28b,痛苦面具狼行,1202.854,1610981561,16777215,1
9dfc8f2f,迁坟,2131.348,1610981574,16777215,1
b75d0e09,军训,1204.96,1610981653,16777215,1
82b0c676,狼行一个大都没放出来吗,2567.281,1610981895,16777215,1
ba169873,BLG所有天赋都是蓝色的,820.85,1610980499,16777215,1
35f73e38,大心脏呀,1493.153,1610980697,16777215,1
55434bc1,biu炸了,1440.098,1610980724,16777215,1
ae2f3bf0,闪现准备敲纳尔回来,1452.238,1610980788,16777215,1
35f73e38,前方高能,1861.903,1610981050,16777215,1
9ec182b7,冷少离谱,49.787,1610981073,16777215,1
288afcc0,胡言乱语，但是啥呢,2093.958,1610981116,16777215,1
f1309cb4,打野怎么领先了10刀,2501.043,1610981144,16777215,1
2f3772e4,这波男枪估计要上top5了,2582.779,1610981165,16777215,1
e508b128,难得看到巴德,747.354,1610981208,16777215,1
47dd5bc,杰斯闪现啥意思？,1416.272,1610979557,16777215,1
9aca046b,这波杰斯粗了，完全可以炮形态再开w打纳尔,1444.05,1610979707,16777215,1
1f7964b7,狼宝倒了,1211.095,1610979723,16777215,1
f7a5cf80,太惨了,2227.992,1610979724,16777215,1
f7a5cf80,好惨啊，笑出了眼泪,2227.992,1610979743,16777215,1
2371686e,可以投了,2350.285,1610979828,16777215,1
e7f13394,这还捡个净化，无敌,1617.475,1610979858,16777215,1
d4eef22,没用的神,973.154,1610979927,16777215,1
9f87b8bf,太惨了，按在墙上打,2232.069,1610979983,16777215,1
2371686e,血虐了,2618.672,1610980096,16777215,1
883fd64f,纳尔我来自哪里？来做什么？,2364.367,1610980174,16777215,1
dbc527da,这人好老,497.179,1610980176,16777215,1
f7a5cf80,这里卡牌火箭腰带回头点果实有点帅,2400.524,1610980219,16777215,1
2371686e,下面摄像头一直不给朗行哈,1215.98,1610978706,16777215,1
d691ec90,叼神好狠,1329.761,1610978912,16777215,1
2371686e,真以为能杀我啊biu,1516.08,1610979006,16777215,1
35df7bac,我来看v5咋翻的,2326.756,1610979017,16777215,1
74481ade,上路被三人越塔打野不在我怎么去？,1005.765,1610979194,16777215,1
60809e97,狼行放过大没？,2550.497,1610979203,16777215,1
601132fe,好补,1516.134,1610979221,16777215,1
74481ade,上路被三人越塔我能保的住他吗？,1006.618,1610979222,16777215,1
74481ade,打野都没有反蹲到上路,1009.178,1610979248,16777215,1
