Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6ecf3cc4,养生,94.032,1610966005,16777215,1
2a6cc15a,真六点半,17.263,1610966015,16777215,1
84a02d05,真不错,9.51,1610966015,16777215,1
1090b47d,4376,26.652,1610966029,16777215,1
37085144,这是枸杞吗？这也太多了吧,91.586,1610966037,16777215,1
357bc0e9,壕气,48.019,1610966038,16777215,1
4932094,大叔打电话邀请我去他家共进晚餐，提前三个小时过去看能不能搭把手，老总级别回到农村老家弄了自己的房子，田园生活招待以前一起的朋友，一桌美味佳肴，这生活太惬意了,35.921,1610966038,16777215,1
af9bac10,枸杞略多。,88.802,1610966041,16777215,1
b40c5936,徐蹭饭,16.465,1610966051,16777215,1
4932094,大叔打电话邀请我去他家共进晚餐，提前三个小时过去看能不能搭把手，老总级别回到农村老家弄了自己的房子，田园生活招待以前一起的朋友，一桌美味佳肴，这生活太惬意了,0.299,1610966053,16777215,1
4932094,大叔打电话邀请我去他家共进晚餐，提前三个小时过去看能不能搭把手，老总级别回到农村老家弄了自己的房子，田园生活招待以前一起的朋友，一桌美味佳肴，这生活太惬意了,0.299,1610966058,15138834,1
618c535a,真想,70.544,1610966059,16777215,1
fd49541f,热乎的,6.328,1610966062,16777215,1
357bc0e9,热乎着呢,0.419,1610966065,16777215,1
4405a6d2,bgm喜庆,161.17,1610966065,16777215,1
fd49541f,来了四分钟！,15.326,1610966071,16777215,1
2e538ac6,不是吧,19.319,1610966078,16777215,1
cb71fcc4,五分钟，我冲了,9.682,1610966119,16777215,1
ede152f7,还是来的早好，没有乱七八糟的弹幕,118.16,1610966126,15138834,5
73add286,非正常拍摄,93.16,1610966126,16777215,1
618c535a,橘子来俩,124.325,1610966127,16777215,1
63a6a053,没事，一会插的上嘴就行,98.219,1610966130,16777215,1
53d3fd4f,嫂子和小肥羊呢,454.804,1610966135,16777215,1
c963f7c3,。我第一？,240.521,1610966139,16777215,1
94a530e7,4376加油,16.882,1610966141,16777215,1
21540d36,怎么又是蹭饭啊,6.939,1610966152,16777215,1
631bc75a,老板大气,57.964,1610966159,16777215,1
33f2cb00,房子里面再设计一下就好了,124.406,1610966161,16777215,1
46d73cf6,擦呀擦,160.239,1610966173,16777215,1
435d77d4,好漂亮,55.899,1610966180,16777215,1
fccc781d,搞点一方来喝,126.94,1610966185,16777215,1
e0bf28d1,没人？,71.546,1610966186,16777215,1
3e5ac50,锅盖是不是反了,82.514,1610966189,16777215,1
7e1942e7,话都一样,345.209,1610966197,16777215,1
c5726b26,热乎,10.979,1610966204,16777215,1
8582ef2b,热乎,5.238,1610966206,16777215,1
af9bac10,这什么视角。,245.874,1610966214,16777215,1
1181c721,热乎,216.839,1610966219,16777215,1
634f66e7,热乎,19.319,1610966227,16777215,1
df0fdc40,盖子倒了？,74.12,1610966231,16777215,1
37500f08,锅盖反了,67.605,1610966236,16777215,1
3c7cbc1e,七分钟,14.697,1610966242,16777215,1
96368930,太棒了,6.347,1610966244,16777215,1
27b1c91c,自我介绍？,22.245,1610966254,16777215,1
f84f4193,邻居家菜地危,10.138,1610966259,38979,1
9832b03,好家伙，枸杞罐头,80.638,1610966263,15138834,1
65e69026,热乎的,13.099,1610966266,16777215,1
618c535a,得劲,255.78,1610966269,16777215,1
4536e5a0,前排,226.879,1610966270,16777215,1
96368930,崇拜是归崇拜，蹭饭,34.519,1610966272,16777215,1
