Sender,DmContent,AppearTime,SendTime,FontColor,DmType
1612461c,芜湖,24.66,1611055911,16777215,1
fc90fdd,skr,48.015,1611055913,16777215,1
bc6f9e71,火钳刘明,19.134,1611055914,16777215,1
cd6e3d1f,亿汤,71.279,1611055939,16777215,1
a3d05324,烫手,0.359,1611055942,15138834,5
661f38f2,80,59.798,1611055944,16777215,1
1612461c,推车,60.754,1611055947,16777215,1
5cca56f8,两分钟,5.014,1611055954,16777215,1
2486c0d,热乎的一分钟,31.06,1611055958,16777215,1
1612461c,亿点,74.708,1611055961,16777215,1
1612461c,下次一定,99.516,1611055986,16777215,1
661f38f2,冰？,87.002,1611055989,16777215,1
e2c7fa76,我先来,9.648,1611056005,16777215,1
b419b4c3,烫手,14.169,1611056010,16777215,1
bc6f9e71,再来亿遍,104.815,1611056011,16777215,1
3945c5d3,好热乎的,10.279,1611056031,16777215,1
88274461,热乎的,5.832,1611056057,16777215,1
b2fbbace,火钳刘明,14.783,1611056067,16777215,1
1101e650,三分钟还够烫嘴,12.459,1611056073,16777215,1
6bcf62b8,二刷,31.769,1611056079,16777215,1
77c25809,三藏牛,23.261,1611056085,16777215,1
bc2cf7e2,火钳刘明,10.081,1611056091,16777215,1
3444155a,冰提刀路上,84.481,1611056095,16777215,1
2819887d,秀啊,36.727,1611056097,16777215,1
22231b92,热乎,5.161,1611056117,16777215,1
b7778f47,4分钟，还热乎,0.0,1611056121,104601,5
a425a958,好家伙,15.718,1611056127,16777215,1
22231b92,4分钟热乎,11.113,1611056131,16777215,1
8ae463b,热乎的,1.549,1611056131,16646914,5
504061a7,5分钟,23.685,1611056147,16777215,1
2493ce91,五分钟还可以,18.113,1611056159,16777215,1
916a8315,二师兄杀疯了,57.339,1611056160,16777215,1
9e67b7f3,火钳刘明,55.621,1611056190,16777215,1
bb5a4705,日常迫害冰,83.378,1611056194,16777215,1
ec05fe53,六分钟，热乎,26.217,1611056198,16777215,1
73b1fca0,skr,76.27,1611056198,16646914,5
53b20b0c,六分钟,17.46,1611056210,16777215,1
ce5d2407,火钳刘明,40.878,1611056253,16777215,1
25b08ae8,关上五分钟的大门,3.179,1611056258,15138834,4
daa7308f,前排,14.281,1611056285,16777215,1
4ca7ec8f,来了,6.62,1611056286,16777215,1
5886261e,开始吟唱,0.0,1611056290,15138834,5
ce5d2407,这次一定,106.21,1611056318,16777215,1
ce5d2407,这次一定,97.78,1611056327,16777215,1
561d9270,火钳刘明,69.621,1611056345,16777215,1
47f5280a,9分钟,10.561,1611056375,16777215,1
e04a3449,看简介,0.0,1611056389,16777215,1
44da38a0,热乎的,16.179,1611056406,16777215,1
d004dfd8,热乎的,9.088,1611056417,16777215,1
97cd53f1,火钳刘明,6.806,1611056418,16777215,5
de0548a,热乎,12.032,1611056430,16777215,1
97cd53f1,好活当赏,21.69,1611056433,15138834,5
f09ec119,10分钟,12.009,1611056434,16777215,1
80877ace,热乎,22.186,1611056457,16777215,1
d1fb645f,烧嘴,13.271,1611056465,16777215,1
2150e025,老汉,61.074,1611056486,16777215,1
7698e9f6,热乎的,12.52,1611056514,16777215,1
83613ec4,火钳刘明,10.024,1611056530,16777215,1
50a20ff7,热乎,10.873,1611056552,16777215,1
5959d146,热乎,38.853,1611056555,16777215,1
22ce12aa,第一次这么早,10.579,1611056557,16777215,1
7c3e08e2,热乎,8.389,1611056574,16777215,1
4013362e,卧槽,92.979,1611056578,16777215,1
8039f4f9,oh,67.868,1611056579,16777215,1
50be3b44,无中生草,25.208,1611056588,38979,5
8e62ad6,热乎,9.157,1611056592,16777215,1
4013362e,这次一定,101.439,1611056601,9487136,1
4013362e,就押韵亿点,42.254,1611056687,9487136,1
ba2ed435,你这鹰,39.102,1611056693,16777215,1
175578e8,沙僧依旧高能,70.145,1611056696,16777215,5
22c98bdc,头一次这么前真不错,19.191,1611056696,16777215,1
491e900c,十四分钟烫,13.234,1611056715,16777215,1
ba2ed435,你这鹰他正经吗,37.995,1611056723,16707842,5
9800f8c6,15分钟烫,23.341,1611056753,16777215,1
2020459e,烫伤了,10.907,1611056764,16777215,1
7b4964c7,热乎吃,14.294,1611056772,16777215,1
11afc666,恭喜你发现镇站之宝,1.513,1611056803,15138834,5
1ba89721,麻辣烫就离谱哈,78.692,1611056820,16777215,1
2206a408,牛批啊,35.9,1611056826,16777215,1
845f15ba,热乎,11.459,1611056841,38979,5
ffdbf023,恭喜你发现宝藏,4.054,1611056849,41194,1
db85b789,起飞,17.911,1611055840,16777215,1
a5d774c,看到我你就不是第一了,0.239,1611055865,16777215,1
bf05737c,合理,48.619,1611055889,16777215,1
36454594,来了,11.898,1611055890,16777215,1
bc94ef1f,热乎还有点烫手,59.479,1611055906,16777215,1
