Sender,DmContent,AppearTime,SendTime,FontColor,DmType
7d9fbb6f,EDG新打野这就有粉丝了吗,541.569,1611078923,16777215,1
c48d3941,没有用？这解说在说什么啊,1300.526,1611078967,16777215,1
2ee20fea,野门弄锤，V门弄好吧他自己就是用的霞,1082.221,1611079016,16777215,1
91e09967,请收下我的膝盖,1501.135,1611079104,16777215,1
34ff8611,亮点,923.074,1611079212,16777215,1
e93bc26a,159的兄弟在这,975.176,1611079213,16777215,1
34ff8611,20号凌晨两点,925.814,1611079225,16777215,1
4bbbf879,女坦这里做了一圈视野把上半野区都点亮了才排的眼不是没看见,1695.732,1611079227,16777215,1
34ff8611,哈喽,934.194,1611079241,16777215,1
34ff8611,朋友们我先7为敬,936.354,1611079255,16777215,1
7d9fbb6f,今年真幸福喜欢的队伍都活过来了,890.133,1611079285,16777215,1
7625b83b,有人没,967.514,1611079426,16777215,1
2ee20fea,pyl笑不出来,1546.271,1611079737,16777215,1
99399daf,杰斯打剑魔，没单杀就不能算优势，剑魔打团战比杰斯好混多了,1438.125,1611079758,16777215,1
b64ca78a,老干蝶的赞助商好少啊,406.23,1611079766,16777215,1
bddfe63f,能，说明文本是定身，750码非指向性伤害，两者满足一个就能触发,2146.237,1611077940,16777215,1
99857050,圣枪哥终于可以放心的砍了,2487.381,1611077948,16777215,1
ac00f698,主要霞吃cd,2284.113,1611077983,16777215,1
e6eca551,被指到,1170.69,1611078007,16777215,1
5745b10d,有这种队友，怪不得厂长说要复出,2105.0,1611078132,16777215,1
3b34fadc,hope绝对值一个首发位置，但是viper确实太猛了现在,2395.178,1611078179,16777215,1
593dc648,其实这条龙放的没什么问题，男枪打龙的时候中路维克托刚回家,1257.18,1611078223,16777215,5
bfaf0deb,学弟不放r过分了,1926.287,1611078243,16777215,1
593dc648,而且召唤师技能上佐伊双招都在，锤石还多个引燃,1257.18,1611078291,16777215,5
6123c00e,老戴此时应该是欣慰的,2843.788,1611078369,16777215,1
48a91d1,凌晨两点了,931.197,1611078383,16777215,1
b86162bc,有什么问题？你中路没线权下路推不过去你怎么争？,1265.658,1611078390,16777215,1
e30210bc,新英雄的补伤害能力就离谱斑点伤害没有,566.15,1611078435,16777215,1
1df691b0,所有的钱都给ad了,1842.523,1611078537,16777215,1
b13b9208,101,702.476,1611078549,16777215,1
2ee20fea,这解说座位有说法的,64.909,1611078604,16777215,1
7d9fbb6f,主教练在热身,300.926,1611078654,16777215,1
ad469400,男枪发育竟然只比女坦好一点。,2077.711,1611078737,2236962,5
a9c73c83,快两点了，有兄弟吗,959.515,1611078877,16777215,1
e18c4185,一个惩戒，终结了卡莎,1937.342,1611077069,16777215,1
ca35550c,这塔皮不吃离谱啊,1304.42,1611077085,16777215,1
14f94fd4,淀粉只看回放,909.043,1611077172,16777215,1
b300eadf,我擦，我被吓我出来了,2347.757,1611077225,16777215,1
c7e8bb0a,前面的你会爱上咳血战斧一口回半条血的感觉的,1810.327,1611077225,16646914,5
14f94fd4,EDG的第二场。,1013.839,1611077278,16777215,1
