Sender,DmContent,AppearTime,SendTime,FontColor,DmType
c9833052,白发忙内安成民,48.149,1611051400,16707842,5
c9833052,橙发宋亨俊,53.069,1611051417,16707842,5
c9833052,主唱徐宇彬,57.734,1611051448,16707842,5
c9833052,蓝色挑染咸元进,61.954,1611051472,16707842,5
9c634601,具廷谟,42.527,1611051496,16777215,1
c9833052,蓝发金泰英,65.089,1611051507,16707842,5
c9833052,白发安成民,74.609,1611051536,16707842,5
c9833052,黑发队长朴世琳,76.544,1611051559,16707842,5
c9833052,具延谟,84.15,1611051586,16707842,5
c9833052,朴世琳,88.199,1611051601,16707842,5
c9833052,Alen,94.519,1611051616,16707842,5
c9833052,姜珉熙,104.561,1611051651,16707842,5
c9833052,咸元进,109.68,1611051679,16707842,5
c9833052,宋亨俊,115.88,1611051695,16707842,5
c9833052,金泰英,121.2,1611051711,16707842,5
c9833052,具延谟,125.42,1611051719,16707842,5
c9833052,安成民,130.2,1611051734,16707842,5
c9833052,宋亨俊,135.44,1611051745,16707842,5
c9833052,咸元进,147.077,1611051773,16707842,5
c9833052,徐宇彬,166.937,1611051800,16707842,5
c9833052,姜珉熙,172.537,1611051828,16707842,5
c9833052,朴世琳,192.106,1611051882,16707842,5
c9833052,宋亨俊,199.266,1611051896,16707842,5
3cfe7b6a,安！,49.721,1611051027,16777215,1
c9833052,咸元进,4.899,1611051186,16707842,5
c9833052,朴世琳,5.468,1611051237,16707842,5
c9833052,蓝发金泰英,16.788,1611051263,16707842,5
c9833052,黑发朴世琳,21.828,1611051278,16707842,5
c9833052,深蓝Alen,32.688,1611051310,16707842,5
c9833052,姜珉熙,37.509,1611051345,16707842,5
c9833052,具延谟,43.169,1611051382,16707842,5
6aec6456,妈粉流泪！亨俊的part终于多了！,137.099,1611050463,16777215,1
ac7c51e,这个弟是谁,6.037,1611049429,16777215,1
