Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6750f6a0,我说我这个有用,128.779,1611056887,16707842,5
27f720af,抓鸭子也是kep哦,90.082,1611056887,16777215,1
373967b9,听说苏良心中的声音,133.342,1611056889,16777215,1
69cae0b3,兄弟抓鱼却不见了，而村霸在挖地,93.499,1611056890,16777215,1
478ec253,买？,188.593,1611056891,16777215,1
f7e6ea29,挖笋也是kep哦,102.339,1611056892,16777215,1
9ca315da,华农做鸭确实可以,511.785,1611056893,16777215,1
21b40104,演，使劲演,401.212,1611056894,16777215,1
b55b67ab,笑死我了,374.233,1611056894,16777215,1
f15d4181,来了,362.659,1611056895,16777215,1
94de1bb6,哈战术,137.351,1611056895,16777215,1
57443451,好家伙,20.768,1611056895,16777215,1
55a96978,华农做广告太好笑了,408.288,1611056897,16777215,1
4093ab04,全明星阵容,426.879,1611056899,16777215,1
7a1b938,四驱兄弟,376.879,1611056900,16777215,1
e189bf3d,来了,364.777,1611056901,16777215,1
f15d4181,开始了,368.099,1611056902,16777215,1
a59487eb,国产剧,148.3,1611056903,16777215,1
affa014a,好倒霉鸭,66.77,1611056903,16777215,1
acb6dcab,望咩吔，死扑街,210.929,1611056904,14811775,4
c4ac1bc3,要来了,359.862,1611056905,16777215,1
908144,大厨？,358.035,1611056905,16777215,1
77210a4e,华农的广告都太好笑了仿佛学英语老师让我们编对话般生硬,160.66,1611056906,16777215,1
7e3f2c9,已经下载了，孩子说很好吃,420.007,1611056907,16777215,1
75c4eef9,你到底是听谁说的,137.718,1611056908,16777215,1
9d1eba58,摄影小哥唯独你没懂,475.126,1611056908,16646914,5
212aa9f3,标题恐怖,11.999,1611056911,16777215,1
823d8849,又是女妖远征,392.856,1611056911,16777215,1
2ec4ed22,砸吧嘴很严重,471.958,1611056912,16777215,1
572c1eb3,猝不及防,173.625,1611056915,16777215,1
db8d60c1,就哈,21.228,1611056915,16777215,1
59357694,笋呢,281.862,1611056916,16777215,1
8fc6767,来了,370.272,1611056916,16777215,1
7db9bf25,我做鸭子？,38.339,1611056917,16776960,1
2491953b,用兄弟家的食材开局才是精髓,58.117,1611056920,16740868,4
6c0c378d,鸭儿呦,234.467,1611056921,16707842,1
3164e3cb,上当了！评委全是亲属,549.563,1611056922,16777215,1
94de1bb6,战术，阵容。,164.467,1611056922,16777215,1
416b7916,好像接活了,31.83,1611056923,16707842,5
d9761af5,自古以来，贼不走空,28.226,1611056923,16777215,1
7d2c88ff,犹豫了一下,537.8,1611056926,16777215,1
9c6c646d,我就知道,375.635,1611056927,16777215,1
bbba713,玩尬才是硬道理,423.445,1611056927,41194,5
5c01ba00,捞出来的鱼都不带挣扎一下的,213.835,1611056928,16777215,1
e6641bf3,头和爪子先炸一会儿再放肉,241.67,1611056928,16777215,1
d3566261,鸭子，笋，铁锅全是拿兄弟家的,159.523,1611056930,16777215,1
20359ce,王刚蹦迪系列,442.516,1611056932,16777215,1
bd2099d2,羊在笑,211.129,1611056934,16777215,5
affa014a,夺笋啊,89.255,1611056935,16777215,1
97c7426f,头次恁靠前,24.143,1611056936,41194,1
7a680756,众所周知猴王吃饭的时候其他猴子只能看着,507.371,1611056937,16777215,1
fb071ddf,我倒要看这是什么广告,244.403,1611056937,16777215,1
4818c7b3,蛮好的,174.572,1611056938,16777215,1
f15d4181,文化沙漠,400.859,1611056941,16777215,1
8c6d93c,哈，真猛啊,70.269,1611056942,16777215,1
8fc6767,我以为是酸菜的广告，结果是游戏哈,380.459,1611056942,16777215,1
22433374,金龙鱼打钱,238.419,1611056943,16777215,4
373967b9,怎么搞起情景剧来了,185.709,1611056943,16707842,5
d2f07a4b,华农这些套路越来越熟练了,155.518,1611056943,16777215,1
7a653353,甲方裂开了甲方裂开了甲方裂开了甲方裂开了,376.554,1611056946,16777215,1
7c1b7154,来了,371.657,1611056946,16777215,1
71639a42,我说他这个没用，他说有用,124.052,1611056947,38979,5
fb324e27,不爱动,11.444,1611056947,16777215,1
34d6ad49,终于来了！,367.571,1611056948,15138834,1
b2ef1d23,哈有点尬,406.377,1611056948,16777215,1
c4ac1bc3,文化沙漠,403.761,1611056950,16777215,1
ac25fb0b,村霸争夺赛,364.326,1611056950,16777215,1
b49f0aef,你做什么？,37.819,1611056953,16707842,1
c485ac52,半袋,260.531,1611056955,15138834,5
61d4ade5,广告时间,381.306,1611056955,16777215,1
77210a4e,啊哈,205.289,1611056955,16777215,1
7a653353,甲方裂开了甲方裂开了甲方裂开了甲方裂开了,389.005,1611056958,16777215,1
ba2591f1,看到标题我已经开始笑了,0.0,1611056958,16646914,4
95fd939b,抓鸭子也是kep哦,63.705,1611056958,16777215,1
603a478d,兄弟哭了,39.429,1611056959,16777215,1
8a989824,笋子呢？,285.779,1611056959,16777215,1
ca86d582,猝不及防,57.685,1611056960,16777215,1
c4ac1bc3,黑啤201,405.952,1611056961,16777215,1
7c1b7154,我就知道,387.767,1611056962,16777215,1
88134534,蛮王敢抢鸭腿这是他最后一期视屏了,533.355,1611056962,16777215,1
5e678644,不对劲,134.89,1611056963,16777215,1
2223e3cf,铁锅炖阵容,181.867,1611056965,16777215,1
87d7349,做鸭技术高超,517.78,1611056965,16777215,1
7bee0890,看着好多哦,287.179,1611056966,16707842,5
7c1b7154,好不自然哈,394.427,1611056969,16777215,1
eb600735,201,410.342,1611056969,16777215,1
8fc6767,嚯哈,409.344,1611056972,16777215,1
861df91f,h就离谱,29.399,1611056974,16777215,1
61270203,好兄弟,13.481,1611056974,16777215,1
69cae0b3,看到蛮王就莫名想笑，哈,162.959,1611056976,16777215,1
823e6f46,心情不好,2.419,1611056980,52480,5
2b5e1b60,这个照片笑死我了,384.755,1611056980,16777215,1
8f7246fa,夺笋呐,90.679,1611056981,16777215,1
c485ac52,好土鸭,287.521,1611056982,15138834,5
d82044c6,鸭！土豆,286.677,1611056983,16777215,1
7c1b7154,hb,408.364,1611056983,16777215,1
272b3162,剑与远征,11.859,1611056984,16777215,1
b7c9e8e2,硬核广告植入,365.665,1611056989,16777215,1
d990b0a5,笑死我了,374.139,1611056989,16777215,1
1f81d227,夺笋啊,93.146,1611056990,16777215,1
b842e48f,捧读,389.981,1611056992,16777215,1
1fff8181,盲猜赛扫地机器人或者洗碗机的单,45.594,1611056992,16777215,1
f4944d77,全明星阵容,199.819,1611056992,16707842,1
2ac0bee8,华农宇宙全明星阵容,269.396,1611056993,16707842,5
568767ac,借村霸吉言,551.421,1611056994,16777215,1
c485ac52,必胜客,300.328,1611056995,15138834,5
87d7349,内幕,539.284,1611056996,16777215,1
408b8ac7,这也太多了,264.17,1611056997,16777215,1
8238f892,好多人啊,521.339,1611056998,16777215,1
9ad57a7,广告，绝对是广告,366.439,1611056999,16777215,1
39e04590,王刚直呼外行,256.742,1611057000,16777215,5
90789e1d,博弈,415.351,1611057001,16777215,1
c4ac1bc3,好家伙，粉条要泡开了再放阿,430.343,1611057002,16777215,1
30c3a149,开始了,376.153,1611057003,16777215,1
8b14b1d9,大鹅做错了什么,21.204,1611057003,16777215,1
78efa10,来了,381.061,1611057003,16777215,1
ae0c585d,早有预料,369.579,1611057004,16777215,5
498f3a30,好运鸭,36.633,1611057005,16777215,1
be42bc92,到底是什么广告哈,170.979,1611057006,16777215,1
b42e99b8,不对劲,33.835,1611057006,16777215,1
