Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6bb3a0d,卧槽？,110.972,1610909088,16777215,1
9e4e7e68,热乎,23.419,1610907681,16777215,1
89cb6f61,不行,358.425,1610900520,16777215,1
60c55d07,这期有用,361.944,1610898487,16777215,1
7a370b1d,别啊,359.979,1610897531,16777215,1
a6361b56,昆明风评被害,148.899,1610896893,16777215,1
f4231121,好的，学会了，我可以少给两个币吗,343.187,1610895023,16777215,1
22896d02,淦我和别人说话感觉鼻子痒,296.888,1610895417,15138834,5
6f3d800c,卧槽,259.529,1610894763,16777215,1
71736a3b,注意老板脚,69.379,1610892322,16777215,1
f4231121,看不见，根本看不见！,171.07,1610891856,16777215,1
c1d7f164,别啊，,354.181,1610874162,16777215,1
62f84794,转型，没错,357.435,1610874268,16777215,1
ce6c86f9,新概念砍价,10.04,1610874399,16777215,1
146e0b96,他想说的是转型,356.867,1610876237,16777215,1
d4f21772,昆明被cue了,149.179,1610876456,16777215,1
974fb804,软的吧,41.694,1610877016,16777215,1
53278248,我家隔壁,59.82,1610877136,16777215,1
fdc9101d,卧槽,107.076,1610877987,16777215,1
c41d4c27,真的还东张西望,67.659,1610878482,16777215,1
de9f0e89,我记得烟不讲价来着,68.312,1610879358,16777215,1
67e7a276,已经水一半了？,169.103,1610879891,16777215,1
f15ca60e,槟榔？不合适吧,163.005,1610879899,15138834,5
db72942b,没人会做吃亏的生意，说没钱赚你少一丢,267.947,1610880342,16777215,1
5a583a9c,不是应该先给钱再给东西吗,63.099,1610882231,16777215,1
5a583a9c,卧槽,87.459,1610882261,16777215,1
5a583a9c,这商家有必要吗为了一百，难以理解,128.819,1610882320,16777215,1
3a1fcb02,挠头得意的小动作,81.336,1610882621,16777215,1
82d224e5,好的咧,363.074,1610883430,16777215,1
4c8bd402,这个影视剧叫什么名字？,301.818,1610883688,16777215,1
e09131a2,论扫描的重要性,101.699,1610886914,16777215,1
4c07f8c4,舒服了,165.685,1610887896,16777215,1
32046e60,高产,10.641,1610888352,16777215,1
c484da0c,更正是翻译错误,299.835,1610888441,16740868,5
2ac50a59,学到了,344.659,1610889785,16777215,1
2ac50a59,期待,358.295,1610889800,16777215,1
a11dd70d,舒服了,168.291,1610873686,16777215,1
94655799,前面的，这只是up骗弹幕的低俗把戏,7.644,1610872673,16777215,1
94655799,摆拍素材搞微表情吗。,205.812,1610872884,16777215,1
b59b2d91,这摸鼻子,69.767,1610871520,16777215,1
5d6241cf,你好短啊,346.517,1610871567,16776960,1
5d0fe0ab,热乎的,3.975,1610870933,15138834,1
e9dc3e20,哦呜，你这无理的土拨鼠,201.059,1610870998,16777215,1
1506bd9c,看不到表情啊！,59.772,1610870048,16777215,1
d0e7395a,我靠，,145.978,1610868887,16777215,1
d0e7395a,我靠,178.627,1610868919,16777215,1
2ac50a59,来了,7.015,1610869030,16777215,1
2ac50a59,nb,103.199,1610869139,16777215,1
2ac50a59,这都可以看到？,172.021,1610869221,16777215,1
a0d778e5,啊？你是,165.395,1610869265,16777215,1
8723c8bd,标题你管这叫砍价,7.979,1610869326,16777215,1
6013a4e4,昆明人？,149.756,1610869403,16777215,1
b5d15f87,炫的,278.829,1610869495,16777215,1
652e9a9,是我记错了么？好像摸鼻子是男性特有的啊,285.395,1610868679,16777215,1
9e58dd05,软中华60怎么可能真的,296.454,1610866131,16777215,1
52c6591e,纠正一下，这里不是有海绵体，姜正宇老师第一集就说过,301.315,1610866211,15138834,5
b55ac7a9,转行hang二声,349.943,1610866461,16777215,1
a08682ee,我只是单纯的感觉到她瞎说,225.739,1610866475,16777215,1
56a0bfd3,你隔这变魔术那,108.533,1610866632,16777215,1
51933c7b,谁家的摄像头会转头？dogo,249.254,1610866908,16777215,1
8ff4e5c,连钱都敢骗，假个烟很正常,300.591,1610865261,16777215,1
a1166d97,云南哈,160.1,1610865583,16777215,1
a1166d97,哎哥行好,266.712,1610865690,16777215,1
c623776,摸鼻子，撒谎,110.061,1610865795,16777215,1
7d6a306d,我生气了开始,109.722,1610864830,16777215,1
9a925c3b,这要是摆拍能打多少小鲜肉的脸,182.93,1610864970,16777215,1
f7111df1,从另一边就是70了,101.574,1610865031,16777215,1
f7111df1,掉了一张,82.811,1610865067,16777215,1
b44769db,又黑昆明,150.979,1610865192,16777215,1
2826d93b,你不说晨柏，人家根本不会往那方面想，你自己老这样想,3.799,1610863627,16777215,1
ab67d751,舒服了,158.138,1610863725,16777215,1
f4d243fc,？msl,99.23,1610863836,16777215,1
8fc3f7c0,好家伙，烟都还可能是假的,293.233,1610863857,16777215,1
f4d243fc,卧槽。,138.057,1610863884,16777215,1
78797d52,反向砍价,7.569,1610863892,16646914,5
8b60478c,哈大哥有经验的,146.779,1610863924,16777215,1
78797d52,炫的,35.695,1610863932,16740868,5
75fa57d7,6啊,345.093,1610863992,16777215,1
e8b2ca36,好家伙,63.387,1610864104,16777215,1
e8b2ca36,牛逼,99.425,1610864140,16777215,1
62339c48,？这到底是真的还是摆拍我见识太少了,140.35,1610864141,16777215,1
7c4ba287,nuan的哈软的,31.852,1610864256,16777215,1
c3184765,23,144.759,1610864265,16777215,1
44887b6f,牛逼,100.699,1610864302,16777215,1
abd224e9,woc，丢一百块在地上是我没想到的,86.657,1610864312,16777215,1
7c4193e3,先砍一半老板亲切的给了你一条假的,117.587,1610864334,16777215,1
7c4193e3,摆拍的,148.926,1610864366,16777215,1
abd224e9,靠，这我怎么看得到表情啊？,169.797,1610864409,16777215,5
6ab8bb7,我感觉是摆拍啊，这摄像头还在动的吗？,119.32,1610862768,16777215,1
ab8a1c56,砍价,1.813,1610862827,16777215,5
5ef8a01f,woc她故意丢了一百在脚下,82.819,1610862841,16777215,1
bf8024e9,行好吧，给个三连吧doge,256.407,1610862867,16777215,1
989e7c5a,像这种的可以去法院告他了,113.774,1610862875,16777215,1
a9540a0e,怎么支付是人家的自由,318.899,1610863148,16777215,1
8d0c4d9,软中华！,60.974,1610863331,16777215,1
fc2b3c4b,来太早了,15.102,1610861765,16777215,1
bf1dfda1,热乎！,20.26,1610861826,16777215,1
88fc6fa4,地上她踩着呢，黑心商家,104.861,1610861850,16777215,5
17b9a363,掉了张钱,85.455,1610861885,16777215,1
7b2aa35f,热乎的！,12.269,1610861886,16777215,1
48db9da1,热乎,21.969,1610861917,41194,5
17b9a363,钱踩在脚下面了,103.183,1610861921,16777215,1
ac6ef2cf,认为是无色然后呢本文,359.552,1610861981,16777215,1
88fc6fa4,你好短呀,349.668,1610862026,16777215,5
88017bac,对啊，太早了,18.135,1610862035,16777215,1
2d893d0b,这手法老熟练了,87.121,1610862073,16777215,1
4972ed8,牛啊,175.08,1610862191,16777215,1
fe9b43fc,代入了，生气了,112.411,1610862229,16777215,1
289e0120,手机支付它不香吗？,317.611,1610862232,16777215,1
191c4b1d,真实,55.87,1610862521,16777215,1
7e88a9a,马后炮。,182.534,1610862529,16777215,1
191c4b1d,我老爸去买衣服裤子，在地下商场那种一般都是对半砍,57.192,1610862547,16777215,1
469f67cc,这手法相当老练,116.821,1610862615,16777215,1
b9994444,好暖,21.248,1610862639,16777215,1
6ab8bb7,12450,29.812,1610862664,16777215,1
