Sender,DmContent,AppearTime,SendTime,FontColor,DmType
92c847a7,热乎,9.627,1611058680,16777215,1
af580e00,弹幕请发有关crox信息。靴,72.565,1611058692,16777215,1
7bf77cbe,哈，蹲！,483.923,1611058696,16777215,1
92c847a7,我爱董子初,31.122,1611058701,16777215,1
3ef6ddf6,适合我这个懒人！,243.899,1611058704,16777215,1
af580e00,普通版水湿敷超级棒,98.066,1611058718,16777215,1
7bf77cbe,新年快乐！爱你！^3^,488.683,1611058720,16777215,1
9641c0f1,废话少说，就说怎么买吧？,250.9,1611058736,16777215,1
5ca8d9fb,这颜值！,175.692,1611058740,16777215,1
9e8b96a9,我右耳朵聋了？,17.265,1611058746,16777215,1
5fc732b1,我死了我抢不到我知道自己手黑的,275.125,1611058770,16777215,1
1d1fa70e,！爱你,331.936,1611058773,16777215,1
8a9f605,来了,0.384,1611058775,16777215,1
18870c6,我聋了,20.446,1611058805,16777215,1
3ef6ddf6,真善美,321.26,1611058811,16777215,1
58960159,卧槽,171.659,1611058815,16777215,1
76370e53,好方法,124.247,1611058835,16777215,1
5ca8d9fb,这么少,275.161,1611058840,16777215,1
58960159,卧槽,201.319,1611058847,16777215,1
d3189998,省钱？,129.598,1611058869,16777215,1
f1d267cf,我瞎了,166.684,1611058875,16777215,1
9641c0f1,冲！,382.655,1611058876,16777215,1
3ef6ddf6,这人心都黑了啊！闲鱼50多一个,386.0,1611058913,16777215,1
10f5625b,哈No！,11.817,1611058920,16777215,1
57deddbd,21分钟,10.351,1611058936,16777215,1
eb1cfca8,是的你右耳聋了,11.893,1611058955,16777215,1
90cf8105,我右耳龙了,22.518,1611058965,16777215,1
b16bb0cd,指纹收集器有点,99.703,1611058985,16777215,1
76370e53,好买,266.808,1611058988,16777215,1
3ef6ddf6,新年快乐亲爱的,488.8,1611059023,16777215,1
76370e53,不要总绝版了啊,310.608,1611059041,16777215,1
76370e53,囤货不够,320.488,1611059061,16777215,1
9d880d55,心动了！适合我这种懒人！,254.337,1611059085,16777215,1
9c58daf1,好家伙空瓶都得供着,208.446,1611059102,16777215,1
10f5625b,哈像奥特曼变身器！,180.372,1611059112,16777215,1
3ef6ddf6,三连再看已成习惯,17.0,1611059160,16777215,1
