Sender,DmContent,AppearTime,SendTime,FontColor,DmType
1b614fee,男主是憨，男二是中二少年。这两个人的组合太可怕了,518.259,1610897218,16777215,1
c1bf6264,这些偶像长的有些草率了,1282.974,1610897299,16777215,1
e55d130d,太想证明自己了,1299.657,1610897329,16777215,1
1b614fee,男主真的好没团队精神阿,619.619,1610897340,16777215,1
dfea9f43,笑死,1413.649,1610897397,16777215,1
786fe50a,哈完了,1065.314,1610897437,16777215,1
3539c203,这是先行版op，tv正式版op没有黑屏,167.774,1610897466,16777215,1
1b614fee,真为这个世界的日本花滑届担忧，都是一帮鬼才,740.099,1610897492,16777215,1
4a57c201,这脸能戳死我,31.356,1610897513,16777215,1
9fe018f6,男主一根筋真的好吗？,265.042,1610897607,16777215,1
9fe018f6,这男主做事好直率,267.773,1610897632,16777215,1
1b614fee,两个扭曲的白毛厨间,847.519,1610897646,16777215,1
1389ada0,？你们团里面就没一个性格正常的,551.734,1610897802,16777215,1
4a57c201,来击剑吧，一决雌雄,562.012,1610897989,16777215,1
1b614fee,男二被迫从一个中二少年转变成男主的专属保姆。好可怜,1203.399,1610898041,16777215,1
1b614fee,好家伙越来越离谱了,1281.719,1610898133,16777215,1
187a2bb,好家伙,1274.664,1610898151,16777215,1
280bcd2e,男主你又开始了,271.017,1610898336,16777215,1
81cc1829,认真的么,1288.17,1610898347,16777215,1
e32d546e,哈，再低点，分还是太高了,550.81,1610898589,16777215,1
f3184496,？白毛对手也太多了吧,835.519,1610898626,16777215,1
1389ada0,普及教育啊,985.12,1610898649,16777215,1
8a7a175b,？迷惑？,555.938,1610898688,16777215,1
dce9e7db,蛮刺激的啊,140.697,1610898723,16777215,1
3e18cd71,呜soma。我又多了个忍受这番的理由呜,967.383,1610898727,16777215,1
1389ada0,你跳过国标？,1058.411,1610898737,16777215,1
d2821b4e,xswl这两个真的不是正常人思维,306.758,1610898845,16777215,1
3e18cd71,好家伙。天和幻老师玩花滑了。,1291.25,1610898864,16777215,1
d4c211b4,可靠,305.09,1610898907,16777215,1
b9c48161,soma你在干什么啊soma！,1041.852,1610899038,16777215,1
f3184496,？花滑这么容易学吗,1282.107,1610899187,16777215,1
a14f6ec3,日和？！,986.926,1610899233,16777215,1
5b164ffb,怎么感觉突然经费紧缺,286.314,1610899438,16777215,1
8c6c863d,大声密谋jpg,278.523,1610899503,16777215,1
8a5bac00,这个透视。,95.591,1610899566,16777215,1
5b164ffb,这简笔画。,587.028,1610899746,16777215,1
5b164ffb,什么右一是idol我不承认,1271.572,1610900501,16777215,1
8c6c863d,没有泡温泉的画面吗泪,603.382,1610900512,16777215,1
8c6c863d,德云社无端联想,955.357,1610900972,16777215,1
fbd8ccd9,把狗绳牵上吧,292.027,1610901047,16777215,1
c7b55ad0,好上头啊这剧,39.932,1610901241,16777215,1
fbd8ccd9,挑食啊,661.714,1610901416,16777215,1
fbd8ccd9,你们两个哥俩好啊，都是万年老二,788.569,1610901543,16777215,1
b978ebad,爸就是严厉,689.383,1610901548,16777215,1
14533a94,为什么不换便装,81.063,1610901550,16777215,1
14781216,太久没看到这样一个毫无闪光点的男主了,393.122,1610901613,16777215,1
fbd8ccd9,有端联想,965.161,1610901720,16777215,1
fbd8ccd9,踩雷达人,1010.953,1610901766,16777215,1
50f1a1af,soma！,735.663,1610901916,16777215,1
fbd8ccd9,你还拱火,1193.669,1610901946,16777215,1
fbd8ccd9,这个才是真的搞爱豆,1274.898,1610902023,16777215,1
a5489978,好像正式版的没黑屏,161.692,1610902444,16777215,1
1eb3f479,东邦神姬,245.679,1610902530,16777215,1
7dcaa6a7,前面三集看的美人,253.241,1610902680,16777215,5
5bd3f1d,这忍字头上一把刀啊！,1296.166,1610903000,16777215,1
a5489978,筿崎的最大对手人生的巅峰？,867.799,1610903414,16777215,1
b18e4330,啧嘴好玩,60.656,1610903451,16777215,1
a5489978,好乖,1019.189,1610903612,16777215,1
43ee365f,还是打牌去吧,32.968,1610903632,16777215,1
93f848b4,节奏好快,462.919,1610903656,16777215,1
3929155a,除了男主都是常识人,391.066,1610903723,16777215,1
d5b55d06,迷惑,38.994,1610903891,16777215,1
e6102aab,男主好勇啊,54.23,1610904032,16777215,1
53d223c4,离谱,1322.43,1610904043,16777215,1
b18e4330,好耶,696.912,1610904194,16777215,1
62f3524e,噗，啥理由阿,547.718,1610904400,16777215,1
88d575d9,中二,558.085,1610904421,16777215,1
7a2817d2,你哪里都奇怪好吗,517.167,1610904472,16777215,1
b18e4330,出道吧,963.582,1610904482,16777215,1
6bb95a3e,美人份量再这么少的话，这番,1017.482,1610904495,16777215,1
e6102aab,整点阳间剧情吧,562.935,1610904502,16777215,1
b18e4330,这什么特效！,1052.112,1610904582,16777215,1
88d575d9,老二？,774.514,1610904703,16777215,1
b18e4330,你别啊,1190.582,1610904764,16777215,1
1ed7c93c,刺激,6.737,1610904869,16777215,1
88d575d9,太草了,1061.421,1610904988,16777215,1
e6102aab,救命啊，这是在干什么！,1304.76,1610905094,16646914,1
88d575d9,好家伙,1284.081,1610905183,16777215,1
bb14aac,训得漂亮,376.669,1610905330,16777215,1
d5b55d06,到现在居然还认不清人物罚你们反回去看前面三集,247.165,1610905444,16777215,1
bb14aac,终于找到你了,1015.595,1610905593,16777215,1
b6450829,刺激,0.479,1610905645,16707842,5
6a763bfc,啊这,577.22,1610905974,16777215,1
12ffe7de,低开高走,11.882,1610906105,16777215,1
12ffe7de,好听,102.282,1610906199,16777215,1
d5b55d06,喜剧实锤,1101.437,1610906429,16777215,1
12ffe7de,没一个正常人,557.738,1610906588,16777215,1
d7de343b,噗soma你开心就好,794.897,1610906621,16777215,1
12ffe7de,贤妻良母,652.018,1610906686,16777215,1
12ffe7de,可怜哈,868.017,1610906911,16777215,1
d7de343b,soma你配了个啥呀,1054.991,1610906923,15138834,1
12ffe7de,爱了,1055.298,1610907108,16777215,1
2c8b5de6,这教练也太悠闲了,218.236,1610907121,15138834,5
12ffe7de,你又开始了,1198.698,1610907257,16777215,1
2c8b5de6,流石井我可是反派！,309.274,1610907262,15138834,5
12ffe7de,好耶,1264.298,1610907326,16777215,1
2c8b5de6,淡定点不行吗。像个暴躁老哥,374.914,1610907343,15138834,5
12ffe7de,欧巴,1291.418,1610907372,16777215,1
2c8b5de6,哈很正常啊,514.146,1610907533,16707842,5
2c8b5de6,很迷惑的逻辑,553.666,1610907595,9487136,5
c4862676,裂开,1315.708,1610907723,16777215,1
50e024a,哇，真的成偶像花滑了呢,1260.956,1610907995,16777215,1
2c8b5de6,这画面氛围哈太gay了,1052.365,1610908220,41194,5
2c8b5de6,哈看来男主角被动吃瘪了,1057.524,1610908238,41194,5
2c8b5de6,纯靠脑补。佛了,1083.364,1610908275,41194,5
2c8b5de6,又飘了哈,1232.773,1610908486,16707842,5
2c8b5de6,果然是偶像番。,1272.412,1610908558,16707842,5
2c8b5de6,这都行？没有学过的？,1280.432,1610908576,16707842,5
c970c092,筿崎好忙啊,854.282,1610909611,16777215,1
dfcd0dbc,pt,1055.064,1610910051,16777215,1
dfcd0dbc,滑的6啊,1071.664,1610910080,16777215,1
4561c7df,不要男妈,106.84,1610912710,16777215,1
ca3b8290,一直都是自己只不过是人的好胜心作祟,553.594,1610912756,16777215,1
4561c7df,你怎么老豹枣,414.733,1610913017,16777215,1
4561c7df,你又开始了虹猫,478.584,1610913081,16777215,1
4561c7df,一直啊,518.855,1610913122,16777215,1
4561c7df,这就几天后了,708.758,1610913311,16777215,1
4561c7df,你也是,953.026,1610913556,16777215,1
4561c7df,笑死,1043.811,1610913647,16777215,1
1b21a1f9,挑食也太可爱了吧,659.895,1610913779,16777215,1
4561c7df,你又开始了,1206.363,1610913809,16777215,1
4561c7df,男团,1283.972,1610913887,16777215,1
1b21a1f9,笑死了还在跳,915.095,1610914065,16777215,1
1b21a1f9,好家伙太生草了哈,1294.357,1610914496,16777215,1
f965fa4b,我可以,1417.063,1610918230,16777215,1
2fc72ae2,这男主也太没礼貌了吧,260.394,1610920372,16777215,1
2fc72ae2,认真的吗，真当花滑随便学就会啊,1293.355,1610921289,16777215,1
1b614fee,男主是憨，男二是中二少年。这两个人的组合太可怕了,518.259,1610897218,16777215,1
c1bf6264,这些偶像长的有些草率了,1282.974,1610897299,16777215,1
e55d130d,太想证明自己了,1299.657,1610897329,16777215,1
1b614fee,男主真的好没团队精神阿,619.619,1610897340,16777215,1
dfea9f43,笑死,1413.649,1610897397,16777215,1
786fe50a,哈完了,1065.314,1610897437,16777215,1
3539c203,这是先行版op，tv正式版op没有黑屏,167.774,1610897466,16777215,1
1b614fee,真为这个世界的日本花滑届担忧，都是一帮鬼才,740.099,1610897492,16777215,1
4a57c201,这脸能戳死我,31.356,1610897513,16777215,1
9fe018f6,男主一根筋真的好吗？,265.042,1610897607,16777215,1
9fe018f6,这男主做事好直率,267.773,1610897632,16777215,1
1b614fee,两个扭曲的白毛厨间,847.519,1610897646,16777215,1
1389ada0,？你们团里面就没一个性格正常的,551.734,1610897802,16777215,1
4a57c201,来击剑吧，一决雌雄,562.012,1610897989,16777215,1
1b614fee,男二被迫从一个中二少年转变成男主的专属保姆。好可怜,1203.399,1610898041,16777215,1
1b614fee,好家伙越来越离谱了,1281.719,1610898133,16777215,1
187a2bb,好家伙,1274.664,1610898151,16777215,1
280bcd2e,男主你又开始了,271.017,1610898336,16777215,1
81cc1829,认真的么,1288.17,1610898347,16777215,1
e32d546e,哈，再低点，分还是太高了,550.81,1610898589,16777215,1
f3184496,？白毛对手也太多了吧,835.519,1610898626,16777215,1
1389ada0,普及教育啊,985.12,1610898649,16777215,1
8a7a175b,？迷惑？,555.938,1610898688,16777215,1
dce9e7db,蛮刺激的啊,140.697,1610898723,16777215,1
3e18cd71,呜soma。我又多了个忍受这番的理由呜,967.383,1610898727,16777215,1
1389ada0,你跳过国标？,1058.411,1610898737,16777215,1
d2821b4e,xswl这两个真的不是正常人思维,306.758,1610898845,16777215,1
3e18cd71,好家伙。天和幻老师玩花滑了。,1291.25,1610898864,16777215,1
d4c211b4,可靠,305.09,1610898907,16777215,1
b9c48161,soma你在干什么啊soma！,1041.852,1610899038,16777215,1
f3184496,？花滑这么容易学吗,1282.107,1610899187,16777215,1
a14f6ec3,日和？！,986.926,1610899233,16777215,1
5b164ffb,怎么感觉突然经费紧缺,286.314,1610899438,16777215,1
8c6c863d,大声密谋jpg,278.523,1610899503,16777215,1
8a5bac00,这个透视。,95.591,1610899566,16777215,1
5b164ffb,这简笔画。,587.028,1610899746,16777215,1
5b164ffb,什么右一是idol我不承认,1271.572,1610900501,16777215,1
8c6c863d,没有泡温泉的画面吗泪,603.382,1610900512,16777215,1
8c6c863d,德云社无端联想,955.357,1610900972,16777215,1
fbd8ccd9,把狗绳牵上吧,292.027,1610901047,16777215,1
c7b55ad0,好上头啊这剧,39.932,1610901241,16777215,1
fbd8ccd9,挑食啊,661.714,1610901416,16777215,1
fbd8ccd9,你们两个哥俩好啊，都是万年老二,788.569,1610901543,16777215,1
b978ebad,爸就是严厉,689.383,1610901548,16777215,1
14533a94,为什么不换便装,81.063,1610901550,16777215,1
14781216,太久没看到这样一个毫无闪光点的男主了,393.122,1610901613,16777215,1
fbd8ccd9,有端联想,965.161,1610901720,16777215,1
fbd8ccd9,踩雷达人,1010.953,1610901766,16777215,1
50f1a1af,soma！,735.663,1610901916,16777215,1
fbd8ccd9,你还拱火,1193.669,1610901946,16777215,1
fbd8ccd9,这个才是真的搞爱豆,1274.898,1610902023,16777215,1
a5489978,好像正式版的没黑屏,161.692,1610902444,16777215,1
1eb3f479,东邦神姬,245.679,1610902530,16777215,1
7dcaa6a7,前面三集看的美人,253.241,1610902680,16777215,5
5bd3f1d,这忍字头上一把刀啊！,1296.166,1610903000,16777215,1
a5489978,筿崎的最大对手人生的巅峰？,867.799,1610903414,16777215,1
b18e4330,啧嘴好玩,60.656,1610903451,16777215,1
a5489978,好乖,1019.189,1610903612,16777215,1
43ee365f,还是打牌去吧,32.968,1610903632,16777215,1
