Sender,DmContent,AppearTime,SendTime,FontColor,DmType
1d1b7dc8,哎有出息啊,2.979,1611057133,16777215,1
3bc2a7b1,0播放？,0.0,1611057139,16777215,1
df097a1e,呜呼,5.397,1611057141,16777215,1
8c308bf,heihie,4.039,1611057141,16777215,1
6433d5ed,刚！,6.198,1611057144,16777215,1
ee1ca760,我第一,3.539,1611057145,16777215,1
79982b34,第一名是我,7.784,1611057149,16777215,1
1d1b7dc8,跳到最后当做我看完了,535.739,1611057152,16777215,5
bf3009c0,WC,8.589,1611057157,16777215,1
2ea0d469,第一个看完,551.125,1611057158,16777215,1
bfb39aa,来了,7.38,1611057160,16777215,1
c0052af7,红火恍惚,9.059,1611057162,16777215,1
91c99609,10,8.496,1611057165,16777215,1
5b6a6df6,wc，出息了,23.033,1611057165,16777215,1
c22cd5e9,妈啊，孩子第一了,2.136,1611057166,16777215,1
bfb39aa,来了,9.66,1611057168,15138834,5
94322c0d,热乎的大仙,0.7,1611057169,16777215,1
933cfcdf,刚，我出息了,8.722,1611057169,16777215,1
6433d5ed,刚！,21.388,1611057170,16777215,1
ca47460f,QAQ画质感人,25.079,1611057174,16777215,1
200edf90,热乎的,8.019,1611057174,16707842,1
e4c08fe7,行，一千之前,21.102,1611057176,16777215,1
c0052af7,来了,10.219,1611057176,16777215,1
f68e6503,来了,32.711,1611057177,16777215,1
29fe6be5,第一次前排，好耶,12.099,1611057178,16777215,1
f09b4fb8,热乎,24.439,1611057180,16777215,1
21ec74ac,第一次这么早哇,7.142,1611057180,16777215,1
50ef38d1,热乎,10.179,1611057181,16777215,1
4cbcf3bc,18,10.862,1611057182,16777215,1
c9d92cbf,热乎,24.697,1611057182,16777215,1
98e17064,我靠，第一次这么早！,7.441,1611057183,16777215,1
4d13ed34,热乎，第一,2.019,1611057183,16777215,1
317f52,出息了,11.406,1611057184,16777215,1
1d1b7dc8,关于我的哔站有房这件事,16.075,1611057186,16777215,5
735eabcc,第一次,13.228,1611057188,16777215,1
9bfd2a54,来了,10.297,1611057190,16777215,1
647cd24c,一观看，12评论。,3.663,1611057191,16777215,1
2e6a9b94,1播放30弹幕,0.0,1611057198,16777215,1
8ac6452d,出息了,9.219,1611057203,16777215,1
c731f52c,刚！在的好兄弟发个1，我0doge,7.679,1611057204,16777215,1
a224c97d,更废了,51.459,1611057209,16777215,1
1d5daaa,热乎,17.567,1611057211,16777215,1
650e0d2a,密麻吗我出息了,25.327,1611057214,16777215,1
fedc2088,第一次,10.908,1611057215,16777215,1
71a6555d,热乎,11.159,1611057216,16777215,1
1dbd4420,1分钟,4.66,1611057217,16777215,1
c440b286,nice,7.112,1611057217,16777215,1
7da66b70,1播放,0.619,1611057219,15138834,5
c98fbdb2,前排呀,13.98,1611057222,15138834,1
fd8825f3,买房了！,13.278,1611057222,16777215,1
d09fa73e,好早,16.239,1611057223,16777215,1
cc951e8d,芜湖,3.482,1611057223,16777215,1
44e7bfef,妈呀我抢到了,9.073,1611057223,16777215,1
17a8bf43,出息了,0.0,1611057224,16777215,1
6be9392e,1分钟,3.882,1611057224,16777215,1
1d5daaa,有人吗,36.533,1611057230,16777215,1
2149687,第29个三连！,12.619,1611057235,16777215,1
e9d07c42,一次只能负载一人,51.339,1611057238,16777215,1
5cf86ae2,这么快的吗,16.599,1611057239,16777215,1
187c64ac,热乎,0.0,1611057242,16777215,1
911965ab,1272,7.199,1611057243,16777215,1
650e0d2a,防止团灭,58.827,1611057248,16777215,1
dde1a3b3,关上一分钟大门,24.286,1611057250,16777215,1
31daaa0f,好早,36.259,1611057250,16777215,1
1133644d,热乎,7.939,1611057252,16777215,1
c555a2c1,一分钟,8.819,1611057252,16777215,1
c7a43f4d,一分钟！,33.03,1611057254,16777215,1
d014c898,1272的大门,5.539,1611057258,16777215,1
a0811ba,两分钟！,3.179,1611057260,16777215,1
187c64ac,121,15.305,1611057261,16777215,1
ad2b364a,一分钟芜湖,3.028,1611057261,16776960,1
c873d903,2分钟！,0.0,1611057270,15138834,1
3e073736,出息了,14.12,1611057271,16777215,1
2c750c5,热的,10.603,1611057272,16777215,1
dcd9d1df,热乎,5.465,1611057272,16777215,1
72ea6c90,2分钟！,9.382,1611057283,16777215,1
62b05478,关上一千的大门,5.339,1611057285,16777215,1
ab3b1e4,k头细节,106.399,1611057287,16777215,1
f68e6503,马超打夏洛特真的难受,120.405,1611057287,16777215,1
471968df,一个送,52.199,1611057289,16777215,5
13214bd3,1272,15.096,1611057294,16777215,1
56f54a6f,2分钟,4.97,1611057298,16777215,1
24c9c49b,热乎,8.762,1611057302,16777215,1
1ce40de4,两分钟，热乎,0.203,1611057306,16646914,1
471968df,一个送,38.235,1611057308,16777215,5
f68df033,两分钟，妈我出息啦！,14.397,1611057312,41194,1
80337458,看到我你就是2649之前了！,3.34,1611057313,15138834,5
ad933a15,热乎,62.597,1611057314,16777215,1
fc92835a,噜啦嘞,14.512,1611057314,16777215,1
df75efb6,你们是住在哔站吗？,125.579,1611057319,16777215,1
b18fa95e,关上30大门,24.413,1611057322,16777215,1
71886802,三分钟,11.646,1611057326,16777215,1
6b8fa7b3,三分钟，哇哈,3.259,1611057327,16777215,1
a18711b4,韩信,159.675,1611057327,16777215,1
8a2929cc,我最快！,10.381,1611057328,16777215,1
f2786ce8,沙发,233.847,1611057330,16777215,1
ca3782da,合不出来,183.819,1611057330,16777215,1
cc498ca0,三分钟热乎,20.575,1611057331,16777215,1
bb07400,这次好早,27.032,1611057334,16777215,1
e0a1f068,三分钟,8.302,1611057334,16777215,1
1eb23acd,3！,7.279,1611057335,16777215,1
fa669050,一般,109.295,1611057341,16777215,1
8605c0c9,来了第一,26.779,1611057347,16777215,1
51ebeae3,热乎,0.759,1611057347,16777215,1
471968df,一分钟热乎,2.599,1611057348,16777215,5
78e72bcb,妈我出息了！,4.619,1611057349,16777215,1
94e69245,3分钟热乎,8.668,1611057349,16777215,1
efd15264,3分钟,7.38,1611057351,16777215,1
a61aa88,三分钟,4.119,1611057352,16777215,1
fd242aa7,恭喜发财,142.759,1611057352,15138834,1
b0984393,专百,374.078,1611057353,15138834,5
d531cceb,元歌怎么敢的,144.163,1611057355,15138834,5
1a2c93da,3分钟,16.029,1611057357,16777215,1
31483b70,我靠哈,17.707,1611057357,16777215,1
