Sender,DmContent,AppearTime,SendTime,FontColor,DmType
dcdcb9bb,姑娘，妈没让你放葱,76.481,1610975829,16777215,1
65ac1b3b,你这是荆州了吧,109.045,1610975848,16777215,1
f240b245,这是阿姨在说普通话，挺可爱的,77.473,1610976180,16777215,1
b1194a0c,不是黄冈的,57.662,1610976681,16777215,1
56dabf2f,湖北和安庆本就是一衣带水的友邻,146.579,1610975195,16777215,1
4d8ab17b,武汉人表示没听出来这是湖北哪里的方言,50.612,1610975254,16777215,1
d252c78e,和劳资,28.559,1610975504,16777215,1
2a2bfa56,武汉普通话,62.031,1610975547,16777215,1
a26c9959,老乡好,146.082,1610975554,16777215,1
72c5946c,湖北人lei了，经常喝，我妈也喜欢这个,11.155,1610975564,16777215,1
2a2bfa56,听得出来阿姨想讲普通话哈,85.031,1610975570,16777215,1
d252c78e,个板，乐好喝,146.671,1610975640,16777215,1
dd36e10f,泪目了，想妈,150.334,1610974408,16777215,1
f3789708,吊子，讲究,21.342,1610973211,16777215,1
3a20d3fd,这个七我们安庆人也是这么说的,137.102,1610973624,16777215,1
8626a93e,啊我也想,10.38,1610973853,16777215,1
40bcfb81,我湖北的，从小吃到大,65.779,1610973866,16777215,1
