Sender,DmContent,AppearTime,SendTime,FontColor,DmType
9b8fa37,太顶了,143.855,1610965186,16777215,1
8e622964,两个司机也很牛,69.714,1610965329,16777215,1
a6a2c028,wdf？,48.193,1610965352,16777215,1
a6a2c028,这人是过来秀劈叉的吗,58.934,1610965363,16777215,1
bde6ad8a,啊全是老牌猛男,107.709,1610965438,16777215,1
b06685ae,拉轰,36.632,1610965498,16777215,1
8e622964,？！这么狠,263.783,1610965614,16777215,1
1343f63,尚格云顿这个广告很有名啊怎么扯淡了,68.977,1610965641,16707842,5
9da577ca,这个我觉得假了，手不可能举起来的,251.694,1610965922,16777215,1
2055d6d2,哈翻轮胎,125.753,1610965977,16777215,1
318df505,倒退应该是以防万一吧,68.32,1610964439,16777215,1
318df505,不会把石子卷起来吗,265.5,1610964665,16777215,1
b9fbd706,好家伙，还是倒退,62.027,1610963462,16777215,1
aba32005,这也太拼命了吧,260.832,1610963704,16777215,1
8dcbbf15,别跨太大，容易扯着蛋,61.64,1610963739,16777215,1
7de957ba,这也太扯淡了吧,62.66,1610964054,16777215,1
