Sender,DmContent,AppearTime,SendTime,FontColor,DmType
a252cf62,86下山，奔驰上树,51.569,1610900480,16777215,1
3f20eff8,ae86上山了,25.97,1610906030,16777215,1
31b4385d,6的,55.228,1610907717,16777215,1
adc5d290,不挤卡没灵魂,132.039,1610908092,16777215,1
a252cf62,86下山，奔驰上树,51.569,1610900480,16777215,1
3f20eff8,ae86上山了,25.97,1610906030,16777215,1
31b4385d,6的,55.228,1610907717,16777215,1
adc5d290,不挤卡没灵魂,132.039,1610908092,16777215,1
f1776374,3分钟,68.447,1610899832,16777215,1
3c4f8941,我是第一！,13.372,1610899854,16777215,1
56a66cdf,经典,65.403,1610899904,16777215,1
