Sender,DmContent,AppearTime,SendTime,FontColor,DmType
5a032de9,谢了,358.579,1610995347,16777215,1
f6203774,lks表示？,301.708,1610994550,16777215,1
11d5c991,坚持,46.458,1610994977,16777215,1
814f6053,刻意看b站视频吧,112.559,1610992642,16777215,1
31801c6b,内卷,49.149,1610992702,16777215,1
fb018ac6,懂了要积累的我就一咸鱼告辞滑稽,107.139,1610990574,16777215,1
fb018ac6,我觉得我上不去纯粹是鸽太久,159.539,1610990657,16777215,1
2ca62989,干饭,110.311,1610991291,16777215,1
84947f46,啥都妹有是的我不配火,110.099,1610990077,8700107,5
84947f46,千粉才陷入绝望吗？那我连陷入绝望都不配,155.865,1610990181,8700107,5
5ef3ea20,引导呢？,212.394,1610990270,16707842,1
7e70cabe,达克效应！,141.208,1610990303,16777215,1
8777b54c,里边这件好看,54.566,1610988699,16777215,1
e2f7c562,算法我也是这么想的。doge,258.539,1610988708,16765698,5
84dc7bd7,刷题,119.097,1610987828,16777215,1
c27366c1,还有人记得b站有个叫非桥段的up主吗？,350.13,1610987950,15138834,5
84dc7bd7,那为什么不入侵b站服务器看算法,280.35,1610987989,16777215,1
278363e6,何同学排面狗头,335.498,1610988144,8700107,5
86b3b744,马老师,240.887,1610988305,16777215,1
e4e253b9,前面梯度下降的别走,261.503,1610988436,16777215,1
650a5966,何同学咕，谁叫我？,343.162,1610988507,16777215,1
9cee2dfe,写文案,123.648,1610986993,16777215,1
980102e,莫非我是评论区up,109.311,1610987124,16777215,1
639fe974,长得好看,50.036,1610987207,16777215,1
2653338e,小何？,352.864,1610987443,16777215,1
e5340c77,原来也有朋友想到了lks哈,296.254,1610987453,16777215,1
511a2c0d,bgmThedesalizes,349.075,1610985885,16777215,1
2762ffa0,不愧是李健,96.691,1610986003,16777215,1
e7c231ce,我就是个干饭特别厉害,136.653,1610986158,16777215,1
73aab5b7,lks强的是整合能力，这也是长板,301.972,1610986206,16777215,1
6e1b1c58,我哥真的确实说过,76.676,1610986392,16777215,1
9a1830f3,张小白？,377.379,1610986621,16777215,1
c2f8a959,强化学习,271.711,1610986642,16777215,1
ec24965a,求此处BGM！,353.133,1610986669,16777215,1
c6d26960,敏慈不老,238.009,1610984971,16777215,1
c6d26960,此处敏慈不老,238.009,1610984989,15138834,5
da1fdfa2,何同学,340.372,1610985114,16777215,1
136b4b8e,LKs算什么h,291.817,1610985145,16777215,1
563fa3e3,走了,302.595,1610985183,16777215,1
5ef259f9,小姐蛮漂亮的,35.793,1610985363,16777215,1
