Sender,DmContent,AppearTime,SendTime,FontColor,DmType
86b387d4,好耶,27.862,1611046121,16777215,1
5dcdf23d,声音太轻了,9.432,1611046514,16777215,1
de92f65a,老婆,17.979,1611046618,16777215,1
c927a72a,miku,51.127,1611046767,38979,1
c927a72a,爱了,76.759,1611046803,38979,1
c927a72a,太可爱了吧,133.659,1611046871,38979,1
c927a72a,住口，安徒生,176.159,1611046923,38979,1
c6b8c414,这次的头发有点葱丝儿那味儿了,87.352,1611046946,16777215,1
cf48d567,好耶！,29.212,1611045419,16777215,1
cf48d567,这衣服好可爱啊,60.334,1611045450,16777215,1
5868d114,这个miku太好看了这衣服好可爱啊,182.645,1611045706,16777215,1
c0ffa91b,进度条520,0.179,1611045726,16777215,1
bce4b747,有点怕拖鞋会掉,168.759,1611045742,16777215,1
6ccf7c6f,太好了,12.189,1611044533,16777215,1
7da32d11,抢第一,10.312,1611044555,16777215,1
a6a55c42,你们为什么一直盯着我老婆,4.543,1611044599,9033215,5
f3ecc892,针不戳,20.979,1611044668,38979,1
d207cbfc,爱你,92.86,1611044802,16777215,1
c61fdd3a,只穿一条腿的袜可以,47.438,1611044817,16777215,1
677b61ed,来看我老婆,0.279,1611044873,38979,5
bb81a556,来了啦,17.421,1611044986,16777215,1
22bc5443,MEIKO！,213.991,1611045095,15138834,1
f32ccd44,awsl,36.272,1611045134,16777215,1
f32ccd44,卡哇伊,45.678,1611045144,16777215,1
f32ccd44,这个miku太好康了,71.827,1611045170,16777215,1
