Sender,DmContent,AppearTime,SendTime,FontColor,DmType
e8a97d00,这都结束了我都以为我没开弹幕,797.698,1610868778,16777215,1
7a301b85,安全裤改了？,144.779,1610867567,16777215,1
9fd8e0d1,哈疯狂a塔,750.114,1610867728,16777215,1
2f05b159,杨玉环os恐怖游戏,426.089,1610866704,16777215,1
ebe049f8,嗨哥nb,758.77,1610865838,16777215,1
35470f9a,来了老弟,6.974,1610865865,16777215,1
7d3320ef,来啦,4.267,1610865102,16777215,1
631cd895,极限,276.916,1610865103,16777215,1
7d3320ef,来啦,10.502,1610865108,16777215,1
7d3320ef,helo,44.305,1610865142,16777215,1
7d3320ef,加油,61.396,1610865159,16777215,1
7d3320ef,BGM是啥呀,82.683,1610865181,16777215,1
886d424a,这个阿狸是谁呀好可爱,301.594,1610865182,16777215,1
b0d37a60,一楼是职业,30.751,1610864248,16777215,1
d69f82b4,哈射手来拿红,253.608,1610862296,10546688,1
6188bc75,头要铁，胆要肥，不虚火,275.751,1610862309,16777215,1
2d3fef33,好混啊,787.039,1610861049,16777215,1
bcd5731b,梦岚,552.691,1610861631,16777215,1
b12a0c9b,这治愈一切的声音,95.427,1610860453,16777215,1
c5360bb9,卧槽发育路90段,48.388,1610859753,16777215,1
923db0b3,热乎,3.9,1610859934,16777215,1
