Sender,DmContent,AppearTime,SendTime,FontColor,DmType
5edc7ca5,网易？,35.839,1611066100,16777215,1
7543df12,无了,31.139,1611066110,16777215,1
878d9254,坏起来了,30.014,1611066117,16777215,1
11deeaf2,猪场就算了,47.154,1611066128,16777215,1
65d2dd1d,淀粉狂喜,9.92,1611066136,16777215,1
f8be0350,黑暗降临,26.456,1611066151,16777215,1
84095069,完蛋,33.885,1611066167,16777215,1
cfab36e2,网易！,40.619,1611066204,16777215,1
a5f47532,？网易？,30.919,1611066216,16777215,1
c49d2889,完了,27.41,1611066218,16777215,1
635fb173,完蛋了,39.333,1611066238,16777215,1
936351e3,这些人全是看路易的酒的嫉妒的狗,121.831,1611066246,16777215,1
371f22ba,热乎,18.345,1611066280,16777215,1
4a76cce,十连抽细菌？保底是什么？,33.139,1611066305,41194,5
237c6e98,网易必出移动版游戏,51.237,1611066307,16777215,1
b499a6d3,两极反转,28.128,1611066311,16777215,1
2e4e6c90,我去这封面。冲了,9.446,1611066343,16777215,1
f70e4585,还有就是亚服太少了，排队等半天,74.823,1611066344,16777215,1
6b9383d2,网易，呵,36.399,1611066355,16777215,1
2edf2a4e,毛骨悚然,220.777,1611066355,16777215,1
94b6f62b,完蛋了要,29.72,1611066365,16646914,5
dc704828,完了,30.098,1611066372,16777215,1
fac17bad,无了,42.39,1611066386,16777215,1
7ee09e2a,这个是真的难受，好多人把这当战地玩了,77.879,1611066386,16777215,1
6c1ca362,肯定是抽卡塔防游戏,34.979,1611066410,15138834,5
2d47babc,我今天才注意到，奶茶这么大的么,38.702,1611066423,16777215,1
586f9d9,网易拉闸,57.784,1611066425,16777215,1
11587f23,完了,29.619,1611066445,16777215,1
9aee2261,真的没了,103.582,1611066445,16777215,1
6c1ca362,芜湖，steam狂喜,67.659,1611066454,41194,5
d123b93a,凉练,31.339,1611066475,16707842,5
b3b16a1d,完了,32.959,1611066477,16777215,1
7969cfcb,完蛋,33.026,1611066486,16777215,1
15addee8,那没事了,30.595,1611066508,16777215,1
