Sender,DmContent,AppearTime,SendTime,FontColor,DmType
f965baac,大门三妹一直摸鱼,1619.29,1611077923,16777215,1
81bd19ff,平民伤亡1,940.06,1611077927,16777215,1
ea838108,五速无头怪,845.223,1611077937,16777215,1
6ce0b787,惊了,7.172,1611077939,16777215,1
a015c7e,手雷不行吗？,507.489,1611077940,16777215,1
795d376b,点名枪毙吧你是,4062.909,1611077942,16777215,5
81bd19ff,RESTART上面的3个好像就能replay,954.223,1611077957,16777215,1
6fbf543a,惊了,12.628,1611077959,16777215,1
7f0909af,大弟,176.071,1611077969,16777215,1
77de1ab9,两个大残还要去缴枪,2976.694,1611077976,16777215,1
e296bcbe,老菊不会忘了要救人质吧,1197.639,1611077992,16777215,1
ffa6415c,IED,1402.734,1611077999,16777215,5
8a0d776e,好！,1256.746,1611078002,16777215,1
e9f5b800,老大哥！,44.82,1611078011,16777215,1
cbccf519,心跳,219.241,1611078020,16777215,1
8c2d79f2,大哥长官你到底让我看哪,372.244,1611078020,16777215,1
2e375099,芜湖！爱了！,6.495,1611078028,16777215,1
cb9fcd0d,惊了,6.029,1611078036,16777215,1
24089a40,惊了,11.339,1611078036,16777215,1
f69fb56d,挺美的,1269.771,1611078037,16707842,1
37c4e9f0,老实走大路，把路口都架主不就完事了,3384.065,1611078037,16777215,1
1bf540f6,卧槽xantarespek,2001.727,1611078043,16777215,1
a793fca0,啊哈,2798.353,1611078047,16777215,1
29248ab2,这个是敌人的高价值目标，幸好他没枪，不然大哥妥漏一个背身,798.143,1611078057,16777215,1
46897cd9,匪wdnm一枪头！,2126.163,1611078068,16777215,1
275d04b4,四弟退游戏回来后转起来了,1865.876,1611078079,16777215,1
9f1c45ec,战地日常,1789.586,1611078082,16777215,1
17a33042,莽就完事了,1470.142,1611078086,16777215,1
b85b5c3,不死人干员,3234.909,1611078088,16777215,1
2eacf963,惊了,3.91,1611078094,16777215,1
93b742d3,亡语,2805.799,1611078101,16777215,1
a021c6c8,怪不得当老菊的干员，反应能力的需求是最高的,1049.726,1611078103,16777215,1
ca3acc02,手雷可以带4个。,862.138,1611078112,16777215,1
93b742d3,亡语带走一个二哥,2810.859,1611078115,16777215,1
8a84b4e5,狙击手开门,2676.16,1611078118,16777215,1
f69fb56d,转角遇到爱,1344.451,1611078119,16707842,1
e5ac3a34,血压下不来了,1152.479,1611078121,16777215,1
7450d21b,无掩体直架长过道，彩六小队直呼内行,1544.064,1611078136,16646914,1
16a122aa,能出不能进,3230.979,1611078149,16777215,1
84ba8753,惊了,9.582,1611078173,16777215,1
be1ac2ff,创伤小组白金会员,1776.809,1611078177,16777215,1
925db7ac,惊了,46.711,1611078179,16777215,1
a17d5653,啊，孙一峰,163.103,1611078179,16777215,1
1bf540f6,xantares牛啊,2126.487,1611078186,16777215,1
ea838108,一丝,1160.338,1611078189,16777215,1
dfdc73f7,这TM都是队友吧,2353.11,1611078207,16777215,1
e5e08856,轻伤指快死了,1378.622,1611078208,16777215,1
6d370bfd,鬼！,2304.263,1611078215,16777215,1
2a867863,惊了,21.735,1611078222,16777215,1
65e3816f,铁锁,2858.082,1611078225,16777215,1
66dbab22,惊了,17.272,1611078227,38979,1
8d8d6049,基佬,12.931,1611078234,16777215,1
ea838108,彩六模拟器,34.535,1611078236,16777215,1
f17bff57,惊了,14.019,1611078245,16777215,1
f035d90a,四哥确实,3359.923,1611078254,16777215,1
dfdc73f7,陶氏,2374.87,1611078267,16777215,1
81ccac78,惊了,7.642,1611078269,16777215,1
2900013f,董事长！,5.299,1611078273,16777215,1
ff6440c5,你好菜啊,4227.21,1611078277,16777215,1
75955aa2,她转起来了,2840.278,1611078287,16777215,5
f965baac,一拖三宝心里苦但宝不说,1955.843,1611078287,16777215,1
5da97b9d,脸接RPG,2374.522,1611078297,16777215,1
d07978af,rts也能玩出换弹癌我是没想到的,1359.387,1611078308,16777215,1
1c3072f0,我想啸！,1246.889,1611078314,16777215,1
a200390a,chack一下,3447.273,1611078317,16777215,1
7450d21b,新进我特么谢你啊,1716.12,1611078321,16646914,1
207e0b6a,东冬,745.771,1611078326,16777215,1
2ffa6d42,菜得一逼,1899.176,1611078328,16777215,1
c4d93aef,黄轩,46.051,1611078329,16777215,1
d7b3befd,排队枪毙,1851.853,1611078329,16777215,1
98bcdcbf,还是莽吧23,400.958,1611078332,16777215,1
89e37d35,不愧是董事长，美国悍匪头子才能说出这样的话,4021.673,1611078339,16777215,1
81ccac78,MASKMAN草,65.11,1611078342,16777215,1
d2a88581,跟一代也挺像,357.181,1611078348,16777215,1
640392a,熬死员工,8.059,1611078353,16777215,1
cacc18d7,炸了满地ak,1905.493,1611078366,16777215,1
ea838108,对面枪也太马了,1626.813,1611078375,16777215,1
8b9d2a74,酒精沙场？,849.239,1611078386,16777215,1
23df30eb,老大哥,187.8,1611078399,16777215,1
f965baac,要是你假装贫民呢？所以你死了,2023.172,1611078404,16777215,1
8c2d79f2,报告董事长，破墙忘带了,726.889,1611078404,16777215,1
adb19f28,进不去！怎么看都进不去吧！为什么要进去！你把门打开不就行了,3210.971,1611078404,16777215,1
712dc686,杀牛仔,273.436,1611078405,16777215,1
37c4e9f0,我以为面对面架枪只有在电影里面才看得见,3650.905,1611078406,16777215,1
75d536fd,一车面包人哈,175.821,1611078407,16777215,1
2b9bbe71,不是，还有个人就站在门口望风吗,1690.175,1611078420,16777215,1
53143c20,我都不知道这把狙在架谁嗷,103.939,1611078423,16707842,5
98bcdcbf,定向没事,493.288,1611078433,16777215,1
ea838108,刘醒,1672.317,1611078434,16777215,1
81ccac78,老大哥,151.435,1611078440,16646914,5
f965baac,你让我摸鱼怪我咯？,2042.715,1611078444,16777215,1
646e9114,烟中恶鬼,3419.046,1611078445,16777215,1
a6108f7,拆迁模拟器,890.924,1611078453,16777215,1
81ccac78,bigbos草,170.987,1611078466,16646914,5
3174eb05,月光大剑,1448.122,1611078466,16777215,1
abee773,真的录了唉,3.161,1611078467,16777215,1
17a33042,葫芦娃,1850.729,1611078472,16777215,1
6473feff,炸出个瓜草,1930.754,1611078486,16777215,1
cbc4c46,rush姐,842.189,1611078493,16777215,1
aeabe18b,老菊好强啊,519.291,1611078500,16777215,1
37c4e9f0,实习生跟我没关系，我架着大路在,3740.305,1611078517,16777215,1
cb6bb5b9,惊了,1.219,1611078520,16777215,1
d804d64d,我二弟天下无敌,1270.364,1611078551,16777215,1
46193db2,带消音还行,2229.33,1611078561,16777215,1
c686ba60,成功触发,289.442,1611078571,16777215,1
b15b84c4,这里就没有拉栓的枪。,1719.039,1611078575,38979,1
95734bcd,FBIOPENTHEDOR！,23.83,1611078576,16777215,1
ab1e701b,活该就很强,987.231,1611078576,16777215,1
ea838108,大哥杀完,1853.287,1611078590,16777215,1
b0ccd06e,心跳BOY,72.805,1611078590,16777215,1
77e6de05,内鬼,2406.384,1611078593,16777215,1
5bc52499,二哥放tmdg皮,1314.664,1611078594,16777215,1
8362ff32,真香,3716.116,1611078613,16777215,1
46933e0,真的记得一代是我老了,19.523,1611078624,16777215,1
ea838108,辐能战魂,1862.461,1611078629,16777215,1
20e07c16,脑中的完美代码总是存在各种奇怪的BUG,379.074,1611078634,16777215,1
17e6d539,绝活先炸死友军,2355.735,1611078638,15138834,5
27ec66a7,突击手卡德加,44.696,1611078646,16777215,1
9035b92f,钓，就硬钓！,535.448,1611078648,16776960,1
9f133b70,莽就行了,143.899,1611078662,16777215,1
93b742d3,汤姆汉克斯,3360.539,1611078673,16777215,1
84350356,惊了,10.672,1611078679,16777215,1
cacc18d7,强攻不行，要征服者,2215.85,1611078691,16777215,1
128db534,完全不用暂停去计划，把一个策略游戏搞成即时射击,1331.963,1611078694,16777215,1
f31a6a9c,惊了,9.662,1611078704,16777215,1
f31a6a9c,惊了,20.529,1611078715,16777215,1
d3320cae,宁可杀错不能放过,3315.565,1611078716,16777215,1
e64c4506,惊了,4.032,1611078722,16777215,1
6d370bfd,大哥直接从喷泉上走过去了？,2771.491,1611078726,16777215,1
913ff0cb,拿着狙击枪不会突击不是好狙击手吗UP？,1658.585,1611078742,16777215,1
18c80ce4,踹门时候好像鞋掉了,3280.169,1611078746,16707842,5
e81f718,惊了,12.839,1611078749,16777215,1
71cdc7b,茄子我可以甩,102.041,1611078750,16777215,1
b0ccd06e,心跳boy,235.647,1611078753,16776960,1
d605d991,惊了,17.198,1611078767,16777215,1
f69fb56d,来都来了,2001.651,1611078781,16707842,1
