Sender,DmContent,AppearTime,SendTime,FontColor,DmType
152f129f,这队友绝了,1586.275,1610970596,16777215,1
31c2a7e2,下饭嗨,59.799,1610970719,15138834,1
152f129f,此处不是鬼畜,1692.289,1610970778,16777215,5
5d13944f,笑死了这队友,1574.799,1610970967,6830715,1
1daba882,人越来越多了h,789.288,1610970999,16777215,1
1daba882,一点面子都不给,848.848,1610971059,16777215,1
5d13944f,嗨哥牛批,1672.119,1610971070,6830715,1
a9893eef,不能着急,1276.178,1610969604,16777215,1
152f129f,这廉颇好烦,1114.315,1610970118,16777215,1
a9893eef,噢哟！躲了一万下,561.823,1610968925,16777215,1
fe3b1f13,在吃麻辣烫哈,53.579,1610968951,16777215,1
a9893eef,确实，刚那两拨,853.052,1610969177,16777215,1
a9893eef,下饭了,1116.871,1610969416,16777215,1
ae0a2ecb,这人真有毒,1136.394,1610969493,16777215,1
ae0a2ecb,绝了,1142.173,1610969498,16777215,1
a924e3d5,但不比队友不坑好用,1609.717,1610969510,16777215,1
f3893017,入白热化阶段了,1571.383,1610968182,16777215,1
ae0a2ecb,太乙真的烦,47.798,1610968407,16777215,1
ae0a2ecb,五楼id哈,71.96,1610968431,16777215,1
ae0a2ecb,开始看不懂了,117.09,1610968485,16777215,1
ae0a2ecb,是真的嗨氏,132.598,1610968496,16777215,1
a924e3d5,狄仁杰ID,784.247,1610968582,16777215,1
f3893017,论匹配到一个好队友的重要性,538.655,1610966986,16777215,1
58454352,老嗨稳住,1156.159,1610967024,16777215,1
828133e9,死亡注视,487.079,1610967210,16777215,1
f3893017,这浪也学不到呀没有实力让我浪,712.509,1610967257,16777215,1
b8cdd88c,难得看嗨生气骂人,1153.491,1610967350,16777215,1
58454352,好燃啊,1564.679,1610967439,16777215,1
f3893017,都防着你呢,941.583,1610967507,16777215,1
49f76fb3,猴哥想让蓝哈,696.246,1610966057,16777215,1
f3893017,看到右下角廉颇的交流了鹅,120.409,1610966543,16777215,1
828133e9,吃着饭看针不戳,48.519,1610966745,16777215,1
c1e11f52,哇！bgm来的太是时候了哈,438.941,1610965293,16777215,1
67c5b184,！这么前加油宝贝,22.404,1610965383,16777215,1
49f76fb3,还没开吃,41.96,1610965537,16777215,1
49f76fb3,我的外卖还没到啊,65.261,1610965560,16777215,1
c99b9905,当面NTR,553.765,1610964852,16777215,1
c1e11f52,好久没看视频嗨居然会回家了爷青结,285.877,1610965112,16777215,1
c99b9905,频繁掉点，要极限守家了,1079.594,1610965125,16777215,1
