Sender,DmContent,AppearTime,SendTime,FontColor,DmType
b090952b,哇哦,203.342,1611060610,16777215,1
24037dc6,厘米老师好！我又来啦！,19.072,1611060630,16777215,1
d37e62de,法兰圈,167.855,1611060637,16777215,1
8a33b118,笑死我了,120.347,1611060649,16777215,1
24037dc6,oh,205.979,1611060835,16777215,1
1fa37b3c,还有皮垢,58.8,1611060878,16777215,1
7cc0a5fa,西点基本也是用油和面，适量吃,105.119,1611060891,16777215,1
d0ccc8cf,这个筛子用几目的朱老师,121.899,1611060899,16777215,1
90d0ff28,撕吧,97.217,1611060946,16777215,1
1fa37b3c,怎么有点像翔。,162.835,1611060990,16777215,1
194a0db5,我最喜欢吃松糕了,6.879,1611061198,16777215,1
5629506f,好吃啊,17.915,1611059726,16777215,1
a7687dc1,热乎,11.172,1611059825,16777215,1
e9d47fa8,哇唔！想吃！,19.584,1611059930,16777215,1
690ca8d4,封面就离谱,12.873,1611060133,16777215,1
f1ebd1fc,小时候超爱吃这个！,23.593,1611060142,16777215,1
20fb6426,漂亮好吃,193.842,1611060264,16777215,1
9875efc2,老师金句,60.564,1611060356,16777215,1
e4d93dc,朱老师好,3.924,1611060565,16777215,1
33a5ab4f,相声台的朋友们大家好,2.819,1611058695,16777215,1
35728e1a,老师其实是个情感up主哈,225.364,1611058969,16777215,1
239d3bc5,握之成团，轻压即散，跟做药剂湿颗粒一样哎,76.278,1611059178,16777215,1
6915262f,来了！,25.325,1611059291,16777215,1
9fecb6a6,奇怪,165.14,1611059448,16777215,1
6915262f,可爱,229.337,1611059502,16777215,1
1976196e,你好呀,8.459,1611059570,16777215,1
de9a6e79,好吃到头大,221.331,1611059627,16777215,1
353c3486,朱老师好！,17.503,1611057783,16777215,1
b029ef87,不至于,68.379,1611057785,16777215,1
4b500469,来啦,0.0,1611057786,16777215,1
f821c08a,热乎的,70.94,1611057798,16777215,1
1cbd3b7b,fsg,48.499,1611057811,16777215,1
f821c08a,来太早了,79.24,1611057814,16777215,1
1cbd3b7b,发个弹幕,50.22,1611057821,16777215,1
b029ef87,老师说话好细致好温油,105.115,1611057821,16777215,1
a5866c19,新鲜,17.636,1611057862,16777215,1
98e2e9d6,中式英语？,89.748,1611057877,16777215,1
f821c08a,懂了，以后都不会用了,112.256,1611057890,16777215,1
3d744783,CM老师来啦,18.425,1611057902,16777215,1
91c6a384,这个大头特效太可爱了哈,220.015,1611057953,14811775,5
4b500469,好吃到头大,220.756,1611058026,16777215,1
5514e9ce,哈朱师傅贴心提示,116.308,1611058060,16777215,1
b51b135c,哈好可爱,225.065,1611058083,16777215,1
5a27d4f8,厘米老师好,14.402,1611058101,16777215,1
5514e9ce,有回音,139.763,1611058110,16777215,1
506ae975,又开始了，小笔记下来。经典语录,64.581,1611058116,16777215,1
7fe35bfe,饿了,134.995,1611058130,16777215,1
a5f1d001,厘米老师好！,6.32,1611058136,16777215,1
f3ec3a70,馅儿看起来好吃啊我爱了,17.659,1611058168,16777215,1
a5f1d001,每日一爱,59.104,1611058190,15138834,5
a5f1d001,每日一爱,61.283,1611058203,15138834,5
678ad706,上学实验室筛土的筛子,106.339,1611058204,16777215,1
506ae975,好吃的让人头大，哈,223.403,1611058290,16777215,1
f3e8d3b5,宠粉现场,54.015,1611058316,16777215,1
f3262e4b,松活弹抖,222.697,1611058358,16777215,1
6a0d5789,朱老师是典型的猪油爱好者，我喜欢！,70.738,1611058463,16777215,1
861ee762,我来啦朱老师,15.748,1611058597,16777215,1
b9ba6430,热乎哒,10.443,1611058654,16777215,1
e1baef9,雪球狗头,77.289,1611058657,16777215,1
b9ba6430,我过年特喜欢吃这个,27.859,1611058671,16777215,1
35728e1a,好朋友好！,6.377,1611058677,16777215,1
ca6a0cb9,来了,11.514,1611057737,16777215,1
b029ef87,看起来好吃,25.951,1611057742,16777215,1
