Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6ba7e8a2,王莽,8.539,1611059647,16777215,1
c55b2625,王莽,8.719,1611059649,16777215,1
8e498582,王莽,10.459,1611059666,16777215,1
1fb9518e,王莽,7.166,1611059667,16777215,1
4863aea0,王莽,19.443,1611059671,16777215,1
36ac8c75,没有,19.392,1611059688,16777215,1
79e2e598,王莽啊,6.651,1611059706,16777215,1
ceceb935,王莽,16.666,1611059708,16777215,1
a0f6a573,不只是穿越那么简单,72.742,1611059709,16777215,1
ee33a2c1,同时在佛罗伦萨，达芬奇还遇上了他一生的挚友，艾吉奥,88.101,1611059725,16777215,1
b7d0b030,要来了,238.892,1611059757,16777215,1
ac2a903b,竟然不用打码,144.813,1611059760,16777215,1
b0d038f2,我觉得我就是从未来穿越过来的,15.464,1611059772,16777215,1
15cff3d1,王莽,6.313,1611059774,16777215,1
3ddb9bf6,芜湖大司马,17.865,1611059776,16777215,1
f11e6476,王莽,16.662,1611059794,16777215,1
fba0e156,0817,12.711,1611059797,16777215,1
4863aea0,你可以的，哈,126.874,1611059798,16777215,1
e930de2a,花园,53.034,1611059803,16777215,1
9cfee5b4,王莽,11.112,1611059829,16777215,1
49ae31f,要来了吗,349.496,1611059845,16777215,1
29c0db8,王莽,21.327,1611059870,16777215,1
a6c11f1f,我穿过去又能咋样,77.143,1611059883,16777215,1
71749bab,赛博仪肢,225.796,1611059893,16777215,1
b0d038f2,牛批一个广告你都能跟我说出一个节目可以,147.07,1611059904,16777215,1
2625ebcc,秀儿,16.003,1611059904,16777215,1
97be509,王莽,15.883,1611059918,16777215,1
cae9de0,王莽,9.438,1611059919,16777215,1
51de9e22,王安石,13.155,1611059932,16777215,1
68ad298d,秦始皇,10.129,1611059933,16777215,1
7ab742f6,秦始皇,15.433,1611059934,16777215,1
d4d0a4ab,王莽,7.019,1611059944,16777215,1
e2dbc826,猝不及防预警,245.992,1611059978,16777215,1
76aefe2e,硬件不占优势？a系列显卡,416.663,1611059981,16777215,1
76aefe2e,吊锤啊,416.663,1611059988,16777215,1
c8d6edd8,猝不及防,348.344,1611060004,16777215,1
b0d038f2,还有电脑啊,399.897,1611060014,16777215,1
56792dff,王莽,17.824,1611060024,16777215,1
33ad91f2,王莽,24.35,1611060024,16777215,1
d819b4d6,嬴政,8.73,1611060027,16777215,1
e12003b8,wangmang,8.46,1611060028,16777215,1
28a7efe9,汽油车也可以做自动驾驶也可以成为智能汽车,421.793,1611060042,16777215,1
354035e8,汽车广告,3.319,1611060062,16777215,1
35af632a,王猛刘秀,6.766,1611060070,16777215,1
d56d4817,秦始皇,13.496,1611060074,16777215,1
c3d751df,头发还是衣服,120.578,1611060078,16777215,1
8249daa3,达芬奇没有了？,361.689,1611060080,16777215,1
4863aea0,啊这,372.646,1611060094,16777215,1
90f3683,可以溜了，跑,236.653,1611060103,16777215,1
dbfebf6f,达芬奇是幺儿,83.496,1611060112,16777215,1
d56d4817,韩金轮,6.588,1611060113,16777215,1
fb01c5bf,艾吉奥。刺客信条。,100.368,1611060137,16777215,1
808d21dc,1分钟,7.486,1611060145,16777215,1
851875ce,特斯拉,12.28,1611060153,16777215,1
1a45cf8d,感觉不对,397.1,1611060155,16777215,1
dbfebf6f,不，我们赞成你脱,124.915,1611060162,16777215,1
ca078e19,这个真的是措不及防！,365.946,1611060190,16777215,1
66608579,以本站风格，这个视频一会就没了,153.305,1611060194,16777215,1
dbfebf6f,会猝不及防吗？,157.504,1611060195,16777215,1
e5bbbfe2,终于到了,344.369,1611060203,16777215,1
e5bbbfe2,正片开始,352.049,1611060216,16777215,1
ed55c39a,王莽啊,12.054,1611060217,16777215,1
82f3c25b,艺术不需要,164.34,1611060249,16777215,1
75f46d22,王莽,25.538,1611060252,16777215,1
dc018f2a,王莽,8.838,1611060261,16777215,1
8a0561e3,来了,249.914,1611060270,16777215,1
dbfebf6f,猝不及防警告,234.416,1611060272,16777215,1
6b65983d,王莽,7.904,1611060284,16777215,1
ab038f36,苹果手机硬件不占优势？馆长你确定？,410.481,1611060304,16777215,1
5b4e0d4f,要来了吗,343.602,1611060306,16777215,1
29b97d77,王莽,7.644,1611060310,16777215,1
be3acde9,猝不及防,249.939,1611060312,16777215,1
5b036bae,王莽,10.179,1611060323,38979,1
fb01c5bf,。猝不及防,340.294,1611060330,16777215,1
1452b47,馆长要以身试法呀哈,155.375,1611060331,16777215,1
c83bfb54,要来了吗？,241.619,1611060338,16777215,1
2030f104,费拉瑞特,135.29,1611060397,16646914,5
4002b103,只是一科的知识想将其所有分支学到前沿，一辈子可能都不够,213.627,1611060407,16777215,5
d46aa757,王莽,18.798,1611060412,16777215,1
321888de,前面的可能对不占优势有误解,412.686,1611060429,16777215,1
7e50d671,达芬奇,5.609,1611060436,16777215,1
69001353,没有,17.411,1611060443,16777215,1
69123f3b,他来了,245.907,1611060445,16777215,1
838736b,但里面真没内容和看点,250.75,1611060467,16777215,1
9dad9f42,没有,7.89,1611060475,16777215,1
ecb1e3f9,广告扯呼,250.159,1611060502,16777215,1
69123f3b,就这？,350.32,1611060508,16777215,1
9ceb1df9,跳楼人太多了好像封了,291.007,1611060517,16777215,1
7cc0fb76,王莽,23.505,1611060545,16777215,1
70b0d966,王莽,13.571,1611060563,16777215,1
79462898,穿越能像他这样？,86.459,1611060578,16777215,1
261ee67e,第一么？,19.047,1611059475,16777215,1
bd6756de,特斯拉,12.404,1611059484,16777215,1
1b7429e,王莽，达芬奇,19.175,1611059489,16777215,1
e39b5fae,王莽,29.62,1611059506,52480,4
e121720c,王莽,19.875,1611059506,16777215,1
bd6756de,特斯拉,15.923,1611059510,16777215,1
d1f5ae2b,王莽,9.581,1611059549,16777215,1
11ccc3f8,特斯拉,7.552,1611059556,15138834,5
5835d175,我自己,11.668,1611059559,16777215,1
56f14126,刘秀,5.859,1611059562,16777215,1
e39b5fae,达芬奇密码好看,129.99,1611059564,52480,4
bbc29bf0,王莽,9.039,1611059583,16777215,1
a4e9396,达芬奇,12.154,1611059615,15138834,1
