Sender,DmContent,AppearTime,SendTime,FontColor,DmType
40e8fddf,这题是十一月二模的填空最后一个,324.702,1611075856,16777215,1
1845d6ef,把三棱锥摊开，PC就是原来的P4C，也就是A4纸长的一半即根号2a,379.914,1611072633,16777215,1
da92d806,支持,27.379,1611071345,16777215,1
f5e634d1,远古时期？,38.499,1611071400,16777215,1
f5e634d1,太好了,145.393,1611071507,16777215,1
26760ba0,浙江卷！,64.204,1611071541,16777215,1
db67b4d6,同意，不过你别说，高考最近好像喜欢出新考点,56.019,1611071778,16777215,1
1845d6ef,打卡,16.399,1611071927,16777215,1
2e7d24ca,我的天，好期待,52.3,1611071032,16777215,1
c6087651,谢老师,176.847,1611069424,16777215,1
97857679,奥正方形了,569.339,1611069449,16777215,1
ae96e872,nice,114.17,1611069479,16777215,1
5356269c,这我考试直接撕纸折,319.481,1611069581,16777215,1
7bf31eb0,来了,9.843,1611069795,16777215,1
7bf31eb0,好！,25.385,1611069810,16777215,1
7bf31eb0,一定来！,169.489,1611069954,16777215,1
991e91a6,太棒了,34.628,1611068550,16777215,1
3d83d6f,年三十？,136.233,1611068880,16777215,1
619b9c1a,支持,32.899,1611069000,16777215,1
17fe925b,ob或od,615.641,1611067913,16777215,1
21c2b847,可以,92.499,1611068191,16777215,1
643ab9a,系统班的前来报到,86.997,1611068300,16777215,1
b38cd4e4,好！,32.063,1611066769,16777215,1
9af472e4,妙，妙啊,315.125,1611067032,16777215,1
24b9b211,全选？应该是模拟题吧,676.361,1611063395,16777215,1
87817c55,大力支持！,23.211,1611063479,16777215,1
87817c55,太好了,108.521,1611063546,16777215,1
80a6b94b,08年？,102.469,1611064398,16777215,1
302dcb6f,为什么pc等于根号2a啊,376.651,1611064423,16777215,1
341ff818,我来证明你开了弹幕,206.175,1611064494,16777215,1
15ff26e7,很棒,140.66,1611065134,16777215,1
15ff26e7,你看那个平面图就知道了,395.239,1611065404,16777215,1
9ee431da,P变成了AC中点,387.746,1611065772,16777215,1
6b8f765a,对，刚好是等腰直角三角形,338.213,1611066314,16777215,1
88b8d355,望奎人泪目,164.257,1611061759,16777215,1
88b8d355,太好了,23.521,1611061529,16777215,1
88b8d355,押题,33.012,1611061538,16777215,1
