36857,1697,507,100,2215,1611077000
36569,1674,504,100,2189,1611076077
36234,1649,500,100,2169,1611075041
35844,1622,495,99,2151,1611074075
35405,1588,483,97,2119,1611073132
34501,1550,471,96,2082,1611072184
32797,1490,464,89,2024,1611071251
30666,1418,447,88,1951,1611070308
29090,1358,429,82,1896,1611069395
28195,1311,418,79,1841,1611068455
27373,1271,415,76,1786,1611067528
26429,1220,404,73,1717,1611066604
15229,928,338,39,1339,1611062567
11718,818,322,35,1229,1611061574
9585,754,301,34,1143,1611060642
7855,685,287,28,1055,1611059651
6826,617,261,25,974,1611058698
5997,547,241,21,892,1611057781
5339,491,220,19,822,1611056878
4557,420,195,17,738,1611055956
3736,351,153,14,609,1611055025
2798,275,134,10,494,1611054130
1840,171,91,6,342,1611053241
498,64,37,2,133,1611052326
